"","table_no","sheet_no","table_title","date","series","value","series_type","data_type","collection_month","frequency","series_id","unit"
"1","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1994-03-01,"GDP per capita: Current prices ;",6643,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"2","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1994-06-01,"GDP per capita: Current prices ;",6713,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"3","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1994-09-01,"GDP per capita: Current prices ;",6891,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"4","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1994-12-01,"GDP per capita: Current prices ;",6840,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"5","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1995-03-01,"GDP per capita: Current prices ;",6943,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"6","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1995-06-01,"GDP per capita: Current prices ;",7014,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"7","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1995-09-01,"GDP per capita: Current prices ;",7143,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"8","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1995-12-01,"GDP per capita: Current prices ;",7262,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"9","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1996-03-01,"GDP per capita: Current prices ;",7332,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"10","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1996-06-01,"GDP per capita: Current prices ;",7425,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"11","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1996-09-01,"GDP per capita: Current prices ;",7439,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"12","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1996-12-01,"GDP per capita: Current prices ;",7525,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"13","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1997-03-01,"GDP per capita: Current prices ;",7574,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"14","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1997-06-01,"GDP per capita: Current prices ;",7748,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"15","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1997-09-01,"GDP per capita: Current prices ;",7779,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"16","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1997-12-01,"GDP per capita: Current prices ;",7967,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"17","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1998-03-01,"GDP per capita: Current prices ;",8004,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"18","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1998-06-01,"GDP per capita: Current prices ;",8050,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"19","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1998-09-01,"GDP per capita: Current prices ;",8170,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"20","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1998-12-01,"GDP per capita: Current prices ;",8304,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
"21","5206001_key_aggregates","Data1","Table 1. Key National Accounts Aggregates",1999-03-01,"GDP per capita: Current prices ;",8358,"Seasonally Adjusted","DERIVED","3","Quarter","A2304420C","$"
