"","date","series","value"
"1",1994-01-04,"Cash Rate Target",4.75
"2",1994-01-05,"Cash Rate Target",4.75
"3",1994-01-06,"Cash Rate Target",4.75
"4",1994-01-07,"Cash Rate Target",4.75
"5",1994-01-10,"Cash Rate Target",4.75
"6",1994-01-11,"Cash Rate Target",4.75
"7",1994-01-12,"Cash Rate Target",4.75
"8",1994-01-13,"Cash Rate Target",4.75
"9",1994-01-14,"Cash Rate Target",4.75
"10",1994-01-17,"Cash Rate Target",4.75
"11",1994-01-18,"Cash Rate Target",4.75
"12",1994-01-19,"Cash Rate Target",4.75
"13",1994-01-20,"Cash Rate Target",4.75
"14",1994-01-21,"Cash Rate Target",4.75
"15",1994-01-24,"Cash Rate Target",4.75
"16",1994-01-25,"Cash Rate Target",4.75
"17",1994-01-27,"Cash Rate Target",4.75
"18",1994-01-28,"Cash Rate Target",4.75
"19",1994-01-31,"Cash Rate Target",4.75
"20",1994-02-01,"Cash Rate Target",4.75
"21",1994-02-02,"Cash Rate Target",4.75
"22",1994-02-03,"Cash Rate Target",4.75
"23",1994-02-04,"Cash Rate Target",4.75
"24",1994-02-07,"Cash Rate Target",4.75
"25",1994-02-08,"Cash Rate Target",4.75
"26",1994-02-09,"Cash Rate Target",4.75
"27",1994-02-10,"Cash Rate Target",4.75
"28",1994-02-11,"Cash Rate Target",4.75
"29",1994-02-14,"Cash Rate Target",4.75
"30",1994-02-15,"Cash Rate Target",4.75
"31",1994-02-16,"Cash Rate Target",4.75
"32",1994-02-17,"Cash Rate Target",4.75
"33",1994-02-18,"Cash Rate Target",4.75
"34",1994-02-21,"Cash Rate Target",4.75
"35",1994-02-22,"Cash Rate Target",4.75
"36",1994-02-23,"Cash Rate Target",4.75
"37",1994-02-24,"Cash Rate Target",4.75
"38",1994-02-25,"Cash Rate Target",4.75
"39",1994-02-28,"Cash Rate Target",4.75
"40",1994-03-01,"Cash Rate Target",4.75
"41",1994-03-02,"Cash Rate Target",4.75
"42",1994-03-03,"Cash Rate Target",4.75
"43",1994-03-04,"Cash Rate Target",4.75
"44",1994-03-07,"Cash Rate Target",4.75
