"","date","GDP","Consumption","Investment","Consumption_ratio","Government_ratio"
"1",1959-09-01,3972,452,123,0.113796576032226,0.144763343403827
"2",1959-12-01,4088,458,145,0.112035225048924,0.147504892367906
"3",1960-03-01,4166,470,155,0.112818050888142,0.150024003840615
"4",1960-06-01,4378,463,184,0.105756052992234,0.147784376427593
"5",1960-09-01,4400,474,155,0.107727272727273,0.142954545454545
"6",1960-12-01,4428,499,167,0.112691960252936,0.150406504065041
"7",1961-03-01,4421,501,179,0.113322777652115,0.153811354897082
"8",1961-06-01,4322,513,174,0.118695048588616,0.158954187875983
"9",1961-09-01,4331,534,187,0.123297160009236,0.166474255368275
"10",1961-12-01,4367,527,168,0.120677810854133,0.159148156629265
"11",1962-03-01,4498,531,181,0.11805246776345,0.158292574477546
"12",1962-06-01,4594,539,171,0.117326948193296,0.154549412276883
"13",1962-09-01,4651,539,185,0.115889056116964,0.15566544829069
"14",1962-12-01,4782,553,179,0.115641990798829,0.153074027603513
"15",1963-03-01,4925,566,183,0.11492385786802,0.152081218274112
"16",1963-06-01,4890,588,202,0.120245398773006,0.161554192229039
"17",1963-09-01,5150,572,202,0.111067961165049,0.150291262135922
"18",1963-12-01,5257,588,228,0.11185086551265,0.155221609282861
"19",1964-03-01,5319,621,227,0.116751269035533,0.159428463996992
"20",1964-06-01,5501,645,235,0.117251408834757,0.159970914379204
"21",1964-09-01,5586,658,244,0.117794486215539,0.161475116362334
"22",1964-12-01,5765,682,244,0.118300086730269,0.16062445793582
"23",1965-03-01,5851,709,267,0.121175867373099,0.166809092462827
"24",1965-06-01,5965,715,263,0.119865884325231,0.1639564124057
"25",1965-09-01,5986,776,308,0.129635816906114,0.181089208152355
"26",1965-12-01,6057,779,326,0.128611523856695,0.182433547961037
"27",1966-03-01,6092,776,330,0.127380170715693,0.181549573210768
"28",1966-06-01,6250,793,333,0.12688,0.18016
"29",1966-09-01,6537,851,353,0.130182040691449,0.184182346642191
"30",1966-12-01,6701,848,364,0.12654827637666,0.18086852708551
"31",1967-03-01,6938,877,353,0.126405304122225,0.177284520034592
"32",1967-06-01,6988,899,383,0.12864911276474,0.183457355466514
"33",1967-09-01,7094,944,382,0.133070200169157,0.186918522695235
"34",1967-12-01,7235,971,374,0.134208707671044,0.185901865929509
"35",1968-03-01,7345,1050,416,0.142954390742001,0.199591558883594
"36",1968-06-01,7532,1012,414,0.134360063728093,0.189325544344132
"37",1968-09-01,7756,1009,401,0.130092831356369,0.181794739556472
"38",1968-12-01,8169,1050,402,0.12853470437018,0.177745134043335
"39",1969-03-01,8283,1077,412,0.130025353132923,0.179765785343475
"40",1969-06-01,8545,1133,420,0.132592159157402,0.181743709771796
"41",1969-09-01,8857,1159,407,0.130856949305634,0.176809303375861
"42",1969-12-01,9074,1211,407,0.1334582323121,0.178311659687018
"43",1970-03-01,9298,1214,388,0.130565713056571,0.172295117229512
"44",1970-06-01,9656,1276,420,0.132145816072908,0.175642087821044
"45",1970-09-01,9719,1333,420,0.137154028192201,0.180368350653359
"46",1970-12-01,9880,1381,433,0.139777327935223,0.183603238866397
"47",1971-03-01,10261,1431,448,0.139460091609005,0.183120553552285
"48",1971-06-01,10493,1471,444,0.140188697226723,0.182502620794816
"49",1971-09-01,10902,1544,498,0.141625389836727,0.187305081636397
"50",1971-12-01,10918,1573,466,0.144074006228247,0.186755816083532
"51",1972-03-01,11118,1643,495,0.147778377406008,0.192300773520417
"52",1972-06-01,11542,1660,473,0.143822561081268,0.184803326979726
"53",1972-09-01,11702,1715,507,0.146556144248846,0.189882071440779
"54",1972-12-01,12091,1751,542,0.144818460011579,0.189645190637664
"55",1973-03-01,12696,1824,545,0.143667296786389,0.186594202898551
"56",1973-06-01,13293,1984,551,0.149251485744377,0.190701873166328
"57",1973-09-01,14037,2044,532,0.145615159934459,0.183514996081784
"58",1973-12-01,14970,2107,561,0.140748162992652,0.178223112892452
"59",1974-03-01,15498,2230,634,0.143889534133437,0.184798038456575
"60",1974-06-01,15768,2341,665,0.148465246067986,0.190639269406393
"61",1974-09-01,16753,2687,737,0.160389184026741,0.204381304840924
"62",1974-12-01,17647,2920,813,0.165467218224061,0.211537371791239
"63",1975-03-01,17999,3105,807,0.17250958386577,0.217345408078227
"64",1975-06-01,18830,3256,975,0.172915560276155,0.2246946362188
"65",1975-09-01,19402,3460,1027,0.178332130708174,0.231264818059994
"66",1975-12-01,20338,3673,1088,0.180597895564952,0.234093814534369
"67",1976-03-01,21303,3807,994,0.178707224334601,0.225367319156926
"68",1976-06-01,22240,3954,1006,0.177787769784173,0.223021582733813
"69",1976-09-01,23016,4050,1006,0.175964546402503,0.219673270768161
"70",1976-12-01,23750,4144,1026,0.174484210526316,0.217684210526316
"71",1977-03-01,24279,4228,1072,0.174142262860909,0.218295646443428
"72",1977-06-01,25103,4370,1135,0.174082778950723,0.219296498426483
"73",1977-09-01,25442,4491,1131,0.17651914157692,0.220973193931295
"74",1977-12-01,25730,4609,1083,0.179129420909444,0.221220365332297
"75",1978-03-01,26577,4786,1153,0.180080520751025,0.223463897354856
"76",1978-06-01,27372,4854,1137,0.177334502411223,0.218873301183691
"77",1978-09-01,28290,5074,1104,0.179356663131849,0.218381053375751
"78",1978-12-01,29034,5079,1165,0.174932837363092,0.215058207618654
"79",1979-03-01,30491,5193,1199,0.17031255124463,0.209635630185957
"80",1979-06-01,30960,5273,1178,0.1703165374677,0.208365633074935
"81",1979-09-01,32032,5477,1168,0.170985264735265,0.207448801198801
"82",1979-12-01,33310,5695,1212,0.170969678775143,0.207355148604023
"83",1980-03-01,34220,5877,1146,0.171741671537113,0.205230859146698
"84",1980-06-01,34990,6115,1266,0.174764218348099,0.210945984567019
"85",1980-09-01,36148,6313,1285,0.174643133783335,0.2101914352108
"86",1980-12-01,37805,6836,1318,0.180822642507605,0.2156857558524
"87",1981-03-01,38555,6856,1368,0.177823887952276,0.213305667228634
"88",1981-06-01,39988,7105,1208,0.177678303491047,0.207887366209863
"89",1981-09-01,42160,7537,1430,0.178771347248577,0.212689753320683
"90",1981-12-01,43357,7555,1350,0.174250985999954,0.205387826648523
"91",1982-03-01,44286,7666,1458,0.173102109018652,0.206024477261437
"92",1982-06-01,45974,8409,1382,0.182907730456345,0.212968199417062
"93",1982-09-01,46558,8295,1557,0.178164869624984,0.21160702779329
"94",1982-12-01,47283,8781,1675,0.185711566524967,0.221136560708923
"95",1983-03-01,47696,9223,1647,0.193370513250587,0.22790171083529
