Year,CFKnom
1972,777
1973,889
1974,1028
1975,1278
1976,1780
1977,2154
1978,2587
1979,2911
1980,3413
1981,3837
1982,4572
1983,5309
1984,5654
1985,6417
1986,7611
1987,8808
1988,9458
1989,9884
1990,10543
1991,11294
1992,11794
1993,12250
1994,12637
1995,13121
1996,13815
1997,14516
1998,14958
1999,15673
2000,16129
2001,17574
2002,18527
2003,18920
2004,19691
2005,21091
2006,22661
2007,24758
2008,26062
2009,28551
2010,29963
2011,29971
2012,30308
2013,31029
2014,31986
2015,33408
2016,35948
2017,37874
2018,39739
2019,45170
2020,46879
2021,48999
