Year,GDPEnom
1972,6990
1973,8080
1974,9361
1975,10203
1976,11506
1977,13972
1978,15667
1979,17810
1980,20546
1981,23988
1982,29028
1983,33426
1984,37253
1985,42244
1986,48779
1987,57953
1988,65167
1989,70628
1990,74635
1991,76167
1992,75986
1993,78309
1994,84460
1995,90337
1996,96236
1997,101101
1998,104815
1999,106826
2000,113229
2001,119839
2002,128712
2003,135181
2004,144502
2005,154559
2006,162937
2007,172004
2008,186673
2009,189406
2010,194306
2011,203342
2012,213025
2013,217489
2014,232792
2015,242670
2016,255340
2017,271271
2018,290804
2019,306327
2020,323967
2021,327246
