Year,Gross Domestic Product - production measure,Disposable Income - gross
1992,31772,28957
1993,31788,29088
1994,33415,30520
1995,34650,31848
1996,35733,32879
1997,36465,33342
1998,36773,33936
1999,36778,34131
2000,38570,35351
2001,39459,36536
2002,40469,37989
2003,41609,38681
2004,42697,40414
2005,43806,41526
2006,44751,41897
2007,45506,42601
2008,46456,44130
2009,45556,43352
2010,45000,43325
2011,45216,43920
2012,45922,44967
2013,46685,45237
2014,47472,47515
2015,48411,48339
2016,49181,49069
2017,49915,50138
2018,50680,51186
2019,51484,51795
2020,51663,52804
2021,50163,51397
