,DR,DRyoung,DRold
1960,63.31634717,49.30934663,14.00700054
1961,63.34210475,49.3258768,14.01622795
1962,63.01340801,49.00000637,14.01340164
1963,62.62466406,48.62832408,13.99633998
1964,62.25319664,48.30199349,13.95120315
1965,61.79921638,47.91199021,13.88722617
1966,61.29639608,47.4895021,13.80689398
1967,60.70594571,46.99452369,13.71142203
1968,60.07716335,46.48390757,13.59325578
1969,59.59302023,46.11406678,13.47895345
1970,59.22753955,45.82457064,13.40296891
1971,58.8738415,45.50077067,13.37307083
1972,58.5202054,45.09919693,13.42100847
1973,58.05398453,44.53733299,13.51665154
1974,57.43339625,43.82241127,13.61098498
1975,56.75140659,42.9991767,13.7522299
1976,56.01446144,42.07566496,13.93879648
1977,55.25855768,41.14010455,14.11845313
1978,54.57405903,40.25536477,14.31869427
1979,53.99460754,39.44614995,14.54845758
1980,53.53746473,38.76989236,14.76757237
1981,53.13906023,38.19843535,14.94062488
1982,52.71671209,37.64693364,15.06977845
1983,52.22676613,37.04522993,15.1815362
1984,51.68135817,36.36519678,15.31616138
1985,51.11029609,35.60933535,15.50096074
1986,50.53633388,34.79913687,15.73719701
1987,50.03901376,34.07116613,15.96784764
1988,49.703331,33.53338554,16.16994546
1989,49.51558026,33.16218696,16.3533933
1990,49.49637663,32.92652052,16.56985611
1991,49.64603298,32.79244769,16.85358529
1992,49.84615137,32.69997815,17.14617322
1993,50.02849169,32.60389001,17.42460167
1994,50.14672334,32.48394661,17.66277673
1995,50.17038049,32.31617707,17.85420341
1996,50.11300833,32.09044488,18.02256345
1997,49.99826578,31.83084319,18.16742259
1998,49.85535188,31.56017985,18.29517203
1999,49.67625763,31.28417435,18.39208328
2000,49.48967235,30.99997447,18.48969788
2001,49.30850691,30.69132577,18.61718115
2002,49.08604623,30.34544765,18.74059858
2003,48.86026883,29.99159031,18.86867852
2004,48.66810302,29.65574348,19.01235955
2005,48.49440799,29.33510318,19.15930481
2006,48.35231525,29.04965281,19.30266244
2007,48.24343854,28.80910983,19.4343287
2008,48.15918684,28.59274139,19.56644545
2009,48.19407613,28.41119636,19.78287977
2010,48.41763196,28.28298751,20.13464445
2011,48.82800404,28.23439413,20.59360992
2012,49.39023509,28.28821336,21.10202172
2013,49.98463717,28.38552374,21.59911343
2014,50.54840341,28.47082313,22.07758028
2015,51.11544751,28.56167068,22.55377683
2016,51.66474183,28.64835795,23.01638388
2017,52.1351553,28.67819654,23.45695876
2018,52.55292043,28.64967158,23.90324885
2019,52.92950291,28.5648619,24.36464101
2020,53.31620405,28.42747363,24.88873042
2021,53.71014185,28.24166856,25.46847329
2022,54.04079032,28.00468682,26.0361035
2023,,,
