STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,ASGS_2011,Region,SEX_ABS,Sex,AGE,Age,FERTILITY,Fertility Assumption,MORTALITY,Mortality Assumption,NOM,Net Overseas Migration,FREQUENCY,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2022,,1622393,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2023,,1616136,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2024,,1625050,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2025,,1647330,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2026,,1690650,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2027,,1745173,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2028,,1810784,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2029,,1869969,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2030,,1926423,,NUM,Number,,,,
DATAFLOW,ABS:POP_PROJ(1.0.0),"Population Projections, Australia, 2022-2071",I,0,Australia,3,Persons,A45,45 - 49,2,Medium fertility,2,Medium life expectancy,2,Medium NOM,A,Annual,2031,,1968869,,NUM,Number,,,,
