Statistic,Productivity,Unemployment,Job-Finding Rate,Separation Rate,UE Transition Rate,EU Transition Rate,Vacancies,Vacancy-to-Unemployment Ratio,Net Wage,Bargained Wage,Output,Market Tightness,OJS Probability,Search Effort,Job-to-Job Transitions,J2J Transition Rate
Mean,1.0008098994593713,0.04175039752525865,0.38571929742485084,0.01680015053673799,0.016098672291125157,0.016098737698298938,0.11280038016290797,2.7057741757715945,1.0563276325124544,0.9865228879627979,0.959046859919878,1.0164366247162941,0.06918430313829738,0.11093470066355582,0.026695849318724898,0.02785820384560997
Std. Dev.,0.013840968619605735,0.007811566878756537,0.008940977779543448,9.960322997779357e-6,0.00386413808653214,0.0003354165964161816,0.03420715621335067,0.040981440561816455,0.013228872082866282,0.01347365305953277,0.01414988904122986,0.02980308430685459,0.015681077054150932,0.008717299761637777,0.02239060960983933,0.02215188467389502
Correlation (Productivity),1.0,0.05005788713173244,0.04162763302599169,-0.04077679087695123,0.22182585254065493,-0.06277237952969011,0.07243818855242903,0.054129718344569665,0.05397174852312662,0.052469882220321284,0.049486176645019433,0.054129718344569665,0.07434858794220107,0.09953849031249203,0.06266174390397924,0.0643170964891757
Elasticity wrt Productivity,1.0,-0.10559437040348989,0.21666823171129643,-0.15701521188275944,0.3176322861537427,0.0876301613453738,0.24868867626999497,0.23338657764823476,0.23325604244962173,0.23161594138734937,0.2284074963757443,0.23338657764823476,0.19113739632832263,0.17729161051570186,0.21287539566687985,0.21380893937828113
Autocorrelation,1.0,-0.3156303340239689,0.4470739732376377,-0.3125796987214659,0.43203445791315864,0.2912981003707613,0.4789033575513863,0.46878700838311194,0.46875472796144646,0.4670102144884117,0.46369862760818803,0.46878700838311194,0.34106421572597245,0.2739828977187365,0.4081464296466324,0.4080032908820441
Other Correlation Terms,1.0,-0.5897440929761864,0.7408649222020223,-0.5149052567351352,0.5650254389299831,0.5579740741874553,0.7708929398284755,0.7679936892293003,0.7681314062991877,0.7663929513347922,0.7631943644797958,0.7679936892293003,0.5309041441404919,0.3939627093541688,0.6569416845065084,0.6553017327383052
Mean,1.0,-0.9026085094097183,0.997517450794031,-0.6382983186731525,0.5217511600641652,0.8752864672462366,0.9719868841648652,0.9995192808911332,0.999843662857945,0.9999819089254193,0.99994677016681,0.9995192808911332,0.6214391248282426,0.39061720174801645,0.8416666921008168,0.8371295408024766
Std. Dev.,1.0,-0.9562752832560791,0.7874807635753172,-0.4363016671849772,-0.12308495057998677,0.9680015904978035,0.6835514833867106,0.7596457739435141,0.7597034938775108,0.764116227732653,0.7719670692699503,0.7596457739435141,0.3630892517697128,0.08411267255916435,0.5842784112280265,0.5757425527350938
Correlation (Productivity),1.0,-0.7287101329064248,0.48255500380561617,-0.2501558574738076,-0.39239879156068636,0.7549385540337612,0.3913215248170242,0.4604695101661333,0.46028331243416265,0.4647262346553772,0.4736014557275906,0.4604695101661333,0.1854709190743887,-0.039237413440620955,0.3309477282349624,0.32301768903217587
Elasticity wrt Productivity,1.0,-0.4572657135345293,0.24371902017388714,-0.10961894283056402,-0.40068453207224874,0.4827364938425196,0.17805827983033506,0.22676957684904994,0.22643349364163423,0.22977939408076375,0.2368581319074974,0.22676957684904994,0.07041304145050553,-0.0779663012612348,0.15262316545926385,0.1469384416597876
