,EE,EU,EN,UE,UU,UN,NE,NU,NN,EU_inv,EU_vol,EU_j2j,UNEMP,EMP,NILF
1,304296096.3,934683.2174,6534485.586,3621730.169,9076300.955,3358373.863,7045620.708,4141687.187,62710719.31,892567.6103,395858.5101,422511.3954,32255782.91,581906520.6,143369126.9
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,2645620.733,,0.159702179,,,
,,,,,,,,,s,0.00454647,,,,,
,,,,,,,,,u,0.052519965,,0.079669779,,,
,,,,,,,,,f,0.112281577,,0.067809107,,,
,,,,,,,,,,,,0.851127083,,,
,,,,,,,,,ust,0.038915915,1.349575504,,,,
,,,,,,,,,ust_novol,0.032905464,0.044408409,,,,
,,,,,,,,,,18.26581226,4.4,,,,
,,,,,,,,,,,14.6,,,,
