,EE,EU,EN,UE,UU,UN,NE,NU,NN,EU_inv,EU_vol,EU_j2j,UNEMP,EMP,NILF,age,SEP_RATE,inv_share,vol_share,,EU_all,UE_all,E_all,U_all,vol_EU_strict,,
1,1062989.416,15696.31974,144843.3511,56432.76522,128492.0008,146354.8298,140076.3937,195621.1833,2383587.72,748.6241775,2455.846262,5473.683705,828246.5927,2616081.416,6623092.228,15,0.009317169,0.03071345,0.22456623,,24374.47388,56432.76522,2616081.416,828246.5927,5473.683705,,0.182338133
2,1971994.4,20260.4768,235027.9622,73725.65498,185376.4617,168061.3816,199541.1601,203945.2114,2550602.944,7326.510729,5942.527991,6653.001728,796325.1224,3898572.83,5469006.872,16,0.010306981,0.182330805,0.165569561,,40182.51725,73725.65498,3898572.83,796325.1224,6653.001728,,0.131439712
3,2390232.997,23373.17082,233569.0088,81905.14663,208902.7177,130304.3174,191633.7722,168097.3703,2009495.675,12051.12405,8815.956011,11680.30234,845278.076,4849948.264,4600815.635,17,0.011530134,0.215504378,0.208873154,,55920.55322,81905.14663,4849948.264,845278.076,11680.30234,,
4,2977167.798,41332.0152,177505.1614,122634.1676,302783.5208,157389.172,166665.0811,167918.2782,1238515.421,22543.95474,12322.15022,13645.90984,1141924.862,6150842.565,3220316.25,18,0.014606784,0.250923236,0.151884436,,89844.03,122634.1676,6150842.565,1141924.862,13645.90984,,
5,3412973.914,27269.40589,163314.3975,100246.4694,276578.3141,119360.4675,129603.2852,119409.8501,971620.8777,21588.42663,12601.60917,17047.61318,1023556.806,7125168.262,2698434.419,19,0.011018274,0.274987091,0.217147532,,78507.05487,100246.4694,7125168.262,1023556.806,17047.61318,,
6,3591151.014,31239.75307,147028.0905,96429.08011,263707.3966,106648.376,127569.039,107139.3029,986174.3142,21258.30837,12654.24133,11109.67141,949179.8499,7533138.753,2724762.7,20,0.010123532,0.278753712,0.145677732,,76261.97418,96429.08011,7533138.753,949179.8499,11109.67141,,
7,3844144.006,23798.84745,147210.4768,102264.425,264490.5681,101207.4768,131510.8233,97444.26337,998151.0865,26335.27084,12628.9176,13881.67287,910629.5265,7940007.752,2683988.838,21,0.009652977,0.343601943,0.181117172,,76644.70876,102264.425,7940007.752,910629.5265,13881.67287,,
8,4058303.749,21230.00267,124082.9712,91073.37837,230406.0231,78601.43713,124528.434,91289.55266,960003.9186,24924.08322,12771.87649,13232.60075,866608.8999,8499793.391,2527408.709,22,0.008489449,0.345407144,0.183382265,,72158.56313,91073.37837,8499793.391,866608.8999,13232.60075,,
9,8029702.79,40601.79901,242490.1611,153108.8206,358463.8314,118529.2329,227424.7034,143134.7374,1530909.202,41677.93831,19331.71419,21007.33701,1381688.438,16895447.86,4246310.524,23,0.007257504,0.339898468,0.171322334,,122618.7885,153108.8206,16895447.86,1381688.438,21007.33701,,
10,8395540.849,40491.47833,220218.785,157658.681,377343.921,111553.6039,199465.5604,128502.1689,1511436.844,30450.63296,23712.16213,21096.49774,1343835.093,17632145.8,4122784.997,24,0.006564758,0.26307067,0.182257945,,115750.7712,157658.681,17632145.8,1343835.093,21096.49774,,
11,8757282.077,36504.93016,216330.4696,139683.3448,335918.9564,115733.554,208296.6666,127888.5299,1544118.106,30555.58004,13856.10218,16139.60063,1226236.838,18137325.77,4045182.095,25,0.005351187,0.314823535,0.166291267,,97056.21301,139683.3448,18137325.77,1226236.838,16139.60063,,
12,9097146.974,30174.61049,187957.0105,116234.8006,301555.9404,100204.963,202856.0277,121353.8121,1496167.811,25552.41133,17095.19673,22968.46764,1114038.121,18545168.92,3755297.615,26,0.005165264,0.266752566,0.239777671,,95790.68619,116234.8006,18545168.92,1114038.121,22968.46764,,
13,9481836.483,27847.40141,219899.86,113263.8871,295736.9757,95622.20626,187594.9472,107764.2887,1527908.698,32123.99282,17355.08476,16609.05767,1086692.674,19474167.99,3817644.716,27,0.004823597,0.341979127,0.176813358,,93935.53666,113263.8871,19474167.99,1086692.674,16609.05767,,
14,9318267.874,28685.01276,193934.5696,127175.3113,251847.0673,97972.81912,205478.5998,97925.52319,1509854.12,27724.42426,18798.5516,14844.52422,978311.6772,18908424.83,3715117.825,28,0.00476256,0.307869524,0.164842976,,90052.51283,127175.3113,18908424.83,978311.6772,14844.52422,,
15,8979329.898,26107.18646,198230.1254,106159.2165,235932.5458,79456.36443,208416.4039,94457.90194,1521023.766,23988.75356,14318.49816,16461.41442,914663.2763,17916997.19,3609978.876,29,0.004513918,0.296612064,0.2035393,,80875.85259,106159.2165,17916997.19,914663.2763,16461.41442,,
16,8563273.266,22011.94303,176451.5431,103128.0422,221253.7354,76592.63619,199992.9254,93529.16843,1412132.943,21818.46336,11385.49193,16178.75627,791304.4468,16804293.12,3361902.883,30,0.004248596,0.305603598,0.22661019,,71394.65459,103128.0422,16804293.12,791304.4468,16178.75627,,
17,7751098.702,20339.14991,192466.9616,91827.06031,193309.9699,76131.89115,180506.8111,81913.31289,1365019.784,20936.32631,8549.730674,9471.35907,692196.6736,15199149.94,3123986.951,31,0.003901308,0.353078226,0.159728627,,59296.56596,91827.06031,15199149.94,692196.6736,9471.35907,,
18,7531908.68,15770.01665,173998.3048,78429.88658,190633.5805,63567.65736,183458.6159,68878.51528,1346701.377,17837.38459,8570.783542,9192.516014,647067.4347,14751025.11,3008620.026,32,0.003482517,0.347228757,0.178944727,,51370.7008,78429.88658,14751025.11,647067.4347,9192.516014,,
19,9224581.872,23217.25368,196833.9838,85855.77637,221221.4385,79929.52438,201274.3802,116734.9783,1858503.249,18206.38712,10384.56442,7580.453044,830794.9734,17976910.58,4180256.623,33,0.003303608,0.306563368,0.127641426,,59388.65827,85855.77637,17976910.58,830794.9734,7580.453044,,
20,9672242.086,24631.56626,205938.6635,90711.8688,248637.5851,86308.0075,236696.3742,111760.5731,1905929.039,30564.9094,10528.6974,13535.76886,883068.981,18554382.67,4249665.683,34,0.004271818,0.385623848,0.170774767,,79260.94191,90711.8688,18554382.67,883068.981,13535.76886,,
21,9870849.834,21555.64104,204689.6254,96355.65385,221522.7268,72593.26987,214780.6393,108153.2137,1888252.51,22153.7314,6235.947334,9553.457845,816264.1432,18608901.27,4147488.177,35,0.003197329,0.37233927,0.160565615,,59498.77762,96355.65385,18608901.27,816264.1432,9553.457845,,
22,10154949.35,25194.77462,195155.4474,95950.37267,227895.39,69576.19795,233661.0756,103564.9334,1839778.004,30276.0458,8903.391643,11999.45139,794384.8941,18839104.65,3978174.849,36,0.004053996,0.396419976,0.157115043,,76373.66345,95950.37267,18839104.65,794384.8941,11999.45139,,
23,10264602.99,24712.209,178835.7568,89809.10785,204300.0007,71268.40907,231408.0509,107787.0173,1832183.921,27070.13392,9010.303288,6238.597211,754776.5963,19168106.98,3931261.833,37,0.003497019,0.403843529,0.093069991,,67031.24342,89809.10785,19168106.98,754776.5963,6238.597211,,
24,9865604.932,27727.67996,163834.9708,79861.94199,215233.3579,70762.39833,201693.4249,101935.8486,1612158.117,22436.2203,8388.3207,8026.877817,749839.9925,18317270.6,3564325.164,38,0.003634772,0.336985942,0.120561527,,66579.09878,79861.94199,18317270.6,749839.9925,8026.877817,,
25,4871700.313,12448.41339,77516.58049,41560.12719,99983.5317,39664.6532,86013.01554,54710.11873,882187.2169,11472.49669,3464.700433,4393.72623,365592.7341,9079451.911,1921952.515,39,0.003500138,0.361004913,0.138257329,,31779.33674,41560.12719,9079451.911,365592.7341,4393.72623,,
26,8686960.106,17504.08187,137125.0864,86050.49532,206967.2072,66013.74708,175198.6756,82494.2017,1491565.084,22727.35407,8120.166441,6549.90887,661660.6156,16131818.33,3219594.318,40,0.003403306,0.41396591,0.119302888,,54901.51125,86050.49532,16131818.33,661660.6156,6549.90887,,
27,5000702.149,13638.26953,73654.49467,48649.66697,126283.3856,44959.02108,106062.513,56798.80064,839970.1393,13361.87525,4335.889416,3398.36352,415400.4308,9213046.22,1799981.683,41,0.003770132,0.384687115,0.097838562,,34734.39772,48649.66697,9213046.22,415400.4308,3398.36352,,
28,12550423.68,28260.62678,193334.711,113853.9484,279036.6064,92332.20723,232333.5842,130680.0686,2054636.547,34359.24755,11138.00646,11229.17647,952908.3678,23109928.23,4421437.857,42,0.003677513,0.404288002,0.132128077,,84987.05727,113853.9484,23109928.23,952908.3678,11229.17647,,
29,9838844.338,25238.92881,145619.9731,89858.11641,227568.2405,79498.46569,180132.1092,99695.67743,1598881.462,22085.22284,5455.321087,7795.899302,768713.057,18135094.37,3455441.857,43,0.003340229,0.364590792,0.128697506,,60575.37204,89858.11641,18135094.37,768713.057,7795.899302,,
30,9974858.272,26000.74986,141954.6251,92239.03069,250153.2142,70979.12577,170054.9065,104354.4872,1576630.273,25491.95939,4396.436093,9269.209593,786650.071,18160901.05,3378651.483,44,0.003587837,0.391230862,0.142256655,,65158.35494,92239.03069,18160901.05,786650.071,9269.209593,,
31,10379442.05,24951.33664,145531.1352,98387.54495,231288.9342,82138.76003,172871.9328,97581.72052,1675033.88,29783.33545,9690.053619,10271.01588,771887.1168,18967701.13,3570884.984,45,0.003938049,0.398728693,0.137504705,,74695.74159,98387.54495,18967701.13,771887.1168,10271.01588,,
32,10344623.21,22451.24799,151626.9802,87578.86604,222886.0131,63156.06083,174551.8064,101457.1307,1561590.806,21215.74453,9927.178077,10288.16122,709783.5441,18495078.6,3255904.786,46,0.003454018,0.332106608,0.161048617,,63882.33182,87578.86604,18495078.6,709783.5441,10288.16122,,
33,10141139.83,14319.51128,147986.2649,83230.93158,219683.189,67682.25321,173949.5801,88148.12887,1570454.694,17605.79498,5617.016656,5898.992663,658149.4619,18428323.81,3340712.028,47,0.002357312,0.405277666,0.13579222,,43441.31559,83230.93158,18428323.81,658149.4619,5898.992663,,
