EE,EU,UE,EN,UU,UN,NE,NU,NN,EU_j2j,EU_inv,EU_vol,EMP,UNEMP,NILF,AGE_rb,date,,urate,jf rate,sep rate,vol sep sh,urate impl,urate impl w/o,,,,urate,jf rate,sep rate,vol sep sh,implied urate,urate w/out vol seps,,,urate impl,urate impl w/o,,,,
558024.2573,22265.87364,21281.47367,46277.05098,40045.87891,28616.78232,49725.07456,34812.29846,201427.7048,1822.982816,3165.637048,2532.930146,2222392.509,379290.4389,1015629.728,15-24,2001.083333,,0.145786572,0.056108648,0.013403314,0.14623329,0.192820247,0.169400036,,,15-24,0.115425815,0.132792963,0.014282361,0.328541908,0.097109162,0.067353611,0.693586575,,0.192820247,0.169400036,0.08366323,0.054295229,0.028268731,0.018865397
1977249.267,26373.57782,60397.10434,104732.5035,179863.4411,75371.97692,89530.46861,86718.14292,783174.3542,9760.647495,17519.1546,8932.999857,2934607.615,471003.5711,1386864.22,15-24,2001.333333,,0.138302215,0.128230672,0.021327001,0.298685551,0.142600514,0.104456904,,,25-34,0.05197953,0.153144212,0.007276018,0.364143617,0.045355988,0.029324216,0.646534609,,0.142600514,0.104456904,0.051566438,0.032644453,0.021265425,0.014780014
1532448.396,15746.00014,41417.61564,89471.46717,108188.1848,59592.23415,61308.57693,58098.33634,635421.9325,7154.226757,11213.58044,8231.647368,2386046.699,329434.6271,1210214.17,15-24,2001.583333,,0.121317213,0.125723322,0.017747119,0.363341809,0.123698784,0.082460004,,,35-64,0.038808425,0.139823326,0.004684791,0.24198189,0.03241888,0.024768401,0.764011614,,0.123698784,0.082460004,0.049247577,0.034393304,0.027711157,0.020537563
1212809.174,15041.59177,52615.42426,69581.34712,82815.56725,46047.9337,58165.45096,54248.88913,499377.0616,3902.282455,7872.373593,3109.211684,2050688.017,286503.8898,1025460.154,15-24,2001.833333,,0.122584666,0.183646457,0.014592887,0.234298629,0.073612468,0.057354376,,,,,,,,,,,,0.073612468,0.057354376,0.069145586,0.051003322,0.025923101,0.018542659
1352454.289,20518.79961,57811.13139,76588.15818,126499.9279,55209.65898,68104.62161,68256.15871,511726.6857,8031.863719,12460.76132,9174.989423,2304210.439,400845.5282,1045821.175,15-24,2002.083333,,0.148183821,0.144222967,0.021780308,0.342858789,0.131204088,0.09028085,,,,,,,,,,,,0.131204088,0.09028085,0.053553694,0.040564916,0.019493599,0.012590602
2082802.446,21991.37244,59821.30813,99411.23356,167926.4591,73142.28258,83735.03098,80950.01444,900244.7217,9180.363609,12332.61957,5728.137622,2953035.807,419154.9124,1496808.734,15-24,2002.333333,,0.124297511,0.142718853,0.016671824,0.302818327,0.104597235,0.075308597,,,,,,,,,,,,0.104597235,0.075308597,0.057582317,0.035321467,0.025922335,0.019341132
1514502.885,11162.25434,36064.62521,78660.58189,93414.3227,39557.01272,67698.95207,71289.25141,689374.6294,7229.063189,9554.175587,4872.251065,2387100.899,325547.6918,1255971.212,15-24,2002.583333,,0.120011008,0.110781388,0.01374795,0.368743025,0.110399287,0.072647734,,,,,,,,,,,,0.110399287,0.072647734,0.040783728,0.026417115,0.027812662,0.020585267
1108945.632,15029.02277,39101.3416,68878.07098,73436.80642,44148.21915,63250.55648,43844.19776,467625.1275,7237.712059,6258.218513,2608.682746,2023196.215,257339.9805,1034097.601,15-24,2002.833333,,0.112841875,0.151944294,0.015388342,0.316262282,0.091962589,0.064761843,,,,,,,,,,,,0.091962589,0.064761843,0.033137475,0.021805398,0.023126074,0.015204492
1380594.705,25145.43746,53047.79285,78766.29208,110350.1612,57968.76888,72010.8053,70089.17436,495474.4752,7392.50163,7356.23652,7339.339903,2334726.89,365100.7331,1035827.934,15-24,2003.083333,,0.135231127,0.14529632,0.020230853,0.311893819,0.122220734,0.08743381,,,,,,,,,,,,0.122220734,0.08743381,0.057694446,0.037364268,0.046967598,0.040207526
2084547.375,28696.47967,61421.99198,84362.4977,160380.4965,79179.97832,91224.11703,78618.44522,862015.7875,9197.600224,17421.73551,6909.043693,3034015.118,416499.5067,1485484.529,15-24,2003.333333,,0.120706489,0.147471944,0.02050908,0.258845808,0.122091648,0.093441769,,,,,,,,,,,,0.122091648,0.093441769,0.06410002,0.043613399,0.035729677,0.031895958
1529474.768,12046.25238,41247.10198,80008.0057,96879.0076,46179.34924,67661.02921,61860.06351,702643.6063,5505.652772,9771.024521,2515.985815,2459912.6,299633.761,1293887.845,15-24,2003.583333,,0.108580803,0.137658393,0.012130071,0.268831439,0.080981346,0.060528745,,,,,,,,,,,,0.080981346,0.060528745,0.027828176,0.017453191,0.027110867,0.022016986
1239924.409,12207.39728,34453.87466,75401.39336,65478.86861,35616.96966,66106.70612,51108.51586,489217.7167,5573.177706,4260.165852,4135.774834,2138919.489,244080.563,1045704.116,15-24,2003.833333,,0.102425748,0.141157797,0.012238196,0.370903166,0.079781718,0.051720915,,,,,,,,,,,,0.079781718,0.051720915,0.051514712,0.036432025,0.037266935,0.027880309
1411178.38,20213.91209,52287.20963,80887.58203,115521.8314,55131.80208,73382.57088,62225.83612,498194.7848,7350.051235,8116.616092,9030.398913,2420013.187,356059.2386,1063421.749,15-24,2004.083333,,0.128260068,0.146849748,0.01847551,0.366363045,0.111752495,0.073833397,,,,,,,,,,,,0.111752495,0.073833397,0.046322444,0.028112257,0.029576231,0.020581329
2198841.176,25463.28335,63803.4457,104664.6551,148986.0358,83706.81523,87092.51632,77301.94288,881875.497,10622.00898,13356.81462,9512.113727,3125213.868,383397.7436,1495526.396,15-24,2004.333333,,0.10927335,0.166415809,0.01886406,0.341521311,0.101813865,0.069457406,,,,,,,,,,,,0.101813865,0.069457406,0.025203118,0.019481238,0.026087534,0.020257369
1526445.079,13527.64418,35281.72571,101774.1535,95245.51205,38477.42736,47626.62358,51136.19175,692713.5293,5375.787104,8865.244118,3715.204508,2449780.818,300198.8909,1340854.115,15-24,2004.583333,,0.109164039,0.117527835,0.012851713,0.288750676,0.098571541,0.072162885,,,,,,,,,,,,0.098571541,0.072162885,0.040075727,0.025294592,0.026514991,0.020863981
1138028.539,9296.983969,28715.28217,44419.59965,57895.32678,39335.52845,43095.19595,43361.31019,466718.8284,3648.205116,5243.642292,932.111456,1998162.452,219353.922,1008442.079,15-24,2004.833333,,0.098918738,0.130908451,0.009569263,0.239544494,0.068119441,0.052661109,,,,,,,,,,,,0.068119441,0.052661109,0.053255208,0.04100885,0.024108853,0.017438123
