EE,EU,UE,EN,UU,UN,NE,NU,NN,EU_j2j,EU_inv,EU_vol,EMP,UNEMP,NILF,date,,urate,jf rate,sep rate (all),sep rate (vol),vol sep sh,implied urate,vol sep share (including temp jobs)
0,0,0,0,0,0,0,0,0,0,0,0,6298487.528,554535.6979,3199519.575,1982.833333,,0.067309069,0.09943929,0.005380387,0.000743558,0.181374849,,
3164362.582,49514.5817,55424.8264,96806.3596,229402.2762,44677.2467,119894.208,78007.5445,1485102.841,0,0,0,6200047.263,749065.1057,3146016.938,1983.083333,,0.107792919,0.073992001,0.007986162,0,0,0.097418162,
1191607.396,14148.4775,17216.8323,35016.381,74540.1527,14644.7901,23984.0191,20203.9319,579823.2822,0,0,0,6182067.606,685564.6748,3308385.636,1983.583333,,0.099825478,0.02511336,0.002288632,0,0,0.083520643,
1199321.035,24096.7203,21538.302,49053.1881,79356.2834,21589.4436,34288.7244,26283.1335,542291.4372,0,0,0,6300070.784,735497.2907,3224853.657,1984.083333,,0.104539858,0.029283999,0.003824833,0,0,0.115523049,
3272956.827,32536.2676,42805.0428,80372.0838,207600.717,55185.2698,80757.0912,41988.0062,1506389.984,0,0,0,6422760.5,635218.0427,3246013.285,1984.333333,,0.089999996,0.067386377,0.005065776,0,0,0.069918919,
3358594.594,41999.2877,44297.368,106688.8852,210209.5406,40034.7275,74663.116,47607.2874,1617048.078,0,0,0,6397942.202,603229.2798,3345808.565,1984.583333,,0.086161192,0.073433717,0.006564499,0,0,0.082058072,
3394264.508,37917.6065,49383.1668,91685.2893,173211.1608,47038.585,95188.8134,60594.8581,1561943.061,0,0,0,6507712.923,570542.3382,3310586.017,1984.833333,,0.08060494,0.08655478,0.005826564,0,0,0.063070787,
3323550.059,67142.9793,66858.9328,142619.8228,159304.7339,50742.958,160558.2186,84196.2033,1508832.936,0,0,0,6531376.169,673589.4565,3230616.215,1985.083333,,0.093489614,0.099257689,0.010280066,0,0,0.093849524,
3390186.94,37701.8896,53277.5424,82638.8838,199807.2639,43490.2324,91113.9088,53699.2184,1553487.066,0,0,0,6590300.065,607879.8572,3281659.499,1985.333333,,0.084449106,0.087644856,0.005720815,0,0,0.06127322,
3411821.929,52249.7047,68855.5681,128162.978,172689.0195,46215.2414,109794.0267,51251.6071,1574375.887,0,0,0,6610394.31,571307.9084,3350134.009,1985.583333,,0.079550487,0.120522694,0.007904174,0,0,0.061546107,
3546013.911,35248.547,58583.9986,82275.3073,170202.0609,40319.1439,107747.1299,59971.4308,1608730.645,0,0,0,6813152.985,541824.6887,3234115.353,1985.833333,,0.073667754,0.108123531,0.005173603,0,0,0.045664021,
3444207.862,47469.5811,53545.3308,103071.2662,195474.9015,49027.4294,139583.9856,73772.507,1508460.559,0,0,0,6794767.756,664657.8592,3180575.112,1986.083333,,0.089103088,0.080560743,0.006986196,0,0,0.079799435,
3549438.193,20273.66188,55067.5722,112845.718,181095.7879,44572.24964,96136.01635,51029.36954,1474806.385,0,20677.86447,4270.715589,6908438.596,593463.9311,3186628.04,1986.333333,,0.079108457,0.092790091,0.006545943,0.000618188,0.094438387,0.065896959,
3501662.524,19708.763,61471.1476,133351.5964,155987.1351,52005.5829,102078.6354,61406.2529,1497725.468,0,30793.1522,6173.3708,6853388.732,597324.6041,3286535.199,1986.583333,,0.080170123,0.102910791,0.008269673,0.000900776,0.108925269,0.074380633,
3704822.182,14521.5434,59435.0918,101259.1003,173582.6918,47376.4418,99666.4341,59471.9584,1570433.766,0,16986.8626,5132.3705,6965744.02,583683.3835,3231228.87,1986.833333,,0.077314921,0.101827623,0.005260138,0.000736801,0.140072646,0.049119882,
3565699.597,22573.7438,55192.2136,107147.5285,216129.4934,48259.7431,151602.9826,81385.1264,1510227.573,0,16161.6187,4877.6457,6953713.894,699449.2629,3184651.103,1987.083333,,0.091393486,0.078908102,0.006271901,0.000701445,0.11183924,0.073631148,
3697505.049,16476.13612,55155.18458,97164.49104,199038.1709,51423.26588,89496.52708,55531.6628,1536231.907,0,21397.24188,5077.778536,7034841.84,634504.7371,3222800.508,1987.333333,,0.082732568,0.086926356,0.00610549,0.000721804,0.118222161,0.065627957,
3673157.818,16373.285,59057.00395,130343.618,192547.4976,50450.61,96827.08663,50153.2407,1548107.487,0,21960.3405,6290.077633,7018717.605,601367.2438,3315268.908,1987.583333,,0.078918707,0.098204557,0.006357814,0.000896186,0.140958217,0.060804037,
1248309.84,3736.2921,21409.8953,42995.5353,57756.1045,14298.2498,30923.4732,17632.936,536741.5379,0,4763.644,1426.1025,7098838.542,566296.6004,3324853.703,1987.833333,,0.073879532,0.037806858,0.001398262,0.000200892,0.143672875,0.035665299,
2799187.96,15748.0567,46604.8306,94100.7969,146312.7166,44032.8278,110010.6074,55701.4548,1153059.517,0,15672.9568,4995.3349,7172878.26,643552.7439,3237687.986,1988.083333,,0.082333324,0.072418043,0.005076951,0.00069642,0.137172867,0.065513271,
3881944,16315.8367,60041.4761,100110.6027,181726.3161,55973.5149,78903.2379,48526.9081,1529336.515,0,18864.3459,4528.4692,7277441.461,592543.9331,3230127.958,1988.333333,,0.075291618,0.101328311,0.005456403,0.000622261,0.114042381,0.051097227,
3747863.42,16097.9515,42702.2172,108625.8851,161965.8583,41347.6497,98714.5801,55297.2997,1524432.362,0,12592.2909,6287.5054,7277564.877,538471.4355,3322981.184,1988.583333,,0.068893159,0.07930266,0.004806243,0.000863957,0.179757297,0.057143098,
3856865.961,12926.1729,46921.7596,101724.0138,146573.5973,47402.3497,95037.1849,51738.5308,1577205.975,0,16669.8655,4865.1108,7427562.903,487793.6116,3275782.656,1988.833333,,0.061626234,0.096191829,0.004639631,0.000655008,0.141176685,0.046013722,
3773329.957,19258.9436,63533.0154,126293.9655,170659.9295,44210.4095,157292.067,64820.0944,1499934.778,0,17262.6543,7174.2426,7490104.268,596286.3638,3169848.738,1989.083333,,0.073739495,0.106547825,0.005833809,0.000957829,0.164185939,0.0519107,
3982942.95,17420.1128,51723.2132,96687.0868,159245.0827,44191.057,97665.7841,46047.0076,1479359.578,0,16571.4419,7601.1028,7642662.361,516041.244,3137064.71,1989.333333,,0.063250397,0.100230774,0.005442169,0.000994562,0.182751073,0.051500115,
4075492.947,13872.6915,46219.8919,115489.9421,136500.1239,43272.042,101458.3127,48578.6161,1497208.195,0,16388.0346,6313.5034,7643158.895,467228.9141,3231640.287,1989.583333,,0.057608702,0.098923441,0.004785224,0.000826033,0.172621638,0.046141027,
4074033.2,15674.2348,50357.9523,106162.0918,128708.0527,39647.3478,110251.0957,49220.2236,1495090.141,0,13280.0139,5076.3264,7782477.746,443947.2807,3163829.224,1989.833333,,0.053966003,0.11343228,0.004372717,0.000652276,0.149169574,0.037118267,
3873072.437,26252.9726,65096.5127,131545.6075,140129.2886,46185.0558,172667.4466,70355.8469,1426353.42,0,21592.9698,7761.3159,7724998.136,591789.5412,3113461.902,1990.083333,,0.071156024,0.109999431,0.007198352,0.001004701,0.139573792,0.06142055,
