,,,,,,,,,,,,,,,,,0.054889928,0.13731835,0.006537163,0.045809784,0.293278973,,0.032549007,0.710525214
EE,EU,UE,EN,UU,UN,NE,NU,NN,EU_j2j,EU_inv,EU_vol,EMP,UNEMP,NILF,date,,urate,jf rate,sep rate,urate-impl,vol sep sh,,,
3551714.603,35108.26181,53918.26347,125511.0026,124967.2696,59545.84769,165425.4342,82981.42774,1202351.442,6250.739609,17842.04752,10114.98246,12548026.82,970349.8891,4806658.673,2001.083333,,0.07178006,0.055565795,0.005524058,0.090425135,0.236102987,,,
11697391.86,60796.40834,154686.4045,355453.8096,507834.7894,187365.1172,312164.5825,197974.2035,3993997.741,22972.53491,51995.23812,21990.83889,16452543.74,1216705.032,6245259.453,2001.333333,,0.068860032,0.127135502,0.009588488,0.070130254,0.28502024,,,
9349071.111,40242.51356,120204.5369,294793.6647,342187.6494,135739.2377,233198.7507,152377.176,3191529.54,15239.54795,42119.46523,14449.4447,13660471.09,933128.2227,5333291.869,2001.583333,,0.063940924,0.128818885,0.00820257,0.059863399,0.264959708,,,
7409260.039,42576.09629,123466.7247,228642.765,275352.5659,110918.3974,194375.6473,118939.0835,2587488.577,9653.307292,32208.03896,12401.70129,11663485.09,800796.5369,4531261.396,2001.833333,,0.064247308,0.154179893,0.008302762,0.051099376,0.227748901,,,
8426015.513,49078.21189,150210.5993,215819.4876,364574.1378,130172.3553,265647.8305,162572.1031,2907819.891,15860.04978,39185.96971,16279.45329,12924475.64,1020395.163,4908664.459,2002.083333,,0.073173511,0.147208263,0.009315943,0.05951759,0.266931225,,,
12312502.25,62079.45809,168848.1841,327602.8413,490552.922,175715.1851,278347.923,197292.3324,4306908.059,19360.21321,43053.94605,23610.33362,16705176.19,1135844.189,6458829.53,2002.333333,,0.063664755,0.148654354,0.008865752,0.056283305,0.290137748,,,
9417445.674,36224.77407,111693.7278,259529.7232,285084.8439,113956.7097,215877.0678,150276.4132,3273841.783,20114.36744,38844.15989,12961.35705,13893031.15,866653.5956,5404175.663,2002.583333,,0.058717622,0.128879322,0.007784094,0.056958139,0.305847048,,,
7014931.681,38348.62844,106081.0384,204332.6872,212008.3222,101697.6659,201781.878,106730.2472,2391847.095,12833.75497,20602.47773,9351.385344,11703621.28,691990.5885,4432625.335,2002.833333,,0.055825448,0.153298383,0.006932576,0.043266147,0.273430696,,,
8416564.614,54961.93287,140684.3209,237170.1889,318423.0977,116998.8396,291876.5028,169530.8101,2754671.511,14267.49799,27806.21403,18932.93492,13138243.93,934320.9633,4724658.907,2003.083333,,0.066393083,0.150573867,0.008826795,0.055374893,0.286288174,,,
12376640.32,76858.64406,170568.8662,328215.9932,437192.932,181818.7961,313784.4753,195849.9632,4059964.532,21441.72069,50054.61016,25089.53179,17169278.34,1113717.353,6305492.336,2003.333333,,0.060915474,0.153152742,0.010102027,0.061878907,0.268277464,,,
9611312.929,33509.25955,126114.9692,295782.1589,298016.7329,120785.1665,233687.5121,152605.5765,3210088.679,12319.71152,28936.64842,9033.465836,14292635.94,821186.3178,5454717.122,2003.583333,,0.054333464,0.153576559,0.005863095,0.03677313,0.254813967,,,
7668170.033,34102.96764,96841.83533,232753.8545,213721.54,99021.61041,204794.48,111573.8631,2532192.263,10127.79288,22808.94558,8616.105405,12142645.85,658442.4047,4576488.79,2003.833333,,0.05143644,0.147077155,0.006230587,0.040641046,0.24775226,,,
