,,,,,,,,,,,,,,,,,,0.0502,0.2304,0.0114,,,,,
date,EE,EU,EN,UE,UU,UN,NE,NU,NN,EU_INV,EU_VS,EU_VS_loose,EU_REASONS,E,U,N,,Urate,Frate,Srate,Vshare,Vshare_loose,,EU_inv,involuntary seps
1996.166667,1.17891E+12,14055219799,80301953566,15438200489,41309362285,6036481299,85230005340,8287926748,6.2089E+11,2422611103,2332722842,3079667130,6096781100,1.28308E+12,66773823309,7.05843E+11,,0.049467398,0.231201386,0.01095427,0.382615483,0.505130015,,EU_vs,voluntary seps (strict)
1996.25,1.18541E+12,14389621851,80422228072,15747505804,40887102195,6267288082,85004068308,8537851139,6.13169E+11,2498966124,2332837573,3085928165,6204947482,1.28848E+12,65724793301,7.03772E+11,,0.048533867,0.239597647,0.011167905,,,,EU_vs_loose,"voluntary seps (loose, include temp job ends)"
1996.333333,1.19654E+12,14732603724,80816123084,16075879974,39744802604,6450261410,84116106050,8650148638,5.98735E+11,2545270027,2339497067,3102128028,6298196074,1.29958E+12,64497633105,6.79674E+11,,0.047282856,0.249247596,0.011336408,,,,EU_reason,all seps with reasons attached
1996.416667,1.20876E+12,14872139563,81731150019,16267803040,38762501432,6512215132,82609777342,8441950747,5.88359E+11,2541038125,2355049443,3117032175,6309294222,1.30845E+12,62440210205,6.78354E+11,,0.045547151,0.260534085,0.011366214,,,,EU,all seps  
1996.5,1.21336E+12,14871956345,83243763052,16309867261,37191074834,6526852887,81484700066,8138414508,5.86919E+11,2531811867,2366647905,3123928358,6268152709,1.30918E+12,60035954473,6.77919E+11,,0.043846953,0.271668326,0.011359748,,,,,
1996.583333,1.20694E+12,14815623611,84824483222,16147435484,35785690081,6495862544,81556435458,7867837573,5.92533E+11,2518828888,2365441095,3119084759,6205900165,1.30386E+12,58982398395,6.9875E+11,,0.043278923,0.273767021,0.011362885,,,,,
1996.666667,1.2E+12,14626410634,85444737058,15847918449,35286895881,6394290561,82302358799,7667345316,6.04507E+11,2453561207,2334852196,3077757460,6053874894,1.30112E+12,58083568351,7.01759E+11,,0.04273346,0.272846846,0.011241381,,,,,
1996.75,1.20178E+12,14374050355,85288310770,15575002980,34890534330,6252414058,82787681808,7518759033,6.1454E+11,2383860951,2273019071,2991411434,5829683742,1.30165E+12,56757031647,7.0459E+11,,0.041782013,0.27441539,0.011042935,,,,,
1996.833333,1.20603E+12,14154333983,85261932190,15386778829,34659615499,6042193686,83020410066,7438483451,6.19512E+11,2319942602,2206748705,2887132066,5596214317,1.30212E+12,55780659037,7.08016E+11,,0.041078451,0.275844336,0.010870181,,,,,
