date,Quarterly (%),Annual (%),CPI,RWG
Mar-05,1.1,3.9,2.7,1.2
Jun-05,0.9,4.1,2.7,1.4
Sep-05,1,4.2,2.7,1.5
Dec-05,0.9,4,2.6,1.4
Mar-06,1.1,4.1,2.8,1.3
Jun-06,1,4.2,3,1.2
Sep-06,0.9,4,3.1,0.9
Dec-06,1.1,4.2,3,1.2
Mar-07,1,4,2.7,1.3
Jun-07,1,4,2.8,1.2
Sep-07,1.1,4.2,2.9,1.3
Dec-07,1,4,3.6,0.4
Mar-08,0.9,4,4.2,-0.2
Jun-08,1.2,4.3,4.4,-0.1
Sep-08,1,4.2,4.8,-0.6
Dec-08,1,4.3,4.3,0
Mar-09,0.9,4.2,4.1,0.1
Jun-09,0.7,3.7,3.6,0.1
Sep-09,0.5,3.1,3.1,0
Dec-09,0.8,2.9,3.2,-0.3
Mar-10,1,3,3.1,-0.1
Jun-10,0.8,3.1,2.8,0.3
Sep-10,1.1,3.6,2.6,1
Dec-10,1,3.9,2.2,1.7
Mar-11,0.9,3.9,2.2,1.7
Jun-11,0.7,3.8,2.7,1.1
Sep-11,0.9,3.7,2.5,1.2
Dec-11,0.9,3.6,2.7,0.9
Mar-12,1,3.6,2.3,1.3
Jun-12,0.9,3.8,2,1.8
Sep-12,0.8,3.7,2.3,1.4
Dec-12,0.7,3.4,2.2,1.2
Mar-13,0.7,3.1,2.3,0.8
Jun-13,0.6,2.8,2.4,0.4
Sep-13,0.6,2.6,2.4,0.2
Dec-13,0.7,2.6,2.7,-0.1
Mar-14,0.8,2.7,2.7,0
Jun-14,0.5,2.6,2.8,-0.2
Sep-14,0.6,2.6,2.4,0.2
Dec-14,0.6,2.5,2.2,0.3
Mar-15,0.6,2.3,2.3,0
Jun-15,0.5,2.3,2.2,0.1
Sep-15,0.6,2.3,2.1,0.2
Dec-15,0.5,2.2,2.1,0.1
Mar-16,0.5,2.1,1.7,0.4
Jun-16,0.5,2.1,1.6,0.5
Sep-16,0.4,1.9,1.6,0.3
Dec-16,0.5,1.9,1.5,0.4
Mar-17,0.6,1.9,1.7,0.2
Jun-17,0.5,1.9,1.7,0.2
Sep-17,0.5,2,1.7,0.3
Dec-17,0.6,2.1,1.7,0.4
Mar-18,0.5,2,1.7,0.3
Jun-18,0.6,2.1,1.7,0.4
Sep-18,0.6,2.3,1.7,0.6
Dec-18,0.5,2.3,1.8,0.5
Mar-19,0.5,2.3,1.6,0.7
Jun-19,0.6,2.3,1.5,0.8
Sep-19,0.5,2.2,1.5,0.7
Dec-19,0.5,2.2,1.5,0.7
Mar-20,0.5,2.2,1.7,0.5
Jun-20,0.2,1.8,1.3,0.5
Sep-20,0.1,1.4,1.2,0.2
Dec-20,0.5,1.3,1.2,0.1
Mar-21,0.7,1.5,1.1,0.4
Jun-21,0.5,1.8,1.6,0.2
Sep-21,0.4,2.2,2.1,0.1
Dec-21,0.7,2.4,2.7,-0.3
Mar-22,0.7,2.4,3.8,-1.4
Jun-22,0.9,2.7,5,-2.3
Sep-22,0.9,3.2,6,-2.8
Dec-22,0.8,3.3,6.8,-3.5
Mar-23,0.9,3.6,6.5,-2.9
Jun-23,1,3.7,5.8,-2.1
Sep-23,1.2,4,5.1,-1.1
Dec-23,1,4.2,4.2,0
Mar-24,0.8,4.1,4,0.1
,,,,
"a. See Interpretation of index numbers, Percentage change and rounding on the Methodology page.",,,,
,,,,
"Source: Australian Bureau of Statistics, Wage Price Index, Australia March 2024",,,,
