H2 DEMAND AND INCOME
Title,Household consumption,Year-ended household consumption growth,Dwelling investment,Year-ended dwelling investment growth,Business investment,Year-ended business investment growth,Public demand,Year-ended public demand growth,Domestic final demand,Year-ended domestic final demand growth,Changes in inventories,Changes in inventories contribution to GDP year-ended growth,Gross national expenditure,Year-ended gross national expenditure growth,Household consumption share of output,Dwelling investment share of output,Business investment share of output,Public demand share of output,Private non-financial corporations GOS share of output,Real household disposable income,Year-ended real household disposable income growth,Household saving ratio
Description,Household final consumption expenditure; Chain volume,Household final consumption expenditure; Chain volume; Year-ended change (in per cent),Private dwelling gross fixed capital formation; Chain volume,Private dwelling gross fixed capital formation; Chain volume; Year-ended change (in per cent),New private business gross fixed capital formation; Chain volume,New private business gross fixed capital formation; Chain volume; Year-ended change (in per cent),Public final demand; Chain volume,Public final demand; Chain volume; Year-ended change (in per cent),Domestic final demand; Chain volume,Domestic final demand; Chain volume; Year-ended change (in per cent),Changes in inventories; Chain volume,Changes in inventories; Contribution to gross domestic product (GDP) year-ended growth,Gross national expenditure; Chain volume,Gross national expenditure; Chain volume; Year-ended change (in per cent),Household final consumption; Share of nominal gross domestic product,Dwelling investment; Share of nominal gross domestic product,Business investment; Share of nominal gross domestic product,Public final demand; Share of nominal gross domestic product,Private non-financial corporations gross operating surplus (GOS); Share of nominal gross domestic product,Real household disposable income,Real household disposable income; Year-ended change (in per cent),Household net saving as per cent of household net disposable income
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly
Type,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted
Units,$ million,Per cent,$ million,Per cent,$ million,Per cent,$ million,Per cent,$ million,Per cent,$ million,Percentage points,$ million,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,$ million,Per cent,Per cent


Source,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS
Publication date,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026,03-Sep-2026
Series ID,GGDPECCVPSH,GGDPECCVPSHY,GGDPECCVPSD,GGDPECCVPSDY,GGDPECCVPSB,GGDPECCVPSBY,GGDPECCVPD,GGDPECCVPDY,GGDPECCVDD,GGDPECCVDDY,GGDPECCVCI,GGDPECCVCIY,GGDPECCVGN,GGDPECCVGNY,GGDPECCVPSHS,GGDPECCVPSDS,GGDPECCVPSBS,GGDPECCVPDS,GGDPICGOSPCS,GGDPICHRDI,GGDPICHRDIY,GGDPICHDISR
30/09/1959,40136,,4930,,,,,,65037,,,,70008,,58.0,4.3,17.5,18.5,14.2,54001.8,,15.2
31/12/1959,41242,,4930,,,,,,65424,,,,68909,,57.9,4.3,18.0,18.3,14.4,54519.5,,13.8
31/03/1960,41636,,5161,,,,,,66004,,,,70962,,58.2,4.4,18.9,18.4,14.8,54332.4,,12.9
30/06/1960,42158,,5319,,,,,,66529,,,,75980,,56.9,4.4,18.5,17.8,13.9,55749.2,,14.5
30/09/1960,42698,6.4,5690,15.4,,,,,67227,3.4,,,75031,7.2,57.8,4.7,18.7,17.0,14.9,54990.9,1.8,12.0
31/12/1960,42364,2.7,5651,14.6,,,,,68218,4.3,,,75230,9.2,57.8,4.6,18.5,17.9,14.1,55327.8,1.5,13.4
31/03/1961,41816,0.4,5277,2.2,,,,,68094,3.2,,,75422,6.3,57.5,4.4,17.7,18.6,12.6,55869.6,2.8,15.6
30/06/1961,41943,-0.5,5033,-5.4,,,,,68477,2.9,,,71974,-5.3,59.0,4.3,18.0,19.6,12.5,55343.7,-0.7,14.5
30/09/1961,42210,-1.1,4591,-19.3,,,,,69397,3.2,,,71854,-4.2,59.3,3.9,17.6,21.6,12.7,55130.8,0.3,13.8
31/12/1961,42493,0.3,4564,-19.2,,,,,68474,0.4,,,71115,-5.5,59.2,3.8,17.1,20.4,13.9,55240.9,-0.2,13.6
31/03/1962,43901,5.0,4716,-10.6,,,,,70306,3.2,,,74114,-1.7,59.0,3.8,17.3,19.9,14.9,56816.9,1.7,13.4
30/06/1962,44460,6.0,4978,-1.1,,,,,70483,2.9,,,75996,5.6,59.0,3.9,17.1,19.0,14.9,58232.0,5.2,14.6
30/09/1962,44811,6.2,5129,11.7,,,,,71876,3.6,,,78057,8.6,58.8,4.0,17.3,19.3,14.7,58466.9,6.1,14.2
31/12/1962,45211,6.4,5304,16.2,,,,,72482,5.9,,,78579,10.5,58.2,4.1,17.1,19.0,14.6,58902.5,6.6,14.0
31/03/1963,46055,4.9,5408,14.7,,,,,74605,6.1,,,80631,8.8,57.6,4.0,17.6,18.9,15.1,59779.0,5.2,13.7
30/06/1963,46417,4.4,5412,8.7,,,,,75090,6.5,,,79317,4.4,58.8,4.0,17.1,20.3,14.4,60390.5,3.7,13.8
30/09/1963,47801,6.7,5618,9.5,,,,,76703,6.7,,,82062,5.1,57.9,4.1,17.2,18.6,15.1,63179.3,8.1,15.5
31/12/1963,48746,7.8,5811,9.6,,,,,78492,8.3,,,83091,5.7,57.3,4.1,17.2,19.3,14.9,64924.6,10.2,16.0
31/03/1964,49007,6.4,6137,13.5,,,,,79119,6.1,,,84996,5.4,57.7,4.3,17.0,19.6,15.3,64311.7,7.6,14.6
30/06/1964,49788,7.3,6239,15.3,,,,,81115,8.0,,,88369,11.4,57.0,4.3,17.6,20.0,15.4,65317.0,8.2,14.4
30/09/1964,50695,6.1,6638,18.2,,,,,82002,6.9,,,89003,8.5,57.6,4.5,17.3,20.2,15.4,66186.9,4.8,13.6
31/12/1964,51103,4.8,6769,16.5,,,,,83137,5.9,,,91723,10.4,57.0,4.5,17.3,20.1,15.1,66646.6,2.7,13.4
