"CPI All Groups for New Zealand, percentage change (Qrtly-Mar/Jun/Sep/Dec)",""
"","All groups"
" ","Percentage change from same period previous year"
"1925Q4",".."
"1926Q1",".."
"1926Q2",".."
"1926Q3",0.1
"1926Q4",-0.6
"1927Q1",-0.1
"1927Q2",-0.9
"1927Q3",-1.4
"1927Q4",-0.9
"1928Q1",-0.7
"1928Q2",0.2
"1928Q3",0.2
"1928Q4",0.6
"1929Q1",0.1
"1929Q2",-0.7
"1929Q3",0.0
"1929Q4",-0.5
"1930Q1",-0.6
"1930Q2",-1.0
"1930Q3",-2.3
"1930Q4",-4.0
"1931Q1",-6.4
"1931Q2",-7.8
"1931Q3",-9.1
"1931Q4",-7.8
"1932Q1",-6.1
"1932Q2",-8.1
"1932Q3",-7.9
"1932Q4",-9.2
"1933Q1",-8.9
"1933Q2",-5.1
"1933Q3",-3.0
"1933Q4",-0.7
"1934Q1",0.9
"1934Q2",2.0
"1934Q3",1.4
"1934Q4",1.3
"1935Q1",2.7
"1935Q2",2.8
"1935Q3",3.8
"1935Q4",5.6
"1936Q1",1.7
"1936Q2",2.5
"1936Q3",3.8
"1936Q4",3.3
"1937Q1",6.9
"1937Q2",7.4
"1937Q3",6.6
"1937Q4",7.2
"1938Q1",5.0
"1938Q2",3.5
"1938Q3",2.7
"1938Q4",0.6
"1939Q1",2.8
"1939Q2",3.4
"1939Q3",4.5
"1939Q4",7.7
"1940Q1",4.5
"1940Q2",4.7
"1940Q3",4.7
"1940Q4",2.7
"1941Q1",4.2
"1941Q2",3.9
"1941Q3",3.0
"1941Q4",3.8
"1942Q1",2.3
"1942Q2",2.6
"1942Q3",4.2
"1942Q4",3.9
"1943Q1",4.0
"1943Q2",2.6
"1943Q3",1.8
"1943Q4",1.4
"1944Q1",1.8
"1944Q2",2.0
"1944Q3",1.7
"1944Q4",1.5
"1945Q1",1.7
"1945Q2",1.3
"1945Q3",1.1
"1945Q4",1.3
"1946Q1",0.9
"1946Q2",1.0
"1946Q3",1.3
"1946Q4",-0.2
"1947Q1",0.3
"1947Q2",0.9
"1947Q3",1.8
"1947Q4",10.1
"1948Q1",10.1
"1948Q2",10.6
"1948Q3",9.5
"1948Q4",1.6
"1949Q1",2.1
"1949Q2",1.1
"1949Q3",1.6
"1949Q4",1.8
"1950Q1",2.0
"1950Q2",5.0
"1950Q3",7.2
"1950Q4",8.5
"1951Q1",9.9
"1951Q2",11.1
"1951Q3",11.0
"1951Q4",11.9
"1952Q1",11.8
"1952Q2",8.6
"1952Q3",6.4
"1952Q4",4.6
"1953Q1",4.3
"1953Q2",4.1
"1953Q3",4.1
"1953Q4",5.6
"1954Q1",5.4
"1954Q2",5.9
"1954Q3",4.9
"1954Q4",2.4
"1955Q1",3.0
"1955Q2",2.3
"1955Q3",2.3
"1955Q4",2.5
"1956Q1",2.2
"1956Q2",2.6
"1956Q3",4.6
"1956Q4",4.6
"1957Q1",2.8
"1957Q2",2.8
"1957Q3",1.3
"1957Q4",1.8
"1958Q1",2.7
"1958Q2",2.3
"1958Q3",6.3
"1958Q4",6.5
"1959Q1",6.5
"1959Q2",5.7
"1959Q3",2.1
"1959Q4",1.1
"1960Q1",0.5
"1960Q2",0.4
"1960Q3",0.3
"1960Q4",1.6
"1961Q1",1.6
"1961Q2",1.4
"1961Q3",2.1
"1961Q4",2.1
