"CPI Non-standard Trimmed Means and Weighted Percentiles for New Zealand (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","",""
"","Quarterly 5 percent trim","Quarterly 10 percent trim","Quarterly 10 percent trim - Tradables","Quarterly 10 percent trim - Non Tradables","Quarterly 15 percent trim","Quarterly 20 percent trim","Quarterly 25 percent trim","Quarterly 30 percent trim","Quarterly weighted 10th percentile","Quarterly weighted 25th percentile","Quarterly weighted median","Quarterly weighted median - Tradables","Quarterly weighted median - Non Tradables","Quarterly weighted 75th percentile","Quarterly weighted 90th percentile"
"2001Q1",0.3,0.4,"..","..",0.5,0.6,0.7,0.6,-2.2,0.0,0.6,"..","..",1.6,2.8
"2001Q2",0.8,0.8,"..","..",0.7,0.6,0.5,0.5,-0.9,0.0,0.2,"..","..",1.3,4.3
"2001Q3",0.6,0.6,"..","..",0.6,0.6,0.6,0.6,-1.9,0.0,0.3,"..","..",1.6,2.8
"2001Q4",0.6,0.7,"..","..",0.7,0.7,0.6,0.6,-1.2,0.0,0.7,"..","..",1.3,3.6
"2002Q1",0.6,0.8,"..","..",0.8,0.8,0.8,0.8,-1.1,0.0,0.6,"..","..",1.5,2.6
"2002Q2",1.0,0.9,"..","..",0.8,0.7,0.7,0.7,-1.2,0.0,0.6,"..","..",1.6,3.3
"2002Q3",0.3,0.3,"..","..",0.3,0.3,0.3,0.3,-2.4,-0.3,0.4,"..","..",1.1,2.5
"2002Q4",0.7,0.6,"..","..",0.6,0.6,0.6,0.6,-1.6,-0.2,0.6,"..","..",1.7,2.9
"2003Q1",0.4,0.4,"..","..",0.5,0.5,0.5,0.6,-2.3,0.0,0.4,"..","..",1.5,2.8
"2003Q2",0.1,0.2,"..","..",0.2,0.3,0.3,0.4,-3.0,-0.3,0.2,"..","..",1.3,1.8
"2003Q3",0.5,0.6,"..","..",0.6,0.6,0.6,0.6,-3.3,-0.1,0.5,"..","..",1.7,3.2
"2003Q4",0.7,0.7,"..","..",0.8,0.8,0.8,0.7,-2.0,-0.1,0.5,"..","..",2.0,3.3
"2004Q1",0.5,0.6,"..","..",0.5,0.5,0.5,0.5,-2.0,-0.3,0.4,"..","..",1.6,3.2
"2004Q2",0.8,0.8,"..","..",0.7,0.7,0.7,0.7,-1.0,0.0,0.6,"..","..",1.9,2.8
"2004Q3",0.7,0.7,"..","..",0.7,0.7,0.7,0.7,-2.5,0.0,0.5,"..","..",2.0,3.2
"2004Q4",0.9,0.8,"..","..",0.8,0.8,0.7,0.7,-0.9,-0.1,0.7,"..","..",1.8,4.1
"2005Q1",0.6,0.7,"..","..",0.7,0.7,0.7,0.6,-1.6,0.0,0.5,"..","..",1.5,3.8
"2005Q2",0.8,0.8,"..","..",0.7,0.7,0.7,0.7,-1.2,0.0,0.5,"..","..",1.7,3.6
"2005Q3",1.0,0.9,"..","..",0.8,0.8,0.8,0.8,-1.7,0.0,0.9,"..","..",1.7,3.9
"2005Q4",0.6,0.5,"..","..",0.5,0.5,0.5,0.6,-2.0,-0.1,0.5,"..","..",1.5,2.9
"2006Q1",0.7,0.8,"..","..",0.8,0.8,0.8,0.8,-1.4,0.0,0.7,"..","..",1.6,3.0
"2006Q2",1.3,1.1,"..","..",1.0,0.9,0.8,0.8,-0.8,0.0,0.6,"..","..",1.6,4.6
