country,year,rnndi_pc,nni_pc,gdp_pc,rank_rnndi,rank_nni,rank_gdp
CAN,2015,0.040656859648327784,40762.518947,108.856236,16,16,29
CAN,2015,0.040656859648327784,40762.518947,109.363716,16,16,28
CZE,2015,0.029596654520151963,29913.412237,91.349912,24,23,40
CZE,2015,0.029596654520151963,29913.412237,83.778086,24,23,45
DNK,2015,0.05006563458245251,50988.650964,129.56252,5,5,12
DNK,2015,0.05006563458245251,50988.650964,119.739996,5,5,20
FRA,2015,0.042216648711661336,43396.509843,111.11741,12,12,26
FRA,2015,0.042216648711661336,43396.509843,100.504543,12,12,33
ITA,2015,0.03629855732560996,36717.417397,100.584618,17,17,32
ITA,2015,0.03629855732560996,36717.417397,91.53066,17,17,39
KOR,2015,0.03609824699023994,36206.364865,94.691726,18,18,36
KOR,2015,0.03609824699023994,36206.364865,97.430606,18,18,35
MEX,2015,0.016820313628124365,16867.502773,47.48685,34,34,67
MEX,2015,0.016820313628124365,16867.502773,46.502743,34,34,68
NOR,2015,0.06102525194136763,62256.246749,145.145307,2,2,8
NOR,2015,0.06102525194136763,62256.246749,148.668586,2,2,7
CHE,2015,0.056481163667816976,58673.453893,159.650573,3,3,5
CHE,2015,0.056481163667816976,58673.453893,157.22833,3,3,6
CAN,2016,0.04055249344635177,40604.885234,107.408728,16,16,29
CAN,2016,0.04055249344635177,40604.885234,109.932242,16,16,28
CZE,2016,0.030284863520942742,30813.611446,92.498583,24,24,41
CZE,2016,0.030284863520942742,30813.611446,86.647219,24,24,45
DNK,2016,0.05086630362780324,51705.893436,130.831819,5,5,12
DNK,2016,0.05086630362780324,51705.893436,122.573111,5,5,19
FRA,2016,0.04254098630075445,43688.124835,110.277499,13,12,27
FRA,2016,0.04254098630075445,43688.124835,101.684091,13,12,32
ITA,2016,0.03769264592228058,38147.069132,100.764265,17,17,33
ITA,2016,0.03769264592228058,38147.069132,95.766675,17,17,37
KOR,2016,0.03748211454911488,37610.83173,96.10822,18,18,36
KOR,2016,0.03748211454911488,37610.83173,98.581477,18,18,34
NOR,2016,0.05880877885133969,60022.769538,143.751764,2,2,7
NOR,2016,0.05880877885133969,60022.769538,140.195118,2,2,8
CHE,2016,0.05502840684487206,57280.821062,156.808749,3,3,6
CHE,2016,0.05502840684487206,57280.821062,159.212933,3,3,5
CAN,2017,0.042130008899968055,42234.892205,110.054345,16,16,27
CAN,2017,0.042130008899968055,42234.892205,107.056182,16,16,30
CZE,2017,0.032217177520504695,32778.866956,90.245918,25,23,44
CZE,2017,0.032217177520504695,32778.866956,95.175482,25,23,38
DNK,2017,0.05216806881254238,52961.977641,125.891487,5,5,16
DNK,2017,0.05216806881254238,52961.977641,131.167321,5,5,12
FRA,2017,0.04317364601580598,44191.060412,101.42249,14,13,32
FRA,2017,0.04317364601580598,44191.060412,109.771197,14,13,28
ITA,2017,0.03846637514650699,38843.063811,95.989114,18,17,36
ITA,2017,0.03846637514650699,38843.063811,100.419138,18,17,33
