country,year,rnndi_pc,nni_pc,gdp_pc,rank_rnndi,rank_nni,rank_gdp
AUS,2006,0.0384959672320613,38521.06258,51311.897586902,17,17,13
AUS,2007,0.0399144854847087,39943.520877,52209.8571804423,17,17,13
AUS,2008,0.0406780432994204,40743.135638,52174.4057365698,15,16,13
AUS,2009,0.0401295183451441,40211.528616,52239.7414129061,13,13,10
AUS,2010,0.0422468418078455,42358.611829,52665.0254261686,11,12,12
AUS,2011,0.0440057072006727,44114.467043,53991.1373889032,11,11,12
AUS,2012,0.0435052698741701,43620.051431,54465.0955498435,11,11,11
AUS,2013,0.0432173363439818,43325.131526,54928.2548526866,11,11,11
AUS,2014,0.0423574695112211,42449.642775,55286.2810348221,11,12,11
AUS,2015,0.0415968943140944,41616.183272,55998.0120748581,14,14,12
AUS,2016,0.0431575403518355,43199.670089,56394.4572716334,12,13,12
AUS,2017,0.0436808592491364,43704.251961,57067.7414765765,13,14,12
AUS,2018,0.0445918074876284,44612.831369,57453.8484801722,11,13,12
AUS,2019,0.0443079313037319,44341.948136,56535.6194304099,14,14,12
AUS,2020,0.0462243303975228,46315.263653,56963.3077212446,10,10,11
AUS,2021,0.0481577370843808,48238.05449,59302.3701562543,11,11,12
AUS,2022,0.0489482976331685,48970.992142,60650.8257159824,10,11,11
AUT,2006,0.0473868635047954,47987.271892,56764.2800160711,7,7,8
AUT,2007,0.048879298195946,49458.207727,58713.966596046,5,5,7
AUT,2008,0.0494547828518155,50085.427034,59378.4772872211,4,4,7
AUT,2009,0.0468487808487409,47410.498125,57112.3413892883,4,4,5
AUT,2010,0.0476073396082762,48200.929005,58009.3140559648,5,5,5
AUT,2011,0.0482012397045594,48778.310873,59511.8371598038,5,5,5
AUT,2012,0.0477797698616966,48346.239785,59617.308386785,5,6,4
AUT,2013,0.0471251443548859,47823.361139,59110.4536972583,7,7,6
AUT,2014,0.0472674684218848,47802.950487,59092.1617144099,7,8,7
AUT,2015,0.047184837079428,47696.94203,59269.1793634511,8,9,8
AUT,2016,0.048309478404008,48906.453104,59760.116512158,8,8,8
AUT,2017,0.0483248925218506,48767.879436,60733.7516658828,8,9,9
AUT,2018,0.0489465890699534,49551.566649,61942.4594618783,8,8,8
AUT,2019,0.0496796127381896,50203.052264,62746.0749192111,8,9,8
AUT,2020,0.0463347864573124,46890.704094,58522.8422984683,9,9,9
AUT,2021,0.048911178846406,49304.900241,61166.2903911565,10,10,9
AUT,2022,0.0487652173279474,49175.476646,63705.8954518225,11,10,8
BEL,2006,0.044768235002118,45489.645689,54195.5561966814,9,9,9
BEL,2007,0.046227690124129,46821.947651,55777.4113876553,9,9,9
BEL,2008,0.0450727705799587,45828.627594,55585.6891574109,9,9,9
BEL,2009,0.0447510675220798,45435.027438,54089.1264691143,7,8,9
BEL,2010,0.0449467824186866,45472.933009,55049.8135207501,9,9,9
BEL,2011,0.0440333965852342,44470.533789,55387.4990243202,10,10,10
BEL,2012,0.0448829096940046,45279.325211,55164.1969289417,10,10,10
BEL,2013,0.0447042869895307,45289.600477,55072.4047713756,10,10,10
BEL,2014,0.0453313592631267,45875.63254,55796.2337293739,10,10,10
BEL,2015,0.045711731236821,46345.348735,56291.8312704635,10,10,11
BEL,2016,0.0461283533966304,46771.215418,56676.1277385333,10,10,11
BEL,2017,0.0465124188469534,47005.69545,57290.3507557819,10,10,11
BEL,2018,0.0468349707201322,47396.699544,58101.1556389151,10,10,10
BEL,2019,0.0479147277055717,48488.940348,59199.8206693921,10,10,10
BEL,2020,0.044763730542391,45411.481785,56119.616237969,11,11,12
BEL,2021,0.04751449979074,48151.869945,59384.617150414,12,12,11
BEL,2022,0.0474709321224646,47909.62645,61237.7190073487,12,12,10
CAN,2006,0.040606196033409,40667.482615,47784.8692132373,16,16,17
CAN,2007,0.041327343072672,41402.275024,48293.36944395,16,16,17
CAN,2008,0.0416343709795605,41682.685953,48248.2910840631,13,13,17
CAN,2009,0.0378127778149965,37916.246079,46308.6672565226,16,16,17
CAN,2010,0.0394736409873792,39588.748279,47212.3565706672,15,15,17
CAN,2011,0.0409582820472252,41060.279523,48220.8489367905,14,14,17
CAN,2012,0.0409328915826297,41047.719095,48538.5481321089,13,14,16
CAN,2013,0.0415934499229668,41701.308776,49147.0225742322,12,13,16
CAN,2014,0.0421535082934033,42242.220674,50055.4608197905,12,13,16
CAN,2015,0.0406568596483278,40762.518947,49999.2139177155,16,16,16
CAN,2016,0.0405524934463518,40604.885234,49950.0665061166,16,16,16
CAN,2017,0.0421300088999681,42234.892205,50853.8952149701,16,16,16
CAN,2018,0.0426035545370141,42680.35443,51505.296279433,16,16,16
CAN,2019,0.0428849770039976,42952.184137,51726.5926843522,16,16,16
CAN,2020,0.0394813534736637,39621.248388,48590.7164166025,15,16,16
CAN,2021,0.043860145266207,43967.009241,51197.7482091932,15,16,16
CAN,2022,0.0456060446630098,45693.917094,52643.4429601041,13,14,16
CHE,2006,0.0582941669055116,59660.835102,67588.8455009342,3,3,2
CHE,2007,0.0554023770258096,56591.722096,69612.5811577666,3,3,2
CHE,2008,0.0504251811922995,51807.080771,70727.4950892408,3,3,2
CHE,2009,0.0535338548150321,55010.966448,68329.0428303767,3,3,2
CHE,2010,0.0583012550943078,59918.109469,70006.0085463972,3,3,2
CHE,2011,0.0556536553529424,57171.906185,70641.6893116908,3,3,2
CHE,2012,0.0568183029566226,58621.778138,70701.7442071518,3,3,2
CHE,2013,0.0561068652521477,58145.839423,71139.0229830673,3,3,2
CHE,2014,0.0545611621261928,57203.724354,71927.0071830622,3,3,2
