year,rnndi_pc,nni_pc,gdp_pc,rank_rnndi,rank_nni,rank_gdp
2015,0.0351246654662212,34950.782814,93.872419,19,19,37
2015,0.0351246654662212,34950.782814,91.275909,19,19,41
2016,0.03602823677902463,35846.9521,94.20382,19,19,38
2016,0.03602823677902463,35846.9521,94.037949,19,19,39
2017,0.03703346393551604,36955.935817,95.740255,19,19,37
2017,0.03703346393551604,36955.935817,94.287755,19,19,40
2018,0.0371233016365343,37065.636279,92.874741,19,20,39
2018,0.0371233016365343,37065.636279,94.6222,19,20,38
2019,0.038716550308834474,38501.760861,94.618488,19,19,39
2019,0.038716550308834474,38501.760861,94.283108,19,19,40
2020,0.03804089543411403,38077.715773,97.269884,18,18,19
2020,0.03804089543411403,38077.715773,97.269884,18,18,19
2021,0.039172723911418794,39254.332068,95.936294,18,19,38
2021,0.039172723911418794,39254.332068,94.280398,18,19,39
2022,0.03942995218135663,39211.242489,96.789189,19,19,37
2022,0.03942995218135663,39211.242489,94.307329,19,19,38
2023,0.03812755192307692,38004.260782,94.651947,19,18,35
2023,0.03812755192307692,38004.260782,90.802666,19,18,42
