country,year,b6n_total,population,rnndi_pc
CAN,2015,1451632.764,35704498,0.040656859648327784
CZE,2015,312035.812,10542942,0.029596654520151963
DNK,2015,284290.096,5678348,0.05006563458245251
FRA,2015,2807937.296,66512558,0.042216648711661336
ITA,2015,2186247.552,60229599,0.03629855732560996
KOR,2015,1841550.157,51014947,0.03609824699023994
MEX,2015,2058276.38,122368490,0.016820313628124365
NOR,2015,316714.833,5189898,0.06102525194136763
CHE,2015,467799.477,8282398,0.056481163667816976
CAN,2016,1464383.102,36110803,0.04055249344635177
CZE,2016,319968.184,10565284,0.030284863520942742
DNK,2016,291181.917,5724456,0.05086630362780324
FRA,2016,2836997.245,66688563,0.04254098630075445
ITA,2016,2265901.702,60115220,0.03769264592228058
KOR,2016,1919751.559,51217803,0.03748211454911488
NOR,2016,307931.705,5236152,0.05880877885133969
CHE,2016,460771.23,8373334,0.05502840684487206
CAN,2017,1539644.335,36545075,0.042130008899968055
CRI,2017,100052.456,4978065.4,0.020098662424161803
CZE,2017,341164.639,10589526,0.032217177520504695
DNK,2017,300524.281,5760694,0.05216806881254238
FRA,2017,2887596.523,66883314,0.04317364601580598
ITA,2017,2308069.212,60002254,0.03846637514650699
KOR,2017,1983633.454,51361911,0.038620709692830546
MEX,2017,2129788.596,124777172,0.017068735906276188
NOR,2017,322019.137,5276965,0.061023549900368866
CHE,2017,457285.398,8451834,0.05410487214964231
CAN,2018,1579425.388,37072620,0.04260355453701411
CRI,2018,101619.022,5027878.2,0.020211114501540627
CZE,2018,353472.987,10626430,0.03326356895024952
DNK,2018,305441.692,5789957,0.05275370646103244
FRA,2018,2922160.005,67125071,0.04353306389798828
ITA,2018,2336125.226,59877216,0.03901526126398395
KOR,2018,2014687.5,51585058,0.03905564087957408
MEX,2018,2177500.939,125995825,0.017282326132631774
NOR,2018,339084.888,5311916,0.06383476094124982
CHE,2018,458639.111,8514327,0.05386674848170619
CAN,2019,1613268.293,37618495,0.04288497700399763
CHL,2019,491014.12,19107216,0.025697836880056203
CRI,2019,104472.414,5069310.6,0.020608801125738874
CZE,2019,364912.561,10669324,0.03420203201252488
DNK,2019,309957.171,5814461,0.053307980051805315
FRA,2019,3012159.069,67349922,0.04472401718594418
ITA,2019,2344320.588,59729077,0.039249235142207205
KOR,2019,2008511.462,51764822,0.03880070256978765
NOR,2019,324314.189,5347893,0.06064335786075002
CHE,2019,461800.626,8575280,0.053852541957813624
CAN,2020,1501422.099,38028638,0.039481353473663716
CRI,2020,99709.438,5101851.9,0.019543773507027906
CZE,2020,343132.632,10700155,0.032068005743842026
DNK,2020,307680.363,5825337,0.05281760746202323
FRA,2020,2709025.916,67569466,0.04009245708705172
ITA,2020,2121285.227,59438845,0.03568853376945666
KOR,2020,1988183.871,51836239,0.03835509499444973
NOR,2020,295792.162,5379472,0.05498535209403451
CHE,2020,435645.24,8638169,0.050432590517735874
CZE,2021,366018.659,10500850,0.03485609822062023
FRA,2021,2955196.449,67878650,0.04353646469103319
KOR,2021,2066311.625,51769539,0.039913657044541195
NOR,2021,355035.997,5408320,0.06564626298000117
CHE,2021,473744.455,8704542,0.054424972043330945
CZE,2022,362878.878,10759525,0.033726291634621416
KOR,2022,2027625.842,51672569,0.03923988842126274
LTU,2015,82368.674,2904910,0.028354983114795295
PRT,2015,295195.284,10381838,0.02843381721040147
SVK,2015,139468.558,5423800.5,0.025714175512170846
SVN,2015,59159.719,2063077,0.02867547793902021
LTU,2016,85394.286,2868231,0.029772457657699116
PRT,2016,304257.803,10356516,0.029378393564013228
SVK,2016,138901.262,5430797.5,0.02557658649581392
SVN,2016,62043.911,2064241,0.030056524892200086
LTU,2017,90054.011,2828403,0.03183917249416013
PRT,2017,315205.944,10340124,0.030483768279761445
SVK,2017,145672.704,5439231.5,0.02678185401742875
SVN,2017,66716.645,2066161,0.032290148250789755
LTU,2018,94110.646,2801543,0.03359243316986389
PRT,2018,321778.347,10334633,0.031135923936534565
SVK,2018,152515.83,5446770.5,0.028001148570515316
SVN,2018,70421.027,2070050,0.03401899809183353
LTU,2019,99004.825,2794137,0.03543306036890818
PRT,2019,331568.467,10354446,0.03202184520543156
SVK,2019,154084.938,5454147,0.02825096903328788
SVN,2019,73210.046,2089310,0.03504029847174426
LTU,2020,98801.531,2794885,0.03535083947997861
PRT,2020,303140.135,10384846,0.02919062401117937
SVK,2020,151334.457,5458827,0.027722889367990593
SVN,2020,70331.716,2100126,0.033489283976294755
PRT,2021,321757.409,10407707,0.03091530238120654
PRT,2022,331342.811,10468869,0.031650296799014294
AUT,2015,406672.38,8618709,0.04718483707942802
CHL,2015,453186.418,17971423,0.02521705810385744
CRI,2015,92741.739,4868995.7,0.019047406223833798
EST,2015,39008.222,1314608,0.029672892603726738
FIN,2015,223330.144,5479528,0.0407571863853967
DEU,2015,3919076.666,81686608,0.04797697887026966
GRC,2015,271748.964,10820883,0.02511338159741677
HUN,2015,234658.091,9797756,0.0239501872673702
IRL,2015,202634.049,4687787,0.04322595053913499
ISR,2015,280688.838,8380149,0.03349449252035972
JPN,2015,4319706.632,127094745,0.03398808213510323
LVA,2015,44352.627,1977523,0.022428374790078295
LUX,2015,38721.411,569605,0.06797940853749528
NLD,2015,828929.097,16939925,0.04893345732050171
NZL,2015,161903.633,4609400,0.0351246654662212
POL,2015,985852.856,38454576,0.025636815134822966
ESP,2015,1581674.22,46384379,0.03409928631361002
SWE,2015,462254.92,9799183,0.04717280205911044
GBR,2015,2735565.992,65088058,0.042028692759584256
USA,2015,16744239.896,320738994,0.05220518929481958
AUT,2016,422111.942,8737663,0.048309478404008024
CHL,2016,462892.936,18167147,0.025479671409055035
CRI,2016,97743.68,4925331.3,0.01984509752673896
EST,2016,40718.898,1315790,0.03094635010145996
FIN,2016,228406.747,5495297,0.04156404048771158
DEU,2016,4074903.844,82348669,0.04948354227801788
GRC,2016,273259.428,10775966,0.025358230343339987
HUN,2016,246524.654,9759760,0.02525929469577121
IRL,2016,206369.155,4739597,0.043541498359459675
ISR,2016,294847.732,8546009,0.03450121945811197
JPN,2016,4378142.178,127041812,0.03446221451879166
LVA,2016,46789.441,1959535,0.023877828668536157
LUX,2016,41008.939,583459,0.07028589669539761
MEX,2016,2077273.599,123587407,0.01680813320243866
NLD,2016,842997.967,17030314,0.04949984874031095
NZL,2016,169840.711,4714100,0.03602823677902463
POL,2016,1007860.78,38426809,0.026228063329432325
ESP,2016,1633454.004,46427100,0.035183201276840464
SWE,2016,471961.914,9923086,0.047562009842502626
GBR,2016,2784142.104,65607141,0.04243657110435585
USA,2016,16933132.304,323071755,0.05241291459849222
AUT,2017,424805.96,8790624,0.04832489252185056
CHL,2017,475202.133,18419192,0.02579929309602723
EST,2017,43451.113,1317384,0.03298287591165522
FIN,2017,235900.238,5508209,0.04282703107307657
DEU,2017,4148773.361,82657000,0.050192643829318755
GRC,2017,278826.425,10754679,0.025926057393251812
HUN,2017,254067.996,9726755,0.026120530022602607
IRL,2017,214938.451,4810895,0.0446774354875756
ISR,2017,307809.979,8713268,0.03532658228806918
JPN,2017,4441248.643,126918546,0.0349929051582422
LVA,2017,49178.854,1942247,0.02532059722579054
LUX,2017,43822.614,596337,0.07348632400806926
NLD,2017,879387.662,17131295,0.05133223507037851
NZL,2017,178264.282,4813600,0.03703346393551604
POL,2017,1065332.795,38422346,0.027726906498629727
ESP,2017,1679966.763,46510461,0.0361201916059271
SWE,2017,483736.621,10057695,0.04809617124003064
GBR,2017,2894162.046,65965992,0.043873546933092436
USA,2017,17391514.637,325122128,0.053492251493260395
AUT,2018,432354.619,8833192,0.048946589069953424
CHL,2018,490132.129,18751405,0.0261384215742767
