Weekly_Earnings,Count,CF
9,609,585.33230703427
15,531,561.312232615986
21,547,585.884373928064
27,648,635.2016440106
33,761,692.862886458305
45,743,743
51,749,830.549488386052
57,933,853.644716148778
63,870,865.124704478409
69,791,866.522757802493
75,812,859.771691110496
87,868,829.730594873236
93,795,809.949817893926
99,728,724.75936659005
105,884,767.597886373023
111,714,746.942819601681
117,659,727.607310457001
129,754,695.236669900342
135,632,683.247761921571
141,628,674.611520976151
147,624,621.222314220043
153,795,667.465944293335
159,629,667.410936228545
171,637,660.987866074729
177,658,642.723668494049
183,592,600.758065860241
189,529,518.785851808923
