Weekly_Earnings,Count,CF
9,9593,9479.55765162702
15,8767,8704.19425927133
21,7736,8232.3064971018
27,7807,7969.26707463049
33,8219,7844.33581657453
39,8281,7806.26354333551
45,7654,7654
51,7858,7860.12516736437
57,7979,7914.06638676446
63,7379,7973.27753393664
69,7656,8034.16422282887
75,7301,8095.65282372691
81,8421,8157.7441783375
87,8912,8220.40915210563
93,7985,8282.8061318384
99,8302,8257.43183722412
105,8001,8396.76673070898
111,9704,8439.65160463426
117,8756,8465.28133565654
123,7646,8466.89003257365
129,7994,8437.85121479902
135,8116,8372.59195316707
141,8616,8267.6698206266
147,7167,7128.5249310269
153,8829,7943.16198314481
159,7473,7738.91799079878
165,7506,7528.66985250015
171,7027,7340.08782333686
177,7792,7211.73942438862
183,6739,7194.7490886709
189,7581,7354.46148154812
