Weekly_Earnings,Count,CF
6,4919,4874.4057122145
9,4625,4673.24486654607
12,4661,4505.43354981898
15,4572,4366.23499730775
18,4004,4251.54067808197
21,3922,4157.80309607629
24,3731,4081.97316980893
27,3616,4021.44204927973
30,4690,3973.98722857932
33,3912,3937.7228127405
36,3828,3911.05379736332
39,4190,3892.63421954492
42,4580,3881.32903864571
45,3620,3876.17960542302
48,3885,3885
51,3761,3881.2121436457
54,3856,3890.09540356412
57,4060,3902.49078144582
60,3888,3917.91931209123
63,3472,3935.93866997016
66,3844,3956.12979580452
69,3914,3978.08597976896
72,3874,4001.40425984071
75,3590,4025.67899383
78,3492,4050.49746362233
81,4178,4075.43737016381
84,4837,4100.06607772111
87,4097,4123.94146594696
90,4760,4146.61424828288
93,3620,4167.6316152302
96,3848,4186.54206102068
99,4077,4065.46972770903
102,4665,4216.27879678289
105,3910,4226.26577212808
108,4734,4232.48287070325
111,4822,4234.58902163229
114,4201,4232.29034693957
117,4597,4225.34931089478
120,4055,4213.59392100781
123,3380,4196.92683920508
126,4092,4175.3342617185
129,4327,4148.89442621847
132,3592,4117.7856047222
135,4202,4082.29344080854
138,3965,4042.81748967083
141,4392,3999.87681953893
144,3524,3954.11453300169
147,3913,3906.30106676133
150,5000,4985.85936682491
153,4270,3808.2491283462
156,3820,3760.19796660327
159,3452,3714.4660310532
162,4206,3672.457267585
165,3330,3635.68917954822
168,3739,3605.78361540654
171,3667,3584.45520307353
174,3381,3573.497289462
177,3894,3574.76524377817
180,3949,3590.15698309203
183,3089,3621.59057871512
186,3084,3670.97880191709
189,4087,3740.2004675123
192,4014,3831.06843384778
