time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
1,576444,0,0,1,1,0,0
2,576444,0,0,1,1,0,0
3,576444,0,0,1,1,0,0
4,576444,0,0,1,1,0,0
5,576444,0,0,1,1,0,0
6,576444,0,0,1,1,0,0
7,576444,0,0,1,1,0,0
8,576444,0,0,1,1,0,0
9,576444,0,0,1,1,0,0
10,576444,0,0,1,1,0,0
11,576444,0,0,1,1,0,0
12,576444,0,0,1,1,0,0
13,576444,0,0,1,1,0,0
14,576444,0,0,1,1,0,0
15,576444,0,0,1,1,0,0
16,576444,0,0,1,1,0,0
17,576444,0,0,1,1,0,0
18,576444,0,0,1,1,0,0
19,576444,0,0,1,1,0,0
20,576444,0,0,1,1,0,0
21,576444,0,0,1,1,0,0
22,576444,0,0,1,1,0,0
23,576444,0,0,1,1,0,0
24,576444,0,0,1,1,0,0
25,576444,0,0,1,1,0,0
26,576444,0,0,1,1,0,0
27,576444,0,0,1,1,0,0
28,576444,0,0,1,1,0,0
29,576444,0,0,1,1,0,0
30,576444,0,0,1,1,0,0
31,576444,0,0,1,1,0,0
32,576444,0,0,1,1,0,0
33,576444,0,0,1,1,0,0
34,576444,0,0,1,1,0,0
35,576444,65217,0,0.887150934327394,0.874245019421274,0.000416879986016193,0.00112377526373464
36,511227,0,0,0.887150934327394,0.874245019421274,0.000416879986016193,0.00112377526373464
37,511227,0,0,0.887150934327394,0.874245019421274,0.000416879986016193,0.00112377526373464
38,511227,0,0,0.887150934327394,0.874245019421274,0.000416879986016193,0.00112377526373464
39,511227,0,0,0.887150934327394,0.874245019421274,0.000416879986016193,0.00112377526373464
40,511227,0,0,0.887150934327394,0.874245019421274,0.000416879986016193,0.00112377526373464
41,511227,0,0,0.887150934327394,0.874245019421274,0.000416879986016193,0.00112377526373464
42,511227,45692,0,0.808063811380178,0.787260303011161,0.00051948509397414,0.00173800265681156
43,465535,0,0,0.808063811380178,0.787260303011161,0.00051948509397414,0.00173800265681156
