Week,DiD_Full_Shock,DiD_COVID_Only,DiD_Benefit_In_COVID_Market,DiD_Benefit_Normal_Market,Elasticity_Full_LogDiD,Elasticity_COVID_Only,Elasticity_Benefit_In_COVID_Market,Elasticity_Benefit_Normal_Market,Target_Full_Elasticity_LogDiD,f_N_Full,f_R_Full,f_N_COVID_Only,f_R_COVID_Only
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
12,-5.5723381120452675,-0.16086165106672795,-5.41147646097854,-7.154536388370683,-2.455469626717347,-0.08376396554766705,-2.37170566116968,-2.525841650957871,-1.1882751229801944,8.209999993527843,1.2959985604675779,8.209999993527843,6.707475021446117
13,-5.467619311297583,-0.17189901782649342,-5.29572029347109,-7.008665583495581,-2.3433678664319664,-0.08613992222130037,-2.257227944210666,-2.3922371869086114,-1.1882751229801944,8.209999993527843,1.4007173612152612,8.209999993527843,6.696437654686352
14,-5.359180644257309,-0.18397669465525235,-5.175203949602057,-6.85719381066211,-2.2357917718862015,-0.0887443124343138,-2.1470474594518874,-2.265469138691974,-1.1882751229801944,8.209999993527843,1.5091560282555354,8.209999993527843,6.684359977857593
15,-5.246762706726122,-0.19719092409912903,-5.049571782626994,-6.699655788396354,-2.1321389106910553,-0.0915991814148758,-2.0405397292761798,-2.144469745261782,-1.1882751229801944,8.209999993527843,1.6215739657867219,8.209999993527843,6.671145748413716
16,-5.130082299712053,-0.21164649359546456,-4.918435806116589,-6.535536795440995,-2.031894523646884,-0.09472871973109778,-1.9371658039157862,-2.0283575410199157,-1.1882751229801944,8.209999993527843,1.738254372800791,8.209999993527843,6.656690178917381
17,-5.008829583827752,-0.22745742288825255,-4.781372160939499,-6.364265700245149,-1.9346134947617664,-0.0981594760289998,-1.8364540187327665,-1.9163925411557707,-1.1882751229801944,8.209999993527843,1.8595070886850935,8.209999993527843,6.640879249624593
18,-4.882664814776332,-0.24474769238459065,-4.637917122391741,-6.185206779240719,-1.8399065125144871,-0.10192059177882004,-1.7379859207356672,-1.8079436025524722,-1.1882751229801944,8.209999993527843,1.9856718577365138,8.209999993527843,6.623588980128255
19,-4.751214585811719,-0.2636520118140709,-4.487562573997648,-5.997650069279069,-1.7474292757649112,-0.10604406052452883,-1.6413852152403825,-1.702464109543284,-1.1882751229801944,8.209999993527843,2.1171220867011264,8.209999993527843,6.604684660698775
20,-4.614067487635358,-0.2843166277084225,-4.329750859926936,-5.80079993629516,-1.6568739427933172,-0.11056501446732904,-1.5463089283259883,-1.5994734667357153,-1.1882751229801944,8.209999993527843,2.254269184877487,8.209999993527843,6.584020044804423
21,-4.470769077044304,-0.3069001671753696,-4.163868909868934,-5.593761460607144,-1.5679622522382712,-0.1155220416080981,-1.452440210630173,-1.4985427075233313,-1.1882751229801944,8.209999993527843,2.397567595468542,8.209999993527843,6.5614365053374755
22,-4.3208160217514076,-0.3315745141664328,-3.9892415075849743,-5.375524133115649,-1.4804399012239238,-0.12095753713897812,-1.3594823640849456,-1.3992830524381077,-1.1882751229801944,8.209999993527843,2.5475206507614385,8.209999993527843,6.536762158346413
23,-4.16364925880374,-0.3585257128973063,-3.805123545906433,-5.144942217571731,-1.3940718740137654,-0.1269180933267949,-1.2671537806869706,-1.3013365926821296,-1.1882751229801944,8.209999993527843,2.7046874137091064,8.209999993527843,6.509810959615539
24,-3.9986459661478486,-0.38795489123630844,-3.61069107491154,-4.900710950207661,-1.3086384900375674,-0.13345493279191784,-1.1751835572456495,-1.20436849900472,-1.1882751229801944,8.209999993527843,2.8696907063649966,8.209999993527843,6.480381781276537
25,-3.8251100987467104,-0.42007919469166655,-3.4050309040550437,-4.641337502693704,-1.2239319933380313,-0.14062439088209217,-1.0833076024559392,-1.1080603051969364,-1.1882751229801944,8.209999993527843,3.0432265737661344,8.209999993527843,6.448257477821179
26,-3.642261179047797,-0.4551327190631005,-3.1871284599846965,-4.365105303783746,-1.1397535430373904,-0.14848845380611092,-0.9912650892312795,-1.0121039135403078,-1.1882751229801944,8.209999993527843,3.2260754934650486,8.209999993527843,6.413203953449745
27,-3.4492209521987243,-0.49336742684257806,-2.955853525356146,-4.070029864729081,-1.0559104907091803,-0.15711536037210347,-0.8987951303370768,-0.9161960315988359,-1.1882751229801944,8.209999993527843,3.4191157203141214,8.209999993527843,6.374969245670267
28,-3.2449974132864754,-0.5350540290175121,-2.7099433842689633,-3.753803633166447,-0.9722138484350965,-0.1665802766274043,-0.8056335718076922,-0.8200327846817523,-1.1882751229801944,8.209999993527843,3.62333925922637,8.209999993527843,6.333282643495333
29,-3.028465578858361,-0.5804828100240731,-2.447982768834288,-3.413726534821167,-0.8884758626818513,-0.17696605449837366,-0.7115098081834776,-0.7233042608407937,-1.1882751229801944,8.209999993527843,3.8398710936544846,8.209999993527843,6.287853862488772
30,-2.798344196674152,-0.629964369204955,-2.168379827469197,-3.0466176389549426,-0.8045076150693672,-0.1883640877798536,-0.6161435272895136,-0.6256887368850035,-1.1882751229801944,8.209999993527843,4.069992475838694,8.209999993527843,6.23837230330789
31,-2.553167349973008,-0.683830247248065,-1.8693371027249432,-2.648701628499243,-0.7201165721695117,-0.20087528165898225,-0.5192412905105295,-0.5268463031261559,-1.1882751229801944,8.209999993527843,4.3151693225398375,8.209999993527843,6.184506425264781
32,-2.291249592619573,-0.7424334007501372,-1.5488161918694356,-2.2154611979309653,-0.6351040027363714,-0.21461115555588725,-0.42049284718048413,-0.4264115466115107,-1.1882751229801944,8.209999993527843,4.577087079893272,8.209999993527843,6.125903271762708
33,-2.010642816269712,-0.8061484823219278,-1.2044943339477845,-1.7414427083584956,-0.5492621717990046,-0.22969510366493792,-0.31956706813406666,-0.32398485821992856,-1.1882751229801944,8.209999993527843,4.857693856243133,8.209999993527843,6.062188190190917
34,-1.7090824518298575,-0.8753718776324422,-0.8337105741974153,-1.21999669415956,-0.4623712058634649,-0.24626384351088448,-0.21610736235258043,-0.21912178227202178,-1.1882751229801944,8.209999993527843,5.159254220682988,8.209999993527843,5.992964794880403
35,-1.383919773261231,-0.9505214446350947,-0.43339832862613614,-0.6429259593771858,-0.3741955003737136,-0.26446909054047035,-0.10972640983324321,-0.11131960148622644,-1.1882751229801944,8.209999993527843,5.484416899251614,8.209999993527843,5.9178152278777505
36,-1.0320358941469931,-1.0320358941469931,0.0,1.8041124150158794e-14,-0.2844795068659679,-0.2844795068659679,0.0,2.562741203051934e-15,-1.1882751229801944,8.209999993527843,5.836300778365852,8.209999993527843,5.836300778365852
37,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
39,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
40,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
42,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
45,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
46,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
47,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
48,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
49,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
50,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
51,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
54,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
55,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
56,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
57,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
59,1.8041124150158794e-14,1.8041124150158794e-14,0.0,1.8041124150158794e-14,2.562741203051934e-15,2.562741203051934e-15,0.0,2.562741203051934e-15,-1.1882751229801944,9.999539988512817,8.657876667497836,9.999539988512817,8.657876667497836
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1882751229801944,9.999539988512817,8.657876667497819,9.999539988512817,8.657876667497819
