BenefitMultiplier,LeisureRMultiplier,label,match_elasticity,vacancy_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_R_post,kappa_N_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,did_full_pp,did_benefit_normal_pp,did_covid_only_pp,did_benefit_covid_env_pp,did_interaction_pp,elasticity_full_logdid,elasticity_benefit_normal_logdid,elasticity_covid_only_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,observed_did_over_marginal,shock_gap_full_pp,Interpretation,ElasticityInterpretation
1.5,0.8,"benefit=1.5, leisure_R=0.8",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,1.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.3832848028918199,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000014636197,-3.7518037703088236,-0.765215816716307,-3.431724095790351,-0.32007967451847297,0.44513614219783393,-2.035935799024386,-0.23018292908844254,-1.803756729202036,-0.23217906982235004,8.768817105616654,11.721468337385145,-5.0899999782126875,DiD overstates benefit effect,DiD overstates elasticity
1.5,1.0,"benefit=1.5, leisure_R=1.0",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,1.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.359931954623097,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000013354556,-3.7518037704369878,-0.765215816716307,-3.4262487333218647,-0.3255550371151232,0.43966077960118377,-2.034781539888423,-0.23018292908844254,-1.7982003447672177,-0.2365811951212056,8.600774625582396,11.524330275099599,-5.089999978340852,DiD overstates benefit effect,DiD overstates elasticity
1.5,1.5,"benefit=1.5, leisure_R=1.5",0.42,0.5800000000000001,0.01,0.0,1.0,1.5,1.0,1.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.3014361641756909,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000012471273,-3.7518037705253167,-0.765215816716307,-3.411673458341138,-0.3401303121841786,0.42508550453212834,-2.0324332014905218,-0.23018292908844254,-1.7839886863443821,-0.2484445151461388,8.18063220391488,11.030489304033967,-5.089999978429181,DiD overstates benefit effect,DiD overstates elasticity
1.5,2.0,"benefit=1.5, leisure_R=2.0",0.42,0.5800000000000001,0.01,0.0,1.0,2.0,1.0,1.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.2427591822733839,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000012650383,-3.751803770507405,-0.765215816716307,-3.3956782877895666,-0.3561254827178384,0.4090903339984685,-2.031035804173189,-0.23018292908844254,-1.7693163766857363,-0.26171942748745286,7.760355521450769,10.535061242668768,-5.089999978411269,DiD overstates benefit effect,DiD overstates elasticity
1.5,2.5,"benefit=1.5, leisure_R=2.5",0.42,0.5800000000000001,0.01,0.0,1.0,2.5,1.0,1.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.1838732914019852,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000012899465,-3.751803770482497,-0.765215816716307,-3.378036372547941,-0.3737673979345557,0.39144841878175124,-2.0308818945452587,-0.23018292908844254,-1.7541878135834987,-0.27669408096176,7.339809682542262,10.037803701486597,-5.089999978386361,DiD overstates benefit effect,DiD overstates elasticity
2.0,0.8,"benefit=2.0, leisure_R=0.8",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.2192316382033557,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.0312000000121086,-3.751803770561585,-1.5653044277815613,-3.034283796624397,-0.7175199739371871,0.8477844538443744,-1.1879451364497684,-0.29390102546101426,-0.8961878595953159,-0.29175727685445224,4.071689828125157,5.228849240216445,-5.089999978465448,DiD overstates benefit effect,DiD overstates elasticity
2.0,1.0,"benefit=2.0, leisure_R=1.0",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.1956687078832458,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000012363983,-3.7518037705360454,-1.5653044277815613,-3.0203629704079296,-0.7314408001281159,0.8338636276534455,-1.1879395359079006,-0.29390102546101426,-0.8900554596154789,-0.2978840762924216,3.987925607482775,5.129333460587509,-5.089999978439909,DiD overstates benefit effect,DiD overstates elasticity
2.0,1.5,"benefit=2.0, leisure_R=1.5",0.42,0.5800000000000001,0.01,0.0,1.0,1.5,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.1365916180445281,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000011930146,-3.7518037705794294,-1.5653044277815613,-2.982959409001054,-0.768844361578374,0.7964600662031872,-1.188593746868057,-0.29390102546101426,-0.8740302725059744,-0.3145634743620822,3.7785497800673173,4.879796169509895,-5.089999978483293,DiD overstates benefit effect,DiD overstates elasticity
2.0,2.0,"benefit=2.0, leisure_R=2.0",0.42,0.5800000000000001,0.01,0.0,1.0,2.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.0772388054876423,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000010474557,-3.751803770724988,-1.5653044277815613,-2.9413117284719483,-0.8104920422530387,0.7548123855285227,-1.190450377698001,-0.29390102546101426,-0.8569146877666789,-0.3335356899313223,3.569184389062305,4.6290445496485955,-5.089999978628852,DiD overstates benefit effect,DiD overstates elasticity
2.0,2.5,"benefit=2.0, leisure_R=2.5",0.42,0.5800000000000001,0.01,0.0,1.0,2.5,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.01755979329076,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.03119999999998705,-3.751803771773739,-1.5653044277815613,-2.894612414286121,-0.8571913574876175,0.708113070293944,-1.1939235928117928,-0.29390102546101426,-0.8385638434182351,-0.35535974939355747,3.3597603410326986,4.376856741498278,-5.089999979677603,DiD overstates benefit effect,DiD overstates elasticity
