Sweep,Value,label,match_elasticity,vacancy_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_R_post,kappa_N_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,did_full_pp,did_benefit_normal_pp,did_covid_only_pp,did_benefit_covid_env_pp,did_interaction_pp,elasticity_full_logdid,elasticity_benefit_normal_logdid,elasticity_covid_only_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,observed_did_over_marginal,shock_gap_full_pp
match_elasticity,0.33,match_elasticity=0.33,0.33,0.6699999999999999,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.058286361557334826,0.05494991620254085,0.6213364522861577,1.196179036151584,0.6213364522861577,0.10004421198707851,0.08662339301042768,0.08210000003280021,0.031200000012266672,-3.7479181043882703,-1.5655669447560447,-3.0164348806479593,-0.731483223740311,0.8340837210157336,-1.1873946643158302,-0.29391275918184073,-0.8894970431750674,-0.297897621140763,3.985915227415531,5.123723938908604,-5.090000002053354
match_elasticity,0.38,match_elasticity=0.38,0.38,0.62,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06068546550802824,0.05670207199506154,0.6213358544935331,1.19616524400395,0.6213358544935331,0.10004931141394864,0.08662868948939519,0.08209999995296507,0.031200000012258634,-3.7479378016152998,-1.565689146616691,-3.016434830978039,-0.7315029706372609,0.8341861759794301,-1.1874088448695694,-0.2939182206331737,-0.8895049190976387,-0.2979039257719303,3.9858784733794597,5.123612551224805,-5.089999994070644
match_elasticity,0.42,match_elasticity=0.42,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1956687086133548,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001196137,-3.7518037737682053,-1.5653044277815613,-3.0203629736489015,-0.7314408001193029,0.8338636276622584,-1.1879395364915715,-0.29390102546101426,-0.890055460199055,-0.2978840762925166,3.9879256094408917,5.129333465068206,-5.0899999816720705
match_elasticity,0.46,match_elasticity=0.46,0.46,0.54,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06471311548046017,0.05961657842499315,0.6209844571034028,1.195843495405493,0.6209844571034028,0.09999469909123603,0.08660160374614245,0.08209999965582365,0.031200000012065684,-3.7506904298664407,-1.5650642344833807,-3.019288449193307,-0.7314019806731334,0.8336622538102473,-1.1877542696250407,-0.29389028798722727,-0.889882587667723,-0.29787168195731767,3.9874695769006845,5.128083501243128,-5.089999964375797
match_elasticity,0.5,match_elasticity=0.5,0.5,0.5,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.0668354017592306,0.06113812672698721,0.6215621383884813,1.1965832927588314,0.6215621383884813,0.10000178636007843,0.08656105869149357,0.08209999954444532,0.031200000012505176,-3.745927186335527,-1.5641288768680464,-3.014676406948245,-0.7312507793872828,0.8328780974807635,-1.1869699103376885,-0.2938484600964523,-0.8891465060934505,-0.29782340424423775,3.9854823140906794,5.122630008646624,-5.089999953194014
delta,0.004,delta=0.004,0.42,0.5800000000000001,0.004,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.05101405059421774,0.04739150598928315,0.6866732653609382,1.3648035115961925,0.6866732653609382,0.09999338675627517,0.08654424946708311,0.08209999997428472,0.031200000011969542,-3.7450862673123115,-1.4578863664042983,-3.0741945842306775,-0.6708916830816349,0.7869946833226631,-1.186751165270704,-0.27166280583060964,-0.9125593521561407,-0.2741918131145631,4.328178700123532,5.582251743097856,-5.089999996231517
delta,0.006,delta=0.006,0.42,0.5800000000000001,0.006,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.05509504847813653,0.051151045914282614,0.662155005155548,1.3024935414147683,0.662155005155548,0.10000055728104078,0.08665627910356719,0.08210000021751147,0.031200000011204283,-3.7555722028833602,-1.4964917452749484,-3.063908738907215,-0.6916634639761455,0.8048282812988028,-1.188519772772051,-0.27930008143231605,-0.9061996542316917,-0.2823201185403588,4.209830241347632,5.429768085903818,-5.090000020630719
delta,0.008,delta=0.008,0.42,0.5800000000000001,0.008,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.058969578977837764,0.05473356765407165,0.6417102053407223,1.2482329700645998,0.6417102053407223,0.10001296924433768,0.08658066810376114,0.08210000201033642,0.031200000011742723,-3.746770085801715,-1.5300583856658734,-3.035302573194819,-0.7114675126068967,0.8185908730589768,-1.1870880498701881,-0.28660286878718005,-0.896993933469984,-0.290094116400204,4.092079028009385,5.266256040382125,-5.09000019985937
delta,0.01,delta=0.01,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1956687086133548,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001196137,-3.7518037737682053,-1.5653044277815613,-3.0203629736489015,-0.7314408001193029,0.8338636276622584,-1.1879395364915715,-0.29390102546101426,-0.890055460199055,-0.2978840762925166,3.9879256094408917,5.129333465068206,-5.0899999816720705
delta,0.012,delta=0.012,0.42,0.5800000000000001,0.012,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06620608523301467,0.06140988775680563,0.6023712281616886,1.1481033228859525,0.6023712281616886,0.10000117071393175,0.08657576590739692,0.08210000112541499,0.031200000012301225,-3.747459630657894,-1.5982456348899974,-2.9965383774898995,-0.7509212531679952,0.847324381722002,-1.1872963505789853,-0.30100947084268365,-0.8818192176136201,-0.30547713296536533,3.886694689888947,4.990482843371483,-5.090000111311377
