Sweep,X,Y,label,match_elasticity,vacancy_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_R_post,kappa_N_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,did_full_pp,did_benefit_normal_pp,did_covid_only_pp,did_benefit_covid_env_pp,did_interaction_pp,elasticity_full_logdid,elasticity_benefit_normal_logdid,elasticity_covid_only_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,observed_did_over_marginal,shock_gap_full_pp
alpha_x_common_cost,0.33,0.8,"alpha=0.33, common_cost=0.8",0.33,0.6699999999999999,0.01,0.0,0.8,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.058286361557334826,0.05460555681945824,0.6213364522861577,1.1514618505009915,0.49706916182892624,0.10004421198707851,0.08662339301042768,0.08210000090659418,0.031200000013224555,-3.74791819167188,-1.5655669447560447,-3.0164349679106346,-0.7314832237612454,0.8340837209947991,-1.1880413654086694,-0.29391275918184073,-0.8901437442681449,-0.29789762114052437,3.9880861111282466,5.123724058086112,-5.090000089336963
alpha_x_common_cost,0.33,1.0,"alpha=0.33, common_cost=1.0",0.33,0.6699999999999999,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.058286361557334826,0.05494991620280251,0.6213364522861577,1.1961790361684397,0.6213364522861577,0.10004421198707851,0.08662339301042768,0.08210000003434628,0.031200000012667487,-3.747918104502796,-1.5655669447560447,-3.016434880753736,-0.7314832237490604,0.8340837210069846,-1.187394664324675,-0.29391275918184073,-0.8894970431840153,-0.29789762114065976,3.9859152274466036,5.123723939003885,-5.09000000216788
alpha_x_common_cost,0.33,1.4,"alpha=0.33, common_cost=1.4",0.33,0.6699999999999999,0.01,0.0,1.4,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.058286361557334826,0.05793023973710725,0.6213364522861577,1.6474647619745784,0.8698710332006208,0.10004421198707851,0.08662339301042768,0.08210000000037271,0.031200000013184195,-3.747918101053767,-1.5655669447560447,-3.016434877293392,-0.7314832237603754,0.8340837209956695,-1.1868401549481884,-0.29391275918184073,-0.8889425338076493,-0.2978976211405388,3.98405381823534,5.123723934209511,-5.089999998718851
alpha_x_common_cost,0.42,0.8,"alpha=0.42, common_cost=0.8",0.42,0.5800000000000001,0.01,0.0,0.8,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05768026431263898,0.6208498695508443,1.1515305277660104,0.4966798956406755,0.09999397681810164,0.08661201473906298,0.08210000106443217,0.031200000013265696,-3.7518038972127825,-1.5653044277815613,-3.02036309706495,-0.7314408001478332,0.8338636276337281,-1.1885765519934508,-0.29390102546101426,-0.8906924757012489,-0.2978840762922016,3.990064077233681,5.129333633637195,-5.090000105116648
alpha_x_common_cost,0.42,1.0,"alpha=0.42, common_cost=1.0",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.1956687078832458,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000012363983,-3.7518037705360454,-1.5653044277815613,-3.0203629704079296,-0.7314408001281159,0.8338636276534455,-1.1879395359079006,-0.29390102546101426,-0.8900554596154789,-0.2978840762924216,3.987925607482775,5.129333460587509,-5.089999978439909
alpha_x_common_cost,0.42,1.4,"alpha=0.42, common_cost=1.4",0.42,0.5800000000000001,0.01,0.0,1.4,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.06217559988395016,0.6208498695508443,1.6461863290006276,0.869189817371182,0.09999397681810164,0.08661201473906298,0.08210000543216255,0.031200000012636498,-3.7518043340487397,-1.5653044277815613,-3.020363533914677,-0.7314408001340625,0.8338636276474987,-1.1873769271373211,-0.29390102546101426,-0.8894928508449707,-0.2978840762923506,3.9860369238804183,5.129334230960438,-5.090000541952605
alpha_x_common_cost,0.5,0.8,"alpha=0.5, common_cost=0.8",0.5,0.5,0.01,0.0,0.8,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.0668354017592306,0.060558381960316446,0.6215621383884813,1.1518381932562065,0.49724971071078505,0.10000178636007843,0.08656105869149357,0.08210000011194855,0.031200000013097015,-3.7459272430266686,-1.5641288768680464,-3.01467646362644,-0.7312507794002288,0.8328780974678176,-1.1876152801175759,-0.2938484600964523,-0.8897918758734791,-0.2978234042440967,3.987649268639089,5.122630086082198,-5.090000009885154
alpha_x_common_cost,0.5,1.0,"alpha=0.5, common_cost=1.0",0.5,0.5,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.0668354017592306,0.06113812672920236,0.6215621383884813,1.1965832929621945,0.6215621383884813,0.10000178636007843,0.08656105869149357,0.08209999955220924,0.031200000011825987,-3.7459271871798387,-1.5641288768680464,-3.0146764078073978,-0.7312507793724411,0.8328780974956049,-1.186969910506538,-0.2938484600964523,-0.8891465062621325,-0.2978234042444057,3.985482314655377,5.122630009905207,-5.089999954038325
alpha_x_common_cost,0.5,1.4,"alpha=0.5, common_cost=1.4",0.5,0.5,0.01,0.0,1.4,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.0668354017592306,0.06623401659144737,0.6215621383884813,1.6482337154001927,0.8701869937438738,0.10000178636007843,0.08656105869149357,0.08209999870445486,0.03120000001135586,-3.7459271024514127,-1.5641288768680464,-3.014676323089251,-0.7312507793621617,0.8328780975058845,-1.1864203896177856,-0.2938484600964523,-0.8885969853732658,-0.29782340424451953,3.9836371913998687,5.122629894109409,-5.0899998693099
recipient_leisure_x_benefit,0.8,1.75,"leisure_R=0.8, benefit=1.75",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,1.75,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.3014361641756909,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000012471273,-3.7518037705253167,-1.1606416303987261,-3.2444119536522784,-0.5073918168730376,0.6532498135256886,-1.4725830927773473,-0.2609157365291524,-1.2114313332937918,-0.2611517594835554,5.638802111421636,7.394293021213848,-5.089999978429181
recipient_leisure_x_benefit,0.8,2.0,"leisure_R=0.8, benefit=2.0",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.2192316382033557,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.0312000000121086,-3.751803770561585,-1.5653044277815613,-3.034283796624397,-0.7175199739371871,0.8477844538443744,-1.1879451364497684,-0.29390102546101426,-0.8961878595953159,-0.29175727685445224,4.071689828125157,5.228849240216445,-5.089999978465448
recipient_leisure_x_benefit,0.8,2.25,"leisure_R=0.8, benefit=2.25",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,2.25,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.1365916180445281,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000011930146,-3.7518037705794294,-1.979784618471818,-2.796605543680921,-0.9551982268985073,1.0245863915733109,-1.0159572155503382,-0.32988214876818994,-0.6913451824759064,-0.32461203307443154,3.1297583331342045,3.9277750574992116,-5.089999978483293
recipient_leisure_x_benefit,1.0,1.75,"leisure_R=1.0, benefit=1.75",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,1.75,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.277988545606678,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000013111327,-3.75180377046131,-1.1606416303987261,-3.2351901216272876,-0.5166136488340226,0.6440279815647034,-1.4720849116605097,-0.2609157365291524,-1.2057380181937596,-0.26634689346675006,5.526946053321551,7.262300906933041,-5.089999978365175
recipient_leisure_x_benefit,1.0,2.0,"leisure_R=1.0, benefit=2.0",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.1956687078832458,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000012363983,-3.7518037705360454,-1.5653044277815613,-3.0203629704079296,-0.7314408001281159,0.8338636276534455,-1.1879395359079006,-0.29390102546101426,-0.8900554596154789,-0.2978840762924216,3.987925607482775,5.129333460587509,-5.089999978439909
recipient_leisure_x_benefit,1.0,2.25,"leisure_R=1.0, benefit=2.25",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.25,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.1128861444717368,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.03120000001205616,-3.7518037705668283,-1.979784618471818,-2.7767121624187654,-0.9750916081480623,1.0046930103237557,-1.0164515463026955,-0.32988214876818994,-0.6845878997651734,-0.33186364653752215,3.0628589690608687,3.8476423540270464,-5.089999978470692
recipient_leisure_x_benefit,1.5,1.75,"leisure_R=1.5, benefit=1.75",0.42,0.5800000000000001,0.01,0.0,1.0,1.5,1.0,1.75,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.2192316382033557,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.0312000000121086,-3.751803770561585,-1.1606416303987261,-3.2105361599137674,-0.541267610647817,0.6193740197509092,-1.4714038448198243,-0.2609157365291524,-1.1909929251369797,-0.28041091968284404,5.247312930908827,6.931513537400164,-5.089999978465448
