r_health_premium,post_R_fit_gap_pp,post_R_fit_ok,mu_pre,mu_post,kappa,search_curvature,offer_dispersion,health_N,health_R,differential_health_shock,differential_health_shock_pct_wage,sep_base,sep_amp,pre_loss,f_N_pre,f_R_pre,f_N_post,f_R_full,f_R_common_covid_baseline,f_N_common_covid_baseline,f_R_differential_covid_baseline,f_R_covid_only,f_R_pre_benefit,pre_gap_pp,common_covid_baseline_gap_pp,differential_covid_baseline_gap_pp,full_gap_pp,target_common_post_pp,target_did_pp,target_cell_did_pp,model_full_did_pp,structural_common_covid_x_baseline_gap_pp,differential_work_disutility_pp,supplement_effect_pp,predicted_jfr_rebound_if_supplement_removed_pp,supplement_effect_common_health_pp,decomposition_residual_pp,covid_market_benefit_pp,normal_market_benefit_pp,target_full_elasticity_logdid,model_full_elasticity_logdid,structural_common_covid_x_baseline_elasticity_logdid,differential_work_disutility_elasticity_logdid,supplement_effect_elasticity_covid_logdid,supplement_effect_common_health_elasticity_logdid,normal_market_benefit_elasticity_logdid,target_to_covid_benefit_ratio,target_to_normal_benefit_ratio,target_to_covid_benefit_elasticity_ratio,target_to_normal_benefit_elasticity_ratio,sep_N_pre,sep_R_pre,sep_N_post,sep_R_full,sep_R_common_covid_baseline,sep_N_common_covid_baseline,sep_R_differential_covid_baseline,sep_R_covid_only,sep_target_common_post_pp,sep_target_did_pp,sep_target_cell_did_pp,sep_model_full_did_pp,sep_structural_common_covid_x_baseline_gap_pp,sep_differential_work_disutility_pp,sep_covid_benefit_pp,predicted_sr_fall_if_supplement_removed_pp,sep_normal_benefit_pp,search_N_pre,search_R_pre,search_N_post,search_R_full,search_R_common_covid_baseline,search_R_differential_covid_baseline,search_R_covid_only,accept_N_pre,accept_R_pre,accept_N_post,accept_R_full,accept_R_common_covid_baseline,accept_R_differential_covid_baseline,accept_R_covid_only,surplus_N_post,surplus_R_full,surplus_R_common_covid_baseline,surplus_R_differential_covid_baseline,surplus_R_covid_only,contact_post,curvature_fit_gap_pp,curvature_fit_ok
1.0,3.381329527485377e-5,true,0.0745689797658049,0.0687528076682511,0.3162590864149015,6.997370712102116,0.35,0.0199146742396599,0.0199146742396599,0.0,0.0,0.047879140464892236,0.0011980688458760548,1.0129359899121541e-5,0.10224233035233123,0.08435904800721765,0.08230000337675542,0.05180033813295275,0.06722110596962758,0.08230000337675542,0.06722110596962758,0.06722110596962758,0.06581805988179562,-1.7883282345113578,-1.507889740712784,-1.507889740712784,-3.0499665243802667,-1.79,-1.71,-1.7100000000000004,-1.261638289868909,0.2804384937985738,0.0,-1.542076783667483,1.542076783667483,-1.542076783667483,2.220446049250313e-16,-1.542076783667483,-1.8540988125421973,-0.4608247719843428,-0.3905530697242093,-0.014600305942603439,0.0,-0.3759527637816057,-0.3759527637816057,-0.35805931361043025,1.1088941991157855,0.9222809423276529,1.2257517868708634,1.2870068015762375,0.048,0.0484,0.05500000000085817,0.055893010186205856,0.05544424751221751,0.05500000000085817,0.05544424751221751,0.05544424751221751,0.7000000000000001,3.7199999999999998,3.72,0.049301018534769064,0.004424751135934102,0.0,0.04487626739883496,-0.04487626739883496,0.048620516377887585,0.9997688531401518,0.944971612636389,0.9778478875008522,0.854921081986717,0.920453386142642,0.920453386142642,0.920453386142642,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5122013812956764,0.6198272879282404,0.6198272879282404,0.6198272879282404,3.451204575073792,1.8755826049139501,2.5952386215401124,2.5952386215401124,2.5952386215401124,0.12471600816982654,3.381329527485377e-5,true
1.25,0.0018657786537423782,true,0.0824420688897243,0.07601136783465126,2.5685842878974787,7.720988515770103,0.35,0.0199146742396599,0.024893342799574874,0.004978668559914974,0.9052124654390861,0.047879140464892236,0.0011980688458760548,8.329404723655134e-6,0.10205360369062205,0.08458786119744546,0.08229999923441265,0.05181865778653742,0.06756012772987459,0.08229999923441265,0.06700642267442948,0.06700642267442948,0.0663666216307802,-1.7465742493176588,-1.4739871504538065,-1.5293576559983175,-3.0481341447875234,-1.79,-1.71,-1.7100000000000004,-1.3015598954698646,0.27258709886385235,-0.05537050554451106,-1.518776488789206,1.518776488789206,-1.5174217533725018,0.0,-1.518776488789206,-1.8221239566665313,-0.4608247719843428,-0.3966161917408118,-0.013915783156386245,-0.011872668855212543,-0.3708277397292129,-0.3669932215015339,-0.34999280765692053,1.125906288793844,0.9384652420290575,1.2426922870464001,1.3166692626325767,0.048,0.0484,0.05500000000085817,0.0576437201832645,0.05544424751221751,0.05500000000085817,0.057205418531104425,0.057205418531104425,0.7000000000000001,3.7199999999999998,3.72,0.22437201824063377,0.004424751135934102,0.17611710188869187,0.0438301652160078,-0.0438301652160078,0.048620516377887585,0.7856806644494048,0.7462703698147324,0.7699988151160819,0.6784204523473766,0.7286787402747632,0.726521176435304,0.726521176435304,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5086467501507603,0.6198272879282404,0.6164696770607889,0.6164696770607889,3.4316784294756304,1.8136372564329648,2.5754253182753297,2.5300140460096032,2.5300140460096032,0.158381121929814,0.0018657786537423782,true
1.5,0.0017267576256800587,true,0.07838340018045763,0.07226982055225631,1.0023778531367178,8.516627190396317,0.35,0.0199146742396599,0.02987201135948985,0.009957337119829952,1.810424930878173,0.047879140464892236,0.0011980688458760548,6.834445501603582e-6,0.10187928193975082,0.08479638884300614,0.08229999978483712,0.0518172675762568,0.06787121393989409,0.08229999978483712,0.06679265289412022,0.06679265289412022,0.06687094143775453,-1.7082893096744685,-1.442878584494303,-1.5507346890716909,-3.0482732208580323,-1.79,-1.71,-1.7100000000000004,-1.3399839111835639,0.2654107251801654,-0.10785610457738781,-1.4975385317863417,1.4975385317863417,-1.4945254629749285,2.220446049250313e-16,-1.4975385317863417,-1.7925447405251551,-0.4608247719843428,-0.4026735212833804,-0.013306645434740296,-0.02311040047176985,-0.3662564753768701,-0.3588243032432361,-0.3426233988392787,1.1418737906932006,0.9539510849246796,1.25820238812205,1.3449892025632235,0.048,0.0484,0.05500000000085817,0.0593940544676131,0.05544424751221751,0.05500000000085817,0.05896656136304391,0.05896656136304391,0.7000000000000001,3.7199999999999998,3.72,0.3994054466754937,0.004424751135934102,0.3522313850826402,0.04274931045691946,-0.04274931045691946,0.048620516377887585,0.8843955260261531,0.8438164041747027,0.868328930470697,0.77072120592981,0.8257440710696247,0.8212851126003003,0.8212851126003003,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5050912444879204,0.6198272879282404,0.613100922447956,0.613100922447956,3.4138476234200636,1.7544089040945705,2.557328622378736,2.467510181405052,2.467510181405052,0.14044594265114044,0.0017267576256800587,true
1.75,0.0012832518705076235,true,0.07427527348436408,0.068482131088874,0.29802147105836857,9.421414762793878,0.35,0.0199146742396599,0.034850679919404826,0.014936005679744926,2.715637396317259,0.047879140464892236,0.0011980688458760548,5.558212936340608e-6,0.10171768266970992,0.08499587909207759,0.08230000186290401,0.051812832518705075,0.06816538158986823,0.08230000186290401,0.06658807352862695,0.06658807352862695,0.0673515169275545,-1.6721803577632324,-1.4134620273035776,-1.5711928334277063,-3.0487169344198937,-1.79,-1.71,-1.7100000000000004,-1.3765365766566613,0.25871833045965476,-0.1577308061241287,-1.4775241009921871,1.4775241009921871,-1.4726333313202464,-2.220446049250313e-16,-1.4775241009921871,-1.7644362164523155,-0.4608247719843428,-0.4084773088109434,-0.01274752480341803,-0.03377543752281748,-0.36195434648470765,-0.35114492506825856,-0.335682456650341,1.1573415275268273,0.9691480961767106,1.2731571715048111,1.3727996886782634,0.048,0.0484,0.05500000000085817,0.06114402427478934,0.05544424751221751,0.05500000000085817,0.06072764017553519,0.06072764017553519,0.7000000000000001,3.7199999999999998,3.72,0.5744024273931176,0.004424751135934102,0.5283392663317683,0.04163840992541523,-0.04163840992541523,0.048620516377887585,1.0036188092031955,0.9616385797971736,0.9870752268896342,0.8826019379103989,0.9429815837227891,0.9360358316440012,0.9360358316440012,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.5015352238044525,0.6198272879282404,0.6097213110153947,0.6097213110153947,3.397040503654626,1.6972068806692227,2.540273532936576,2.407004212422753,2.407004212422753,0.12355013431489946,0.0012832518705076235,true
2.0,0.001006451712721318,true,0.07462623023451183,0.06879983988085044,0.34118762758419224,10.46887865666025,0.35,0.0199146742396599,0.0398293484793198,0.0199146742396599,3.620849861756345,0.047879140464892236,0.0011980688458760548,4.464530971201403e-6,0.10158480262332696,0.08520411383061693,0.08229999794884427,0.05181006451712721,0.06844629114401803,0.08229999794884427,0.06639436774242889,0.06639436774242889,0.06782629170360023,-1.6380688792710028,-1.385370680482624,-1.5905630206415375,-3.0489933431717056,-1.79,-1.71,-1.7100000000000004,-1.4109244639007028,0.25269819878837874,-0.20519234015891352,-1.458430322530168,1.458430322530168,-1.451511712136578,0.0,-1.458430322530168,-1.7377822127016676,-0.4608247719843428,-0.4139704211562809,-0.012230432083943879,-0.04391150676034733,-0.3578284823119897,-0.3438529291124938,-0.329078470557233,1.1724934496928139,0.9840128340026708,1.2878370357968063,1.4003491969681943,0.048,0.0484,0.05500000000085817,0.06289364116031405,0.05544424751221751,0.05500000000085817,0.06248861962866197,0.06248861962866197,0.7000000000000001,3.7199999999999998,3.72,0.7493641159455888,0.004424751135934102,0.7044372116444465,0.04050215316520819,-0.04050215316520819,0.048620516377887585,0.9910185600770731,0.9534122002958878,0.9762569272918548,0.8794670161289702,0.9367239253118202,0.9283940417282036,0.9283940417282036,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.4979790478060197,0.6198272879282404,0.6063311337447744,0.6063311337447744,3.3809374476364384,1.6416948116964292,2.523960533073584,2.348162304846275,2.348162304846275,0.12491923590956289,0.001006451712721318,true
2.25,0.0006781127114316443,true,0.07726528754797765,0.07124198278933219,1.0033931950684878,11.6891708103881,0.35,0.0199146742396599,0.044808017039234774,0.024893342799574874,4.526062327195431,0.047879140464892236,0.0011980688458760548,3.5347096437549297e-6,0.10141100937265117,0.08536188806308204,0.0823000014970188,0.051806781127114315,0.06871360269222034,0.0823000014970188,0.06620903794084916,0.06620903794084916,0.06824745896668667,-1.6049121309569134,-1.3586398804798463,-1.6090963556169637,-3.049322036990448,-1.79,-1.71,-1.7100000000000004,-1.4444099060335347,0.24627225047706713,-0.25045647513711744,-1.4402256813734846,1.4402256813734846,-1.4311969049860789,2.220446049250313e-16,-1.4402256813734846,-1.7114429096395378,-0.4608247719843428,-0.4192012175084398,-0.011746439642236435,-0.0535675591011565,-0.3538872187650469,-0.33694575108981056,-0.32281675484938055,1.1873139203914505,0.9991569046028875,1.3021797554386783,1.4275119400148666,0.048,0.0484,0.05500000000085817,0.06464291691066719,0.05544424751221751,0.05500000000085817,0.06424946514196811,0.06424946514196811,0.7000000000000001,3.7199999999999998,3.72,0.9242916909809024,0.004424751135934102,0.8805217629750604,0.03934517686990796,-0.03934517686990796,0.048620516377887585,0.9106341159330982,0.8794469633038895,0.8984545637019441,0.8154779813733615,0.8656446087968951,0.8569728793739748,0.8569728793739748,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.4944230762611322,0.6198272879282404,0.6029306855843882,0.6029306855843882,3.365943418598411,1.5881456426206915,2.508706102976004,2.2912487972298634,2.2912487972298634,0.13573671811210972,0.0006781127114316443,true
2.5,0.0002338682928218483,true,0.07450541528352354,0.06869569525198234,0.3426187469395714,13.127021584769965,0.35,0.0199146742396599,0.04978668559914975,0.029872011359489848,5.431274792634517,0.047879140464892236,0.0011980688458760548,2.7520325440312568e-6,0.10128048343573015,0.08554119577012785,0.08230000246127617,0.05180233868292822,0.06896798064593333,0.08230000246127617,0.06603085824449174,0.06603085824449174,0.0686729815040077,-1.57392876656023,-1.3332021815342834,-1.6269144216784424,-3.049766377834795,-1.79,-1.71,-1.7100000000000004,-1.475837611274565,0.24072658502594657,-0.293712240144159,-1.4228519561563526,1.4228519561563526,-1.411689088229219,0.0,-1.4228519561563526,-1.686821426612016,-0.4608247719843428,-0.4242103256034229,-0.01130083142189365,-0.06278632819399611,-0.35012316598753296,-0.3304064419692353,-0.3168767736392767,1.2018116098454403,1.0137409763845235,1.3161790385522552,1.454271219350814,0.048,0.0484,0.05500000000085817,0.06639186346180126,0.05544424751221751,0.05500000000085817,0.06601014314907389,0.06601014314907389,0.7000000000000001,3.7199999999999998,3.72,1.0991863460943094,0.004424751135934102,1.056589563685638,0.03817203127273738,-0.03817203127273738,0.048620516377887585,0.9916340049975059,0.9611723087315924,0.9797845462098296,0.8960281893915186,0.947713721432772,0.9375039554232474,0.9375039554232474,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.4908676688555716,0.6198272879282404,0.599520265356683,0.599520265356683,3.3515369730577245,1.5360848100197648,2.4940961853934853,2.2358261190608433,2.2358261190608433,0.12446948152635504,0.0002338682928218483,true
2.75,0.00019994570281678392,true,0.07658840026751446,0.07061906377609607,1.0032952122361778,14.864612667203458,0.35,0.0199146742396599,0.05476535415906472,0.034850679919404826,6.336487258073604,0.047879140464892236,0.0011980688458760548,2.0920999613115286e-6,0.10114184345608045,0.08570226102121226,0.08230000176497702,0.05180199945702817,0.06921267124980829,0.08230000176497702,0.06586219163525224,0.06586219163525224,0.0690744805335892,-1.543958243486819,-1.3087330515168736,-1.6437810129724784,-3.0498002307948857,-1.79,-1.71,-1.7100000000000004,-1.5058419873080666,0.2352251919699455,-0.3350479614556048,-1.4060192178224074,1.4060192178224074,-1.3927491633037372,0.0,-1.4060192178224074,-1.6627780487623158,-0.4608247719843428,-0.4289098698834409,-0.010881467753605044,-0.0715856663947955,-0.34644273573504014,-0.32414339954837534,-0.31118045896497504,1.216199592668717,1.0283994314652118,1.3301614507997137,1.4808923848145972,0.048,0.0484,0.05500000000085817,0.0681404928251465,0.05544424751221751,0.05500000000085817,0.06777062133613308,0.06777062133613308,0.7000000000000001,3.7199999999999998,3.72,1.2740492824288339,0.004424751135934102,1.2326373823915575,0.03698714890134208,-0.03698714890134208,0.048620516377887585,0.927251218166997,0.9019205106046408,0.9174389372096008,0.8454817097230842,0.8907512426368511,0.8807995613098601,0.8807995613098601,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.48731318504688537,0.6198272879282404,0.5961001756627734,0.5961001756627734,3.337806793074871,1.4855276094927212,2.480153491999775,2.181885216876489,2.181885216876489,0.13292794503574024,0.00019994570281678392,true
3.0,0.0011312554937692454,true,0.07771643261549355,0.07165305650785996,2.2484913004618705,17.033549964908026,0.35,0.0199146742396599,0.0597440227189797,0.03982934847931981,7.241699723512692,0.047879140464892236,0.0011980688458760548,1.5388043198939595e-6,0.1010363817462935,0.08588388325287603,0.08229999977743141,0.05181131255493769,0.06945083557184649,0.08229999977743141,0.06570590405496192,0.06570590405496192,0.0694866354752585,-1.5152498493417461,-1.284916420558492,-1.659409572246949,-3.048868722249372,-1.79,-1.71,-1.7100000000000004,-1.5336188729076259,0.23033342878325413,-0.3744931516884571,-1.389459150002423,1.389459150002423,-1.3741569130194178,0.0,-1.389459150002423,-1.6397247777617516,-0.4608247719843428,-0.4332097435912101,-0.010484824404652817,-0.07996904070500381,-0.34275587848155364,-0.31807473229666783,-0.3056518966931796,1.2306946915258488,1.0428579376193698,1.3444693465969055,1.50767843082266,0.048,0.0484,0.05500000000085817,0.06988881702096045,0.05544424751221751,0.05500000000085817,0.06953086886066955,0.06953086886066955,0.7000000000000001,3.7199999999999998,3.72,1.4488817020102283,0.004424751135934102,1.408662134845204,0.03579481602909024,-0.03579481602909024,0.048620516377887585,0.8945199171956202,0.8730502707453578,0.8862306411239362,0.8232279360656434,0.8635947559824908,0.8539070908551826,0.8539070908551826,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.4837599839190823,0.6198272879282404,0.5926707227839816,0.5926707227839816,3.3243317271057276,1.4360988043959264,2.466509456233644,2.12905466201336,2.12905466201336,0.13760895101294454,0.0011312554937692454,true
3.25,0.005411462442697634,true,0.07755892026179913,0.07150396867006029,2.876599693267113,19.968244873652033,0.35,0.0199146742396599,0.06472269127889467,0.044808017039234774,8.146912188951775,0.047879140464892236,0.0011980688458760548,1.0646879815420362e-6,0.10092228218583757,0.0860631170882944,0.08229999978252225,0.051854114624426975,0.06969355998853725,0.08229999978252225,0.06557664591423065,0.06557664591423065,0.06990334787108403,-1.4859165097543174,-1.2606439793985,-1.6723353868291602,-3.044588515809528,-1.79,-1.71,-1.7100000000000004,-1.5586720060552106,0.2252725303558174,-0.41169140743066013,-1.3722531289803677,1.3722531289803677,-1.3550398735856908,-2.220446049250313e-16,-1.3722531289803677,-1.6159769217210351,-0.4608247719843428,-0.4366562182837256,-0.010089339256159083,-0.08784323719230867,-0.3387236418352577,-0.31191505051222806,-0.3000335416286011,1.2461257794839864,1.0581834288690393,1.3604741891871557,1.5359108501101468,0.048,0.0484,0.05500000000085817,0.07163684801879895,0.05544424751221751,0.05500000000085817,0.07129085654785056,0.07129085654785056,0.7000000000000001,3.7199999999999998,3.72,1.6236848017940786,0.004424751135934102,1.584660903563305,0.03459914709483952,-0.03459914709483952,0.048620516377887585,0.8977566674155251,0.8792490635804135,0.8906365358820123,0.8345301896783848,0.8711096077533043,0.8616651886488768,0.8616651886488768,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.48020842403764163,0.6198272879282404,0.5892322165804754,0.5892322165804754,3.3106904533512114,1.387429474939049,2.4526877042992363,2.0768931884244024,2.0768931884244024,0.13692821195528224,0.005411462442697634,true
3.5,0.0024528761971162605,true,0.077121643575123,0.07112293504850985,3.071144291107032,23.221864005038725,0.35,0.0199146742396599,0.06970135983880965,0.049786685599149755,9.052124654390864,0.047879140464892236,0.0011980688458760548,7.342098577288635e-7,0.10074872138293924,0.08614188549504352,0.08230000150363935,0.05182452876197116,0.06989310982092412,0.08230000150363935,0.06540550850669315,0.06540550850669315,0.07019110927784272,-1.4606835887895713,-1.2406891682715235,-1.6894492996946204,-3.047547274166819,-1.79,-1.71,-1.7100000000000004,-1.5868636853772475,0.21999442051804774,-0.4487601314230969,-1.3580979744721986,1.3580979744721986,-1.339184960833497,2.220446049250313e-16,-1.3580979744721986,-1.5950776217200842,-0.4608247719843428,-0.44128264166485603,-0.009767495367681798,-0.09573809350798022,-0.33577705278919406,-0.3068671933591853,-0.2954265981457976,1.2591138725941786,1.072048141554382,1.3724129393489424,1.5598621616220172,0.048,0.0484,0.05500000000085817,0.07338459768481836,0.05544424751221751,0.05500000000085817,0.07305055706183455,0.07305055706183455,0.7000000000000001,3.7199999999999998,3.72,1.79845976839602,0.004424751135934102,1.7606309549617047,0.03340406229838111,-0.03340406229838111,0.048620516377887585,0.9082364288330815,0.8920436338093034,0.9020393000637796,0.8513688621917589,0.8849458053901677,0.8757169887842374,0.8757169887842374,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.4766588633049749,0.6198272879282404,0.5857849703870598,0.5857849703870598,3.299955817292592,1.3418988398822322,2.4417021505834553,2.0280560882370584,2.0280560882370584,0.13519729203371006,0.0024528761971162605,true
3.75,0.0026480598278560974,true,0.07401709012719061,0.06826003722414951,0.29329644543454886,27.82195745001104,0.35,0.0199146742396599,0.07468002839872462,0.05476535415906472,9.957337119829948,0.047879140464892236,0.0011980688458760548,4.6235409308393687e-7,0.10064344292030457,0.08628452694588787,0.08229999993789149,0.05182648059827856,0.07009760160976913,0.08229999993789149,0.06525879470126164,0.06525879470126164,0.07053727041573801,-1.43589159744167,-1.2202398328122352,-1.7041205236629844,-3.0473519339612927,-1.79,-1.71,-1.7100000000000004,-1.6114603365196227,0.2156517646294347,-0.48388069085074914,-1.343231410298308,1.343231410298308,-1.3228285513690188,-2.220446049250313e-16,-1.343231410298308,-1.574725653014987,-0.4608247719843428,-0.44512359579214766,-0.009447939913793835,-0.10319274146503721,-0.33248291441331657,-0.30171462854506753,-0.29071612114798245,1.2730494439675433,1.0859034376724703,1.3860103843155132,1.5851366280089103,0.048,0.0484,0.05500000000085817,0.07513207773557334,0.05544424751221751,0.05500000000085817,0.0748099450504518,0.0748099450504518,0.7000000000000001,3.7199999999999998,3.72,1.9732077734715179,0.004424751135934102,1.9365697538234292,0.03221326851215456,-0.03221326851215456,0.048620516377887585,1.0004506898661636,0.9854764578613868,0.9947389859170152,0.9463611113892546,0.978922492842541,0.9694828902073924,0.9694828902073924,0.7282405829074001,0.6331407021340251,0.7168348567908575,0.473111658816451,0.6198272879282404,0.5823293009061884,0.5823293009061884,3.2885949020707397,1.2966873819694136,2.4301776856027333,1.979485416357074,1.979485416357074,0.122598259072339,0.0026480598278560974,true
