search_curvature,separation_threshold,separation_dispersion,fitted_loss,heldout_AUS_post_jfr_gap_pp,jfr_pre_gap_data_pp,jfr_pre_gap_model_pp,jfr_post_gap_data_pp,jfr_post_gap_model_pp,jfr_did_data_pp,jfr_did_model_pp,f_N_pre_model,f_R_pre_model,f_N_post_model,f_R_post_predicted,sep_N_pre_model,sep_R_pre_model,sep_N_post_model,sep_R_post_model,health_N,health_R,differential_health_pct_wage,common_sep_shock,mu_pre,kappa_common,mu_post
40.0,-0.2,0.08,0.0032701512560424748,-1.9445391774368521,-1.3399999999999994,-1.3970415156038252,-3.05,-4.994539111146601,-1.7100000000000004,-3.5974975955427757,0.10045799718033224,0.08648758202429399,0.08229999933709749,0.03235460822563148,0.048,0.0484,0.05499999999999998,0.09259999976113313,0.0,0.20468763785818134,37.215934156032965,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,-0.2,0.16,3.215111438519774,-5.171607794385406,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221607728095154,-1.7100000000000004,-6.824566212491329,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.392205614593527e-5,0.048,0.0484,0.05499999999999998,0.0746783893378309,0.0,1.9999999545623144,363.63635537496623,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,-0.2,0.32,9.565255721790306,-5.1715462137549375,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221546147464686,-1.7100000000000004,-6.824504631860861,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.453786245061978e-5,0.048,0.0484,0.05499999999999998,0.06167753960220134,0.0,1.9999999483884243,363.63635425244075,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,-0.1,0.08,0.0032701512560421534,-2.8365665426555444,-1.3399999999999994,-1.3970415156038252,-3.05,-5.886566476365293,-1.7100000000000004,-4.489524960761468,0.10045799718033224,0.08648758202429399,0.08229999933709749,0.023434334573444553,0.048,0.0484,0.05499999999999998,0.09259999984204624,0.0,0.22784873933678643,41.427043515779346,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,-0.1,0.16,7.1674300314314205,-5.171558999329219,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221558933038967,-1.7100000000000004,-6.824517417435142,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.441000670781636e-5,0.048,0.0484,0.05499999999999998,0.0658340517071123,0.0,1.9999999545491893,363.6363553725799,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,-0.1,0.32,10.518150737984021,-5.171542177671877,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221542111381625,-1.7100000000000004,-6.8245005957778,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.45782232812305e-5,0.048,0.0484,0.05499999999999998,0.06017334339354737,0.0,1.9999999464794007,363.6363539053456,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,0.05,0.04,0.003270151256042091,0.3594985012885549,-1.3399999999999994,-1.3970415156038252,-3.05,-2.690501432421194,-1.7100000000000004,-1.293459916817369,0.10045799718033224,0.08648758202429399,0.08229999933709749,0.05539498501288555,0.048,0.0484,0.05499999999999998,0.09260000013676635,0.0,0.02948483486275713,5.360879065955841,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,0.05,0.08,3.7425476272006186,-5.1715952323904695,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221595166100219,-1.7100000000000004,-6.8245536504963935,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.404767609531136e-5,0.048,0.0484,0.05499999999999998,0.07326278852588984,0.0,1.9999992105598483,363.63622010179057,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,0.05,0.16,10.869211734832115,-5.1715407959318265,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221540729641577,-1.7100000000000004,-6.824499214037751,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.459204068172815e-5,0.048,0.0484,0.05499999999999998,0.05963647230107786,0.0,1.9999999544614233,363.63635535662235,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,0.05,0.32,11.540482675885432,-5.171538288028588,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221538221738337,-1.7100000000000004,-6.824496706134512,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.461711971412459e-5,0.048,0.0484,0.05499999999999998,0.05863352752399892,0.0,1.9999999444799779,363.6363535418141,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
