moment,data,model,gap
f_N_pre,0.1002,0.10021133405030382,1.13340503038184e-5
f_R_pre,0.0868,0.0867808133980439,-1.9186601956100446e-5
f_N_post,0.0823,0.08229999956508058,-4.349194199226858e-10
f_R_post,0.0518,0.05581084933381092,0.00401084933381092
sep_N_pre,0.048,0.048,0.0
sep_R_pre,0.0484,0.0484,0.0
sep_N_post,0.055,0.05499999999999998,-2.0816681711721685e-17
sep_R_post,0.0926,0.09260000000317158,3.1715741144466847e-12
jfr_pre_gap_pp,-1.3399999999999994,-1.3430520652259914,-0.0030520652259919956
jfr_post_gap_pp,-3.05,-2.648915023126966,0.401084976873034
jfr_did_pp,-1.7100000000000004,-1.3058629579009744,0.404137042099026
mu_pre,NaN,0.07393993489593625,NaN
kappa_pre,NaN,0.34734742911386646,NaN
mu_post,NaN,0.06771583749571872,NaN
kappa_post,NaN,0.34734742911386646,NaN
health_N,NaN,0.0,NaN
health_R,NaN,0.03681896191221773,NaN
differential_health_pct_wage,NaN,6.694356711312313,NaN
common_sep_shock,NaN,0.006999999999999999,NaN
search_curvature,NaN,100.0,NaN
separation_threshold,NaN,0.1,NaN
separation_dispersion,NaN,0.04,NaN
sep_base,NaN,0.04799128201097178,NaN
sep_amp,NaN,0.16947149809500867,NaN
