outcome,empirical_panel,group,period,data,model,gap
finding,main,AB,pre,0.0868,0.08123287894905112,-0.005567121050948878
finding,main,AB,post,0.0518,0.0488647205089602,-0.002935279491039798
finding,placebo,A0,pre,0.09809999999999999,0.09844650950989838,0.00034650950989838225
finding,placebo,A0,post,0.08319999999999998,0.07853138994309382,-0.004668610056906164
separation,main,AB,pre,0.0484,0.04886707881287966,0.00046707881287966213
separation,main,AB,post,0.09259999999999999,0.09248166548367695,-0.0001183345163230376
separation,placebo,A0,pre,0.0505,0.04797807044389324,-0.002521929556106764
separation,placebo,A0,post,0.0529,0.0543318547625149,0.0014318547625148947
finding,main,NZ,pre,0.1002,0.0999449185682329,-0.0002550814317670985
finding,main,NZ,post,0.0823,0.08333504340552791,0.0010350434055279162
finding,placebo,NZ,pre,0.0948,0.0945449185682329,-0.0002550814317670985
finding,placebo,NZ,post,0.08099999999999999,0.07793504340552791,-0.0030649565944720764
separation,main,NZ,pre,0.048,0.04797807044389323,-2.1929556106768666e-5
separation,main,NZ,post,0.055,0.054319298202934345,-0.0006807017970656554
separation,placebo,NZ,pre,0.048,0.04797807044389323,-2.1929556106768666e-5
separation,placebo,NZ,post,0.054,0.054319298202934345,0.0003192982029343455
