outcome,panel,term,data,standard_error,model,gap,standardized_gap,role
finding,main,intercept,0.1002,0.0044,0.0999449185682329,-0.0002550814317670985,-0.05797305267434057,calibration/fit moment
finding,main,australian,-0.0134,0.0063,-0.018712039619181775,-0.005312039619181775,-0.843180891933615,calibration/fit moment
finding,main,post,-0.0179,0.0058,-0.016609875162704985,0.0012901248372950147,0.22243531677500256,repeated measurement of common NZ response
finding,main,interaction,-0.0171,0.0082,-0.01575828327738594,0.001341716722614062,0.16362399056269047,calibration/fit moment
finding,placebo,intercept,0.0948,0.0071,0.0945449185682329,-0.0002550814317670985,-0.035926962220718096,calibration/fit moment
finding,placebo,australian,0.0033,0.0101,0.003901590941665478,0.0006015909416654782,0.059563459570839423,calibration/fit moment
finding,placebo,post,-0.0138,0.0095,-0.016609875162704985,-0.0028098751627049848,-0.2957763329163142,repeated measurement of common NZ response
finding,placebo,interaction,-0.0011,0.0132,-0.003305244404099572,-0.002205244404099572,-0.16706397000754333,disciplines NZ differential shock
separation,main,intercept,0.048,0.0076,0.04797807044389323,-2.1929556106768666e-5,-0.002885467908785351,calibration/fit moment
separation,main,australian,0.0004,0.0107,0.0008890083689864284,0.0004890083689864284,0.045701716727703595,calibration/fit moment
separation,main,post,0.007,0.0099,0.006341227759041113,-0.0006587722409588876,-0.06654265060190782,repeated measurement of common NZ response
separation,main,interaction,0.0372,0.014,0.03727335891175618,7.335891175618003e-5,0.005239922268298574,calibration/fit moment
separation,placebo,intercept,0.048,0.0054,0.04797807044389323,-2.1929556106768666e-5,-0.004061028908660864,calibration/fit moment
separation,placebo,australian,0.0025,0.0077,6.938893903907228e-18,-0.002499999999999993,-0.3246753246753238,calibration/fit moment
separation,placebo,post,0.006,0.0071,0.006341227759041113,0.00034122775904111245,0.04806024775226936,repeated measurement of common NZ response
separation,placebo,interaction,-0.0036,0.01,1.2556559580545468e-5,0.0036125565595805454,0.36125565595805453,disciplines NZ differential shock
