Month,DiD_Full_Shock,DiD_Benefit_Only
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,-2.2565655526964066,-3.6290399605814496
13,-2.2532150650709446,-3.6234673578681806
14,-2.249048819626832,-3.6166686369245706
15,-2.243868200254015,-3.6083740196967597
16,-2.2374262329128953,-3.5982543699086973
17,-2.229415811718629,-3.585908132702023
18,-2.219455058378471,-3.570845400655477
19,-2.207069117028216,-3.5524684739118406
20,-2.191667516577701,-3.530048143025087
21,-2.17251602136785,-3.5026947534141666
22,-2.1487016281851345,-3.4693229032400867
23,-2.1190890409459406,-3.428608373893453
24,-2.0822665480833398,-3.378935584063984
25,-2.0364787224649477,-3.318333482331896
26,-1.979542735466934,-3.2443973344537342
27,-1.9087442956708902,-3.15419330180778
28,-1.8207082513017656,-3.0441420246028903
29,-1.7112376876779558,-2.9098765903517108
30,-1.5751138490163277,-2.746069251695407
31,-1.4058473463272894,-2.546220017621755
32,-1.195368790813047,-2.302398729226212
33,-0.9336441044304388,-2.004930385399808
34,-0.6081961684413328,-1.6420112319447802
35,-0.2035100056515797,-1.199240380262613
36,0.2997068602223478,-0.6590483699126835
37,-9.159339953157541e-14,-9.159339953157541e-14
38,-9.298117831235686e-14,-9.298117831235686e-14
39,-6.106226635438361e-14,-6.106226635438361e-14
40,-3.191891195797325e-14,-3.191891195797325e-14
41,0.0,0.0
42,2.914335439641036e-14,2.914335439641036e-14
43,5.967448757360216e-14,5.967448757360216e-14
44,2.914335439641036e-14,2.914335439641036e-14
45,0.0,0.0
46,2.914335439641036e-14,2.914335439641036e-14
47,0.0,0.0
48,-1.3877787807814457e-15,-1.3877787807814457e-15
49,-3.0531133177191805e-14,-3.0531133177191805e-14
50,-3.191891195797325e-14,-3.191891195797325e-14
51,0.0,0.0
52,0.0,0.0
53,-3.191891195797325e-14,-3.191891195797325e-14
54,0.0,0.0
55,2.914335439641036e-14,2.914335439641036e-14
56,5.967448757360216e-14,5.967448757360216e-14
57,2.914335439641036e-14,2.914335439641036e-14
58,0.0,0.0
59,2.914335439641036e-14,2.914335439641036e-14
60,0.0,0.0
