Month,DiD_Full_Shock,DiD_Benefit_Only
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,-1.6373594743657134,-3.35407717276468
13,-1.6347296650665102,-3.350545507186245
14,-1.6314595646403647,-3.3461539716035937
15,-1.6273932786171563,-3.340693209720749
16,-1.6223369562209293,-3.33390289235225
17,-1.6160495489828077,-3.3254593068317293
18,-1.6082313193131859,-3.3149599247598553
19,-1.598509551205486,-3.3019042123939855
20,-1.586420781863355,-3.2856697688606924
21,-1.571388707184397,-3.2654826546344937
22,-1.552696707795541,-3.240380495761702
23,-1.5294536858831003,-3.209166604909676
24,-1.500551584166601,-3.1703529320674995
25,-1.4646125618321286,-3.1220891252052656
26,-1.419923309160266,-3.062074319023304
27,-1.3643533694501053,-2.987447446523639
28,-1.295253574426309,-2.8946508442618786
29,-1.209329751272306,-2.7792606489756837
30,-1.1024856805647978,-2.6357759001416556
31,-0.9696278184921941,-2.4573562944126706
32,-0.8044224739407537,-2.235496089985466
33,-0.5989938644283919,-1.9596186150444692
34,-0.3435486564010347,-1.6165720494095863
35,-0.02590909071910827,-1.1900024419449928
36,0.3690675638273827,-0.6595740737854419
37,6.106226635438361e-14,6.106226635438361e-14
38,0.0,0.0
39,0.0,0.0
40,2.914335439641036e-14,2.914335439641036e-14
41,2.914335439641036e-14,2.914335439641036e-14
42,6.106226635438361e-14,6.106226635438361e-14
43,9.298117831235686e-14,9.298117831235686e-14
44,9.020562075079397e-14,9.020562075079397e-14
45,3.191891195797325e-14,3.191891195797325e-14
46,6.106226635438361e-14,6.106226635438361e-14
47,2.914335439641036e-14,2.914335439641036e-14
48,2.914335439641036e-14,2.914335439641036e-14
49,2.914335439641036e-14,2.914335439641036e-14
50,6.106226635438361e-14,6.106226635438361e-14
51,2.914335439641036e-14,2.914335439641036e-14
52,2.914335439641036e-14,2.914335439641036e-14
53,6.106226635438361e-14,6.106226635438361e-14
54,2.914335439641036e-14,2.914335439641036e-14
55,0.0,0.0
56,2.914335439641036e-14,2.914335439641036e-14
57,0.0,0.0
58,0.0,0.0
59,-2.914335439641036e-14,-2.914335439641036e-14
60,0.0,0.0
