Week,DiD_Full_Shock,DiD_Benefit_Only,DiD_COVID_Only,DiD_Interaction,f_N_Full,f_R_Full,f_N_Benefit_Only,f_R_Benefit_Only,f_N_COVID_Only,f_R_COVID_Only
1,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
2,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
3,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
4,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
5,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
6,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
7,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
8,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
9,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
10,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
11,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
12,-3.9301138103548223,-2.339271100112877,-2.72991988068524,1.139077170443295,8.36288058852808,3.1012572500955518,9.994245649463455,6.323465021272871,8.36288058852808,4.301451179765134
13,-3.9291137428182346,-2.311443783485413,-2.751715816820704,1.1340458574878822,8.36288058852808,3.102257317632139,9.994245649463455,6.351292337900335,8.36288058852808,4.27965524362967
14,-3.9280603553778786,-2.281100128371105,-2.77495622687184,1.1279959998650668,8.36288058852808,3.103310705072495,9.994245649463455,6.381635993014643,8.36288058852808,4.256414833578534
15,-3.92695079270058,-2.2480012557159603,-2.799730561501789,1.1207810245171694,8.36288058852808,3.104420267749794,9.994245649463455,6.4147348656697885,8.36288058852808,4.231640498948585
