date,nz,new,stock_out,stock_in,prop,event_time
2022-01-13,0,707,5152,2624,0.137228260869565,-65
2022-01-20,0,479,4771,3005,0.100398239362817,-58
2022-01-27,0,363,4536,3240,0.080026455026455,-51
2022-02-03,0,413,4438,3338,0.0930599369085174,-44
2022-02-10,0,343,4296,3480,0.0798417132216015,-37
2022-02-17,0,349,4216,3560,0.0827798861480076,-30
2022-02-24,0,360,4158,3618,0.0865800865800866,-23
2022-03-03,0,333,4073,3703,0.0817579179965627,-16
2022-03-10,0,339,4044,3732,0.0838278931750742,-9
2022-03-17,0,368,4053,3723,0.0907969405378732,-2
2022-03-24,0,308,3992,3784,0.0771543086172345,5
2022-03-31,0,374,4022,3754,0.0929885629040278,12
2022-04-07,0,331,3945,3831,0.0839036755386565,19
2022-04-14,0,297,3934,3841,0.0754956786985257,26
2022-04-21,0,286,3963,3812,0.0721675498359828,33
2022-04-28,0,388,4007,3768,0.0968305465435488,40
2022-05-05,0,385,3884,3891,0.099124613800206,47
2022-05-12,0,322,3782,3993,0.0851401374933897,54
2022-05-19,0,341,3746,4029,0.091030432461292,61
2022-05-26,0,293,3681,4094,0.0795979353436566,68
2022-06-02,0,368,3640,4135,0.101098901098901,75
2022-06-09,0,321,3574,4201,0.0898153329602686,82
2022-06-16,0,301,3504,4271,0.0859018264840183,89
2022-06-23,0,393,3474,4301,0.113126079447323,96
2022-06-30,0,363,3324,4451,0.109205776173285,103
2022-07-07,0,301,3214,4561,0.0936527691350342,110
2022-07-14,0,299,3250,4525,0.092,117
2022-01-13,1,904,4570,3205,0.19781181619256,-65
2022-01-20,1,513,3961,3814,0.129512749305731,-58
2022-01-27,1,363,3658,4117,0.0992345544013122,-51
2022-02-03,1,403,3553,4222,0.113425274415986,-44
2022-02-10,1,323,3428,4347,0.0942240373395566,-37
2022-02-17,1,295,3402,4373,0.0867136978248089,-30
2022-02-24,1,276,3368,4407,0.0819477434679335,-23
2022-03-03,1,333,3381,4395,0.09849157054126,-16
2022-03-10,1,332,3316,4460,0.100120627261761,-9
2022-03-17,1,292,3345,4431,0.0872944693572496,-2
2022-03-24,1,311,3327,4448,0.0934776074541629,5
2022-03-31,1,292,3332,4443,0.0876350540216086,12
2022-04-07,1,394,3353,4422,0.117506710408589,19
2022-04-14,1,278,3310,4465,0.083987915407855,26
2022-04-21,1,305,3352,4423,0.0909904534606205,33
2022-04-28,1,341,3375,4400,0.101037037037037,40
2022-05-05,1,391,3338,4437,0.117136009586579,47
2022-05-12,1,297,3192,4583,0.0930451127819549,54
2022-05-19,1,295,3201,4574,0.0921587004061231,61
2022-05-26,1,303,3166,4609,0.0957043588123816,68
2022-06-02,1,382,3118,4657,0.122514432328416,75
2022-06-09,1,294,2977,4798,0.0987571380584481,82
2022-06-16,1,332,2985,4790,0.111222780569514,89
2022-06-23,1,394,2903,4872,0.135721667240785,96
2022-06-30,1,364,2754,5021,0.132171387073348,103
2022-07-07,1,329,2625,5150,0.125333333333333,110
2022-07-14,1,279,2634,5141,0.105922551252847,117
