date,nz,new,stock_out,stock_in,prop,event_time
2022-01-13,0,5590,22632,20668,0.246995404736656,-65
2022-01-20,0,2796,19012,24288,0.147065011571639,-58
2022-01-27,0,2000,17507,25793,0.114240018278403,-51
2022-02-03,0,2205,16963,26337,0.129988799151094,-44
2022-02-10,0,1723,16146,27154,0.10671373714852,-37
2022-02-17,0,1561,16487,26813,0.0946806574877176,-30
2022-02-24,0,1618,16458,26842,0.0983108518653542,-23
2022-03-03,0,2137,16480,26820,0.129672330097087,-16
2022-03-10,0,1714,15868,27432,0.108016133098059,-9
2022-03-17,0,1520,16260,27040,0.0934809348093481,-2
2022-03-24,0,1461,16305,26995,0.0896044158233671,5
2022-03-31,0,1568,16743,26557,0.0936510780624739,12
2022-04-07,0,2322,16828,26472,0.137984311861184,19
2022-04-14,0,1390,16695,26605,0.0832584606169512,26
2022-04-21,0,1472,17036,26264,0.0864052594505753,33
2022-04-28,0,1995,17407,25893,0.11460906531855,40
2022-05-05,0,2137,16914,26386,0.126345039612156,47
2022-05-12,0,1585,16237,27062,0.0976165547822874,54
2022-05-19,0,1526,16580,26718,0.0920386007237636,61
2022-05-26,0,1536,16485,26814,0.0931756141947225,68
2022-06-02,0,2111,16406,26893,0.128672436913324,75
2022-06-09,0,1586,15781,27518,0.100500601989734,82
2022-06-16,0,1802,16025,27273,0.112449297971919,89
2022-06-23,0,1773,15525,27773,0.114202898550725,96
2022-06-30,0,1985,15082,28216,0.13161384431773,103
2022-07-07,0,2045,14611,28687,0.139963041544042,110
2022-07-14,0,1300,14940,28358,0.0870147255689424,117
2022-01-13,1,5338,23243,20052,0.229660542959171,-65
2022-01-20,1,2696,19813,23482,0.136072275778529,-58
2022-01-27,1,2020,18372,24923,0.109949923797083,-51
2022-02-03,1,2169,17755,25540,0.122162771050408,-44
2022-02-10,1,1786,17019,26276,0.104941535930431,-37
2022-02-17,1,1583,17264,26031,0.0916936978683967,-30
2022-02-24,1,1623,17226,26069,0.0942180424939046,-23
2022-03-03,1,2122,17220,26074,0.123228803716609,-16
2022-03-10,1,1713,16569,26725,0.103385841028427,-9
2022-03-17,1,1623,16953,26341,0.0957352680941426,-2
2022-03-24,1,1497,16982,26313,0.0881521611117654,5
2022-03-31,1,1603,17346,25949,0.0924132364810331,12
2022-04-07,1,2389,17504,25791,0.136483089579525,19
2022-04-14,1,1468,17154,26141,0.0855777078232482,26
2022-04-21,1,1568,17425,25870,0.0899856527977044,33
2022-04-28,1,2084,17765,25530,0.117309316070926,40
2022-05-05,1,2172,17261,26034,0.125832802271016,47
2022-05-12,1,1567,16539,26756,0.0947457524638733,54
2022-05-19,1,1746,16842,26453,0.103669397933737,61
2022-05-26,1,1644,16605,26690,0.0990063233965673,68
2022-06-02,1,2141,16427,26868,0.130334205880562,75
2022-06-09,1,1612,15684,27611,0.102779903085947,82
2022-06-16,1,1937,15955,27340,0.121403948605453,89
2022-06-23,1,1887,15298,27997,0.123349457445418,96
2022-06-30,1,1972,14826,28469,0.133009577768785,103
2022-07-07,1,2023,14340,28955,0.141073919107392,110
2022-07-14,1,1331,14510,28785,0.0917298414886285,117
