date,nz,left,stock_out,stock_in,prop,event_time
2022-01-13,0,326,5152,2624,0.124237804878049,-65
2022-01-20,0,244,4771,3005,0.081198003327787,-58
2022-01-27,0,265,4536,3240,0.0817901234567901,-51
2022-02-03,0,271,4438,3338,0.0811863391252247,-44
2022-02-10,0,263,4296,3480,0.0755747126436782,-37
2022-02-17,0,291,4216,3560,0.0817415730337079,-30
2022-02-24,0,275,4158,3618,0.0760088446655611,-23
2022-03-03,0,304,4073,3703,0.0820955981636511,-16
2022-03-10,0,348,4044,3732,0.0932475884244373,-9
2022-03-17,0,307,4053,3723,0.0824603814128391,-2
2022-03-24,0,338,3992,3784,0.089323467230444,5
2022-03-31,0,297,4022,3754,0.079115610015983,12
2022-04-07,0,320,3945,3831,0.0835291046724093,19
2022-04-14,0,326,3934,3841,0.084873730799271,26
2022-04-21,0,330,3963,3812,0.0865687303252886,33
2022-04-28,0,265,4007,3768,0.0703290870488323,40
2022-05-05,0,283,3884,3891,0.0727319455152917,47
2022-05-12,0,286,3782,3993,0.0716253443526171,54
2022-05-19,0,276,3746,4029,0.0685033507073716,61
2022-05-26,0,252,3681,4094,0.0615534929164631,68
2022-06-02,0,302,3640,4135,0.0730350665054414,75
2022-06-09,0,251,3574,4201,0.0597476791240181,82
2022-06-16,0,271,3504,4271,0.0634511823928822,89
2022-06-23,0,243,3474,4301,0.0564984887235527,96
2022-06-30,0,253,3324,4451,0.0568411592900472,103
2022-07-07,0,337,3214,4561,0.0738873054154791,110
2022-07-14,0,423,3250,4525,0.0934806629834254,117
2022-01-13,1,295,4570,3205,0.0920436817472699,-65
2022-01-20,1,210,3961,3814,0.0550603041426324,-58
2022-01-27,1,258,3658,4117,0.0626669905270828,-51
2022-02-03,1,278,3553,4222,0.0658455708195168,-44
2022-02-10,1,297,3428,4347,0.0683229813664596,-37
2022-02-17,1,261,3402,4373,0.0596844271667048,-30
2022-02-24,1,289,3368,4407,0.0655774903562514,-23
2022-03-03,1,268,3381,4395,0.0609783845278726,-16
2022-03-10,1,361,3316,4460,0.0809417040358744,-9
2022-03-17,1,274,3345,4431,0.0618370570977206,-2
2022-03-24,1,316,3327,4448,0.0710431654676259,5
2022-03-31,1,313,3332,4443,0.070447895566059,12
2022-04-07,1,351,3353,4422,0.0793758480325644,19
2022-04-14,1,320,3310,4465,0.0716685330347144,26
2022-04-21,1,328,3352,4423,0.074157811440199,33
2022-04-28,1,304,3375,4400,0.0690909090909091,40
2022-05-05,1,245,3338,4437,0.0552174892945684,47
2022-05-12,1,306,3192,4583,0.0667684922539821,54
2022-05-19,1,260,3201,4574,0.0568430257979886,61
2022-05-26,1,255,3166,4609,0.0553265350401389,68
2022-06-02,1,241,3118,4657,0.0517500536826283,75
2022-06-09,1,302,2977,4798,0.06294289287203,82
2022-06-16,1,250,2985,4790,0.0521920668058455,89
2022-06-23,1,245,2903,4872,0.0502873563218391,96
2022-06-30,1,235,2754,5021,0.0468034256124278,103
2022-07-07,1,338,2625,5150,0.0656310679611651,110
2022-07-14,1,415,2634,5141,0.0807235946313947,117
