date,nz,left,stock_out,stock_in,prop,event_time
2022-01-13,0,1970,22632,20668,0.0953164311979872,-65
2022-01-20,0,1291,19012,24288,0.0531538208168643,-58
2022-01-27,0,1456,17507,25793,0.0564494242623968,-51
2022-02-03,0,1388,16963,26337,0.0527015225728063,-44
2022-02-10,0,2064,16146,27154,0.0760109007880975,-37
2022-02-17,0,1532,16487,26813,0.0571364636556894,-30
2022-02-24,0,1640,16458,26842,0.0610982788167797,-23
2022-03-03,0,1525,16480,26820,0.0568605518269948,-16
2022-03-10,0,2106,15868,27432,0.0767716535433071,-9
2022-03-17,0,1565,16260,27040,0.0578772189349112,-2
2022-03-24,0,1899,16305,26995,0.070346360437118,5
2022-03-31,0,1653,16743,26557,0.0622434762962684,12
2022-04-07,0,2189,16828,26472,0.0826911453611363,19
2022-04-14,0,1731,16695,26605,0.0650629580905845,26
2022-04-21,0,1843,17036,26264,0.0701720986902224,33
2022-04-28,0,1502,17407,25893,0.0580079558181748,40
2022-05-05,0,1460,16914,26386,0.0553323732282271,47
2022-05-12,0,1928,16237,27062,0.0712438105092011,54
2022-05-19,0,1431,16580,26718,0.0535593981585448,61
2022-05-26,0,1457,16485,26814,0.054337286492131,68
2022-06-02,0,1486,16406,26893,0.0552560145762838,75
2022-06-09,0,1830,15781,27518,0.0665019260120648,82
2022-06-16,0,1302,16025,27273,0.047739522604774,89
2022-06-23,0,1330,15525,27773,0.0478882367767256,96
2022-06-30,0,1514,15082,28216,0.0536574992911823,103
2022-07-07,0,2374,14611,28687,0.0827552549935511,110
2022-07-14,0,2683,14940,28358,0.0946117497707878,117
2022-01-13,1,1908,23243,20052,0.0951526032315978,-65
2022-01-20,1,1255,19813,23482,0.0534451920620049,-58
2022-01-27,1,1403,18372,24923,0.0562933836215544,-51
2022-02-03,1,1433,17755,25540,0.0561080657791699,-44
2022-02-10,1,2031,17019,26276,0.0772948698432029,-37
2022-02-17,1,1545,17264,26031,0.0593523107064654,-30
2022-02-24,1,1617,17226,26069,0.0620276957305612,-23
2022-03-03,1,1471,17220,26074,0.0564163534555496,-16
2022-03-10,1,2097,16569,26725,0.078465855940131,-9
2022-03-17,1,1652,16953,26341,0.0627159181504119,-2
2022-03-24,1,1861,16982,26313,0.0707254969026717,5
2022-03-31,1,1761,17346,25949,0.0678638868549848,12
2022-04-07,1,2039,17504,25791,0.0790585863285642,19
2022-04-14,1,1739,17154,26141,0.0665238514211392,26
2022-04-21,1,1908,17425,25870,0.0737533822960959,33
2022-04-28,1,1580,17765,25530,0.0618879749314532,40
2022-05-05,1,1450,17261,26034,0.0556963970192825,47
2022-05-12,1,1870,16539,26756,0.0698908656002392,54
2022-05-19,1,1509,16842,26453,0.0570445696140324,61
2022-05-26,1,1466,16605,26690,0.0549269389284376,68
2022-06-02,1,1398,16427,26868,0.0520321572130415,75
2022-06-09,1,1883,15684,27611,0.0681974575350404,82
2022-06-16,1,1280,15955,27340,0.0468178493050476,89
2022-06-23,1,1415,15298,27997,0.0505411294067221,96
2022-06-30,1,1486,14826,28469,0.0521971266992167,103
2022-07-07,1,2193,14340,28955,0.0757382144707304,110
2022-07-14,1,2440,14510,28785,0.0847663713739795,117
