"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-01-16,0,1147,9808,13038,0.116945350734095,-63
"2",2020-01-23,0,811,9189,13657,0.0882576994232234,-56
"3",2020-01-30,0,723,8984,13862,0.0804764024933215,-49
"4",2020-02-06,0,829,8885,13961,0.0933033202025886,-42
"5",2020-02-13,0,719,8699,14147,0.0826531785262674,-35
"6",2020-02-20,0,782,8702,14144,0.0898643989887382,-28
"7",2020-02-27,0,709,8613,14231,0.0823174271450133,-21
"8",2020-03-05,0,771,8564,14280,0.090028024287716,-14
"9",2020-03-12,0,658,8498,14346,0.0774299835255354,-7
"10",2020-03-19,0,584,8678,14167,0.0672966121226089,0
"11",2020-03-26,0,591,8862,13983,0.0666892349356804,7
"12",2020-04-02,0,540,9345,13500,0.057784911717496,14
"13",2020-04-09,0,418,10745,12100,0.0389018147975803,21
"14",2020-04-16,0,494,12511,10333,0.0394852529773799,28
"15",2020-04-23,0,607,13506,9339,0.0449429883014956,35
"16",2020-04-30,0,622,13932,8913,0.0446454206144129,42
"17",2020-05-07,0,722,14056,8789,0.0513659647125783,49
"18",2020-05-14,0,604,14178,8667,0.0426012131471294,56
"19",2020-05-21,0,589,14205,8640,0.0414642731432594,63
"20",2020-05-28,0,703,14249,8596,0.049336795564601,70
"21",2020-06-04,0,1003,14114,8731,0.0710641915828256,77
"22",2020-06-11,0,798,13652,9194,0.0584529739232347,84
"23",2020-06-18,0,735,13430,9416,0.0547282204020849,91
"24",2020-06-25,0,867,13292,9554,0.0652272043334336,98
"25",2020-07-02,0,998,13015,9831,0.0766807529773338,105
"26",2020-07-09,0,662,12620,10224,0.0524564183835182,112
"27",2020-07-16,0,663,12764,10080,0.0519429645879035,119
"28",2020-01-16,1,1525,11057,11781,0.137921678574659,-63
"29",2020-01-23,1,1014,10030,12808,0.101096709870389,-56
"30",2020-01-30,1,827,9596,13242,0.0861817423926636,-49
"31",2020-02-06,1,1082,9397,13442,0.115143130786421,-42
"32",2020-02-13,1,806,8988,13851,0.0896751223854028,-35
"33",2020-02-20,1,800,8883,13956,0.0900596645277496,-28
"34",2020-02-27,1,789,8744,14095,0.0902333028362306,-21
"35",2020-03-05,1,1012,8680,14160,0.116589861751152,-14
"36",2020-03-12,1,725,8345,14496,0.0868783702816057,-7
"37",2020-03-19,1,743,8393,14447,0.0885261527463362,0
"38",2020-03-26,1,770,8300,14540,0.0927710843373494,7
"39",2020-04-02,1,827,8402,14438,0.0984289454891693,14
"40",2020-04-09,1,570,8879,13960,0.0641964185155986,21
"41",2020-04-16,1,691,9821,13019,0.0703594338662051,28
"42",2020-04-23,1,728,10058,12782,0.0723801948697554,35
"43",2020-04-30,1,718,10063,12778,0.0713504919010235,42
"44",2020-05-07,1,858,9937,12904,0.0863439669920499,49
"45",2020-05-14,1,744,9844,12998,0.0755790329134498,56
"46",2020-05-21,1,620,9624,13218,0.0644222776392352,63
"47",2020-05-28,1,733,9534,13309,0.0768827354730438,70
"48",2020-06-04,1,1001,9372,13470,0.106807511737089,77
"49",2020-06-11,1,712,8845,13997,0.0804974561899378,84
"50",2020-06-18,1,714,8687,14155,0.0821917808219178,91
"51",2020-06-25,1,936,8469,14373,0.110520722635494,98
"52",2020-07-02,1,1186,8175,14666,0.145076452599388,105
"53",2020-07-09,1,643,7639,15203,0.0841733211153292,112
"54",2020-07-16,1,630,7798,15043,0.0807899461400359,119
