"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-04-02,0,2535,22131,35000,0.114545208079165,-112
"2",2020-04-09,0,1474,22546,34582,0.0653774505455513,-105
"3",2020-04-16,0,1580,24781,32351,0.0637585246761632,-98
"4",2020-04-23,0,1673,25232,31898,0.0663046924540266,-91
"5",2020-04-30,0,1846,25277,31853,0.0730308185306801,-84
"6",2020-05-07,0,2237,24716,32413,0.0905081728435022,-77
"7",2020-05-14,0,1719,24707,32423,0.0695754239689157,-70
"8",2020-05-21,0,1344,24193,32938,0.0555532592072087,-63
"9",2020-05-28,0,1587,24115,33015,0.0658096620360771,-56
"10",2020-06-04,0,2596,23661,33469,0.109716410971641,-49
"11",2020-06-11,0,1748,22234,34896,0.0786183322838895,-42
"12",2020-06-18,0,1683,21917,35213,0.0767897066204316,-35
"13",2020-06-25,0,3280,21467,35663,0.152792658499092,-28
"14",2020-07-02,0,3028,19569,37561,0.154734529102151,-21
"15",2020-07-09,0,1290,18089,39041,0.0713140582674554,-14
"16",2020-07-16,0,1349,19076,38054,0.0707171314741036,-7
"17",2020-07-23,0,1475,19443,37687,0.0758627783778223,0
"18",2020-07-30,0,1381,19306,37823,0.0715321661659588,7
"19",2020-08-06,0,1894,19234,37896,0.0984714567952584,14
"20",2020-08-13,0,1268,18771,38359,0.0675510095359864,21
"21",2020-08-20,0,1400,19231,37899,0.0727991264104831,28
"22",2020-08-27,0,1315,19153,37977,0.0686576515428392,35
"23",2020-09-03,0,1687,19224,37906,0.0877548897211819,42
"24",2020-09-10,0,1292,18579,38551,0.0695408794875935,49
"25",2020-09-17,0,1473,19042,38088,0.0773553198193467,56
"26",2020-09-24,0,1352,18692,38437,0.0723304087310079,63
"27",2020-10-01,0,1871,18767,38362,0.0996962753769915,70
"28",2020-10-08,0,1427,18257,38871,0.0781618009530591,77
"29",2020-10-15,0,1710,19250,37879,0.0888311688311688,84
"30",2020-10-22,0,1410,18863,38266,0.0747495096220114,91
"31",2020-10-29,0,1648,18953,38175,0.0869519337308078,98
"32",2020-11-05,0,1976,18570,38559,0.106408185245019,105
"33",2020-11-12,0,1730,18197,38932,0.0950706160356103,112
"34",2020-11-19,0,1486,17910,39219,0.0829704075935232,119
"35",2020-11-26,0,1545,17769,39360,0.0869491811581969,126
"36",2020-04-02,1,2137,21992,35126,0.0971716987995635,-112
"37",2020-04-09,1,1457,22899,34220,0.0636272326302459,-105
"38",2020-04-16,1,1617,25080,32038,0.0644736842105263,-98
"39",2020-04-23,1,1684,25633,31485,0.0656965630242266,-91
"40",2020-04-30,1,1810,25633,31484,0.070612101587797,-84
"41",2020-05-07,1,2067,25163,31954,0.0821444183920836,-77
"42",2020-05-14,1,1731,25188,31928,0.0687232015245355,-70
"43",2020-05-21,1,1494,24767,32349,0.0603222029313199,-63
"44",2020-05-28,1,1699,24597,32518,0.0690734642436069,-56
"45",2020-06-04,1,2529,24142,32974,0.104755198409411,-49
"46",2020-06-11,1,1934,22723,34393,0.0851120010561986,-42
"47",2020-06-18,1,1749,22163,34953,0.0789153092992826,-35
"48",2020-06-25,1,3030,21587,35529,0.140362255060916,-28
"49",2020-07-02,1,2988,20121,36996,0.148501565528552,-21
"50",2020-07-09,1,1411,18659,38457,0.0756203440698858,-14
"51",2020-07-16,1,1490,19345,37772,0.0770224864306022,-7
"52",2020-07-23,1,1497,19437,37680,0.0770180583423368,0
"53",2020-07-30,1,1422,19273,37843,0.0737819747833757,7
"54",2020-08-06,1,2112,19252,37863,0.109702888011635,14
"55",2020-08-13,1,1400,18556,38559,0.0754472946755766,21
"56",2020-08-20,1,1617,18895,38220,0.0855781952897592,28
"57",2020-08-27,1,1419,18605,38511,0.0762698199408761,35
"58",2020-09-03,1,1745,18610,38506,0.0937667920472864,42
"59",2020-09-10,1,1406,18000,39116,0.0781111111111111,49
"60",2020-09-17,1,1624,18317,38798,0.0886608069006933,56
"61",2020-09-24,1,1456,17931,39184,0.0812001561541465,63
"62",2020-10-01,1,1927,17844,39271,0.107991481730554,70
"63",2020-10-08,1,1479,17249,39868,0.0857441011073106,77
"64",2020-10-15,1,1684,17911,39206,0.0940204343699403,84
"65",2020-10-22,1,1670,17656,39461,0.0945854100589035,91
"66",2020-10-29,1,1642,17457,39659,0.0940596895228275,98
"67",2020-11-05,1,2026,17129,39987,0.1182789421449,105
"68",2020-11-12,1,1888,16783,40333,0.112494786390991,112
"69",2020-11-19,1,1577,16297,40819,0.0967662760017181,119
"70",2020-11-26,1,1562,16039,41077,0.0973876176819004,126
