"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-01-16,0,528,9808,13038,0.0404970087436723,-63
"2",2020-01-23,0,606,9189,13657,0.0443728490883796,-56
"3",2020-01-30,0,624,8984,13862,0.0450151493291011,-49
"4",2020-02-06,0,643,8885,13961,0.0460568727168541,-42
"5",2020-02-13,0,722,8699,14147,0.0510355552413939,-35
"6",2020-02-20,0,693,8702,14144,0.0489960407239819,-28
"7",2020-02-27,0,660,8613,14231,0.0463776263087626,-21
"8",2020-03-05,0,705,8564,14280,0.0493697478991597,-14
"9",2020-03-12,0,839,8498,14346,0.0584832008922348,-7
"10",2020-03-19,0,768,8678,14167,0.0542104891649608,0
"11",2020-03-26,0,1074,8862,13983,0.0768075520274619,7
"12",2020-04-02,0,1940,9345,13500,0.143703703703704,14
"13",2020-04-09,0,2184,10745,12100,0.180495867768595,21
"14",2020-04-16,0,1489,12511,10333,0.144101422626536,28
"15",2020-04-23,0,1033,13506,9339,0.11061141449834,35
"16",2020-04-30,0,746,13932,8913,0.0836979692583866,42
"17",2020-05-07,0,844,14056,8789,0.0960291273182387,49
"18",2020-05-14,0,631,14178,8667,0.0728048921195339,56
"19",2020-05-21,0,633,14205,8640,0.0732638888888889,63
"20",2020-05-28,0,568,14249,8596,0.0660772452303397,70
"21",2020-06-04,0,540,14114,8731,0.0618485854999427,77
"22",2020-06-11,0,576,13652,9194,0.0626495540569937,84
"23",2020-06-18,0,597,13430,9416,0.0634027187765506,91
"24",2020-06-25,0,590,13292,9554,0.0617542390621729,98
"25",2020-07-02,0,603,13015,9831,0.0613365883429966,105
"26",2020-07-09,0,806,12620,10224,0.0788341158059468,112
"27",2020-07-16,0,770,12764,10080,0.0763888888888889,119
"28",2020-01-16,1,497,11057,11781,0.0421865715983363,-63
"29",2020-01-23,1,580,10030,12808,0.0452841973766396,-56
"30",2020-01-30,1,628,9596,13242,0.0474248602930071,-49
"31",2020-02-06,1,673,9397,13442,0.0500669543222735,-42
"32",2020-02-13,1,700,8988,13851,0.0505378673019999,-35
"33",2020-02-20,1,661,8883,13956,0.0473631413012324,-28
"34",2020-02-27,1,725,8744,14095,0.0514366796736431,-21
"35",2020-03-05,1,677,8680,14160,0.0478107344632768,-14
"36",2020-03-12,1,773,8345,14496,0.053325055187638,-7
"37",2020-03-19,1,650,8393,14447,0.0449920398698692,0
"38",2020-03-26,1,872,8300,14540,0.0599724896836314,7
"39",2020-04-02,1,1304,8402,14438,0.0903172184513091,14
"40",2020-04-09,1,1512,8879,13960,0.108309455587393,21
"41",2020-04-16,1,928,9821,13019,0.071280436285429,28
"42",2020-04-23,1,732,10058,12782,0.0572680331716476,35
"43",2020-04-30,1,592,10063,12778,0.0463296290499296,42
"44",2020-05-07,1,764,9937,12904,0.0592064476131432,49
"45",2020-05-14,1,524,9844,12998,0.0403138944452993,56
"46",2020-05-21,1,530,9624,13218,0.0400968376456347,63
"47",2020-05-28,1,571,9534,13309,0.0429032985197986,70
"48",2020-06-04,1,474,9372,13470,0.0351893095768374,77
"49",2020-06-11,1,554,8845,13997,0.0395799099807102,84
"50",2020-06-18,1,496,8687,14155,0.0350406216884493,91
"51",2020-06-25,1,642,8469,14373,0.0446670841160509,98
"52",2020-07-02,1,650,8175,14666,0.0443201963725624,105
"53",2020-07-09,1,802,7639,15203,0.0527527461685194,112
"54",2020-07-16,1,680,7798,15043,0.0452037492521439,119
