"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-04-02,0,2950,22131,35000,0.0842857142857143,-112
"2",2020-04-09,0,3708,22546,34582,0.107223411023076,-105
"3",2020-04-16,0,2032,24781,32351,0.0628110413897561,-98
"4",2020-04-23,0,1718,25232,31898,0.0538591761238949,-91
"5",2020-04-30,0,1285,25277,31853,0.0403415690829749,-84
"6",2020-05-07,0,2227,24716,32413,0.0687070002776664,-77
"7",2020-05-14,0,1205,24707,32423,0.0371649754803689,-70
"8",2020-05-21,0,1266,24193,32938,0.0384358491711701,-63
"9",2020-05-28,0,1133,24115,33015,0.0343177343631683,-56
"10",2020-06-04,0,1169,23661,33469,0.0349278436762377,-49
"11",2020-06-11,0,1431,22234,34896,0.0410075653370014,-42
"12",2020-06-18,0,1233,21917,35213,0.0350154772385199,-35
"13",2020-06-25,0,1382,21467,35663,0.038751647365617,-28
"14",2020-07-02,0,1548,19569,37561,0.0412129602513245,-21
"15",2020-07-09,0,2277,18089,39041,0.0583233011449502,-14
"16",2020-07-16,0,1716,19076,38054,0.0450938140537131,-7
"17",2020-07-23,0,1338,19443,37687,0.0355029585798817,0
"18",2020-07-30,0,1309,19306,37823,0.0346085715041113,7
"19",2020-08-06,0,1431,19234,37896,0.0377612412919569,14
"20",2020-08-13,0,1728,18771,38359,0.0450480982298809,21
"21",2020-08-20,0,1322,19231,37899,0.0348821868650888,28
"22",2020-08-27,0,1386,19153,37977,0.0364957737578008,35
"23",2020-09-03,0,1042,19224,37906,0.0274890518651401,42
"24",2020-09-10,0,1755,18579,38551,0.0455241109180047,49
"25",2020-09-17,0,1123,19042,38088,0.0294843520268851,56
"26",2020-09-24,0,1427,18692,38437,0.0371256861877878,63
"27",2020-10-01,0,1361,18767,38362,0.0354778165893332,70
"28",2020-10-08,0,2420,18257,38871,0.0622572097450542,77
"29",2020-10-15,0,1323,19250,37879,0.0349270044087753,84
"30",2020-10-22,0,1500,18863,38266,0.0391992891862228,91
"31",2020-10-29,0,1265,18953,38175,0.0331368696791094,98
"32",2020-11-05,0,1603,18570,38559,0.0415726548925024,105
"33",2020-11-12,0,1443,18197,38932,0.0370646255008733,112
"34",2020-11-19,0,1345,17910,39219,0.034294602106122,119
"35",2020-11-26,0,1382,17769,39360,0.0351117886178862,126
"36",2020-04-02,1,3044,21992,35126,0.0866594545351022,-112
"37",2020-04-09,1,3638,22899,34220,0.106312098188194,-105
"38",2020-04-16,1,2170,25080,32038,0.0677320681690493,-98
"39",2020-04-23,1,1685,25633,31485,0.0535175480387486,-91
"40",2020-04-30,1,1340,25633,31484,0.0425613009782747,-84
"41",2020-05-07,1,2093,25163,31954,0.0655004068348251,-77
"42",2020-05-14,1,1310,25188,31928,0.041029817088449,-70
"43",2020-05-21,1,1324,24767,32349,0.0409286222139788,-63
"44",2020-05-28,1,1244,24597,32518,0.0382557352850729,-56
"45",2020-06-04,1,1110,24142,32974,0.033662885910111,-49
"46",2020-06-11,1,1374,22723,34393,0.0399499898235106,-42
"47",2020-06-18,1,1173,22163,34953,0.0335593511286585,-35
"48",2020-06-25,1,1564,21587,35529,0.0440203777196093,-28
"49",2020-07-02,1,1526,20121,36996,0.0412477024543194,-21
"50",2020-07-09,1,2097,18659,38457,0.0545284343552539,-14
"51",2020-07-16,1,1582,19345,37772,0.041882876204596,-7
"52",2020-07-23,1,1333,19437,37680,0.0353768577494692,0
"53",2020-07-30,1,1401,19273,37843,0.0370213777977433,7
"54",2020-08-06,1,1416,19252,37863,0.0373979874811822,14
"55",2020-08-13,1,1739,18556,38559,0.0450997173163204,21
"56",2020-08-20,1,1327,18895,38220,0.034720041862899,28
"57",2020-08-27,1,1424,18605,38511,0.0369764482875023,35
"58",2020-09-03,1,1135,18610,38506,0.0294759258297408,42
"59",2020-09-10,1,1723,18000,39116,0.0440484712138255,49
"60",2020-09-17,1,1238,18317,38798,0.0319088612815094,56
"61",2020-09-24,1,1369,17931,39184,0.034937729685586,63
"62",2020-10-01,1,1332,17844,39271,0.0339181584375239,70
"63",2020-10-08,1,2141,17249,39868,0.0537022173171466,77
"64",2020-10-15,1,1429,17911,39206,0.0364485027801867,84
"65",2020-10-22,1,1471,17656,39461,0.0372773117761841,91
"66",2020-10-29,1,1314,17457,39659,0.0331324541718147,98
"67",2020-11-05,1,1680,17129,39987,0.0420136544376922,105
"68",2020-11-12,1,1402,16783,40333,0.0347606178563459,112
"69",2020-11-19,1,1319,16297,40819,0.0323133834733825,119
"70",2020-11-26,1,1443,16039,41077,0.0351291476982253,126
