"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-01-16,0,291,1884,2915,0.154458598726115,-63
"2",2020-01-23,0,186,1721,3078,0.10807669959326,-56
"3",2020-01-30,0,139,1649,3150,0.0842935112189206,-49
"4",2020-02-06,0,209,1639,3160,0.12751677852349,-42
"5",2020-02-13,0,134,1577,3222,0.0849714648065948,-35
"6",2020-02-20,0,168,1604,3195,0.104738154613466,-28
"7",2020-02-27,0,163,1595,3204,0.102194357366771,-21
"8",2020-03-05,0,174,1609,3190,0.108141702921069,-14
"9",2020-03-12,0,153,1600,3199,0.095625,-7
"10",2020-03-19,0,139,1629,3170,0.0853284223449969,0
"11",2020-03-26,0,129,1662,3137,0.0776173285198556,7
"12",2020-04-02,0,132,1766,3033,0.0747451868629672,14
"13",2020-04-09,0,93,2059,2740,0.0451675570665372,21
"14",2020-04-16,0,114,2465,2334,0.0462474645030426,28
"15",2020-04-23,0,127,2679,2120,0.0474057484135872,35
"16",2020-04-30,0,144,2776,2023,0.0518731988472622,42
"17",2020-05-07,0,167,2801,1998,0.0596215637272403,49
"18",2020-05-14,0,131,2836,1963,0.0461918194640338,56
"19",2020-05-21,0,126,2853,1946,0.0441640378548896,63
"20",2020-05-28,0,174,2879,1920,0.060437651962487,70
"21",2020-06-04,0,196,2852,1947,0.0687237026647966,77
"22",2020-06-11,0,162,2764,2035,0.0586107091172214,84
"23",2020-06-18,0,143,2757,2042,0.0518679724338049,91
"24",2020-06-25,0,223,2737,2062,0.0814760686883449,98
"25",2020-07-02,0,191,2650,2149,0.0720754716981132,105
"26",2020-07-09,0,113,2582,2217,0.0437645236250968,112
"27",2020-07-16,0,127,2673,2126,0.0475121586232697,119
"28",2020-01-16,1,351,2251,2546,0.155930697467792,-63
"29",2020-01-23,1,278,2029,2769,0.137013307047807,-56
"30",2020-01-30,1,198,1872,2926,0.105769230769231,-49
"31",2020-02-06,1,231,1808,2990,0.127765486725664,-42
"32",2020-02-13,1,189,1723,3075,0.109692396982008,-35
"33",2020-02-20,1,178,1706,3091,0.104337631887456,-28
"34",2020-02-27,1,138,1658,3139,0.083232810615199,-21
"35",2020-03-05,1,216,1672,3125,0.129186602870813,-14
"36",2020-03-12,1,172,1587,3211,0.108380592312539,-7
"37",2020-03-19,1,151,1586,3212,0.0952080706179067,0
"38",2020-03-26,1,177,1595,3203,0.110971786833856,7
"39",2020-04-02,1,202,1642,3156,0.123020706455542,14
"40",2020-04-09,1,132,1741,3057,0.0758184951177484,21
"41",2020-04-16,1,161,1940,2858,0.0829896907216495,28
"42",2020-04-23,1,179,1990,2808,0.0899497487437186,35
"43",2020-04-30,1,163,1973,2824,0.0826153066396351,42
"44",2020-05-07,1,179,1930,2867,0.0927461139896373,49
"45",2020-05-14,1,145,1960,2837,0.0739795918367347,56
"46",2020-05-21,1,134,1948,2849,0.0687885010266941,63
"47",2020-05-28,1,175,1939,2859,0.0902527075812274,70
"48",2020-06-04,1,202,1873,2925,0.107848371596369,77
"49",2020-06-11,1,194,1746,3052,0.111111111111111,84
"50",2020-06-18,1,150,1681,3117,0.0892325996430696,91
"51",2020-06-25,1,193,1640,3158,0.117682926829268,98
"52",2020-07-02,1,236,1586,3212,0.148802017654477,105
"53",2020-07-09,1,120,1487,3311,0.0806993947545393,112
"54",2020-07-16,1,108,1571,3227,0.0687460216422661,119
