"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-01-16,0,947,5738,6290,0.165040083652841,-63
"2",2020-01-23,0,699,5123,6905,0.136443490142495,-56
"3",2020-01-30,0,485,4787,7241,0.101316064340923,-49
"4",2020-02-06,0,646,4680,7348,0.138034188034188,-42
"5",2020-02-13,0,379,4365,7663,0.0868270332187858,-35
"6",2020-02-20,0,496,4489,7539,0.11049231454667,-28
"7",2020-02-27,0,425,4422,7606,0.0961103573043872,-21
"8",2020-03-05,0,599,4375,7653,0.136914285714286,-14
"9",2020-03-12,0,433,4160,7867,0.104086538461538,-7
"10",2020-03-19,0,387,4297,7730,0.0900628345357226,0
"11",2020-03-26,0,419,4242,7785,0.0987741631305988,7
"12",2020-04-02,0,569,4351,7676,0.130774534589749,14
"13",2020-04-09,0,307,4431,7596,0.0692845858722636,21
"14",2020-04-16,0,396,4964,7064,0.0797743755036261,28
"15",2020-04-23,0,380,4997,7031,0.0760456273764259,35
"16",2020-04-30,0,390,5008,7020,0.0778753993610224,42
"17",2020-05-07,0,487,4930,7097,0.0987829614604463,49
"18",2020-05-14,0,388,5018,7009,0.0773216420884815,56
"19",2020-05-21,0,294,4908,7119,0.0599022004889976,63
"20",2020-05-28,0,380,4950,7077,0.0767676767676768,70
"21",2020-06-04,0,585,4836,7191,0.120967741935484,77
"22",2020-06-11,0,502,4535,7492,0.110694597574421,84
"23",2020-06-18,0,393,4365,7662,0.0900343642611684,91
"24",2020-06-25,0,588,4262,7765,0.137963397465978,98
"25",2020-07-02,0,669,4012,8015,0.166749750747757,105
"26",2020-07-09,0,267,3716,8311,0.0718514531754575,112
"27",2020-07-16,0,300,4010,8017,0.0748129675810474,119
"28",2020-01-16,1,874,5794,6231,0.150845702450811,-63
"29",2020-01-23,1,630,5204,6820,0.121060722521138,-56
"30",2020-01-30,1,487,4908,7116,0.0992257538712306,-49
"31",2020-02-06,1,659,4797,7227,0.13737752762143,-42
"32",2020-02-13,1,412,4483,7541,0.0919027436984162,-35
"33",2020-02-20,1,537,4508,7517,0.119121561668146,-28
"34",2020-02-27,1,392,4339,7686,0.0903433970961051,-21
"35",2020-03-05,1,524,4311,7714,0.12154952447228,-14
"36",2020-03-12,1,415,4131,7894,0.100459937061244,-7
"37",2020-03-19,1,428,4256,7769,0.100563909774436,0
"38",2020-03-26,1,385,4173,7852,0.0922597651569614,7
"39",2020-04-02,1,479,4339,7686,0.110394100023047,14
"40",2020-04-09,1,318,4509,7516,0.0705256154357951,21
"41",2020-04-16,1,421,4988,7037,0.0844025661587811,28
"42",2020-04-23,1,374,5006,7019,0.0747103475829005,35
"43",2020-04-30,1,384,4989,7036,0.0769693325315695,42
"44",2020-05-07,1,433,4911,7114,0.088169415597638,49
"45",2020-05-14,1,409,5051,6974,0.0809740645416749,56
"46",2020-05-21,1,313,4924,7101,0.0635662063363119,63
"47",2020-05-28,1,356,4895,7130,0.0727272727272727,70
"48",2020-06-04,1,550,4821,7204,0.114084214893176,77
"49",2020-06-11,1,533,4545,7480,0.117271727172717,84
"50",2020-06-18,1,389,4311,7714,0.0902342843887729,91
"51",2020-06-25,1,487,4203,7822,0.115869616940281,98
"52",2020-07-02,1,579,4059,7966,0.142645971914265,105
"53",2020-07-09,1,322,3865,8160,0.0833117723156533,112
"54",2020-07-16,1,294,4051,7974,0.0725746729202666,119
