"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-04-02,0,132,1766,3033,0.0747451868629672,-112
"2",2020-04-09,0,93,2059,2740,0.0451675570665372,-105
"3",2020-04-16,0,114,2465,2334,0.0462474645030426,-98
"4",2020-04-23,0,127,2679,2120,0.0474057484135872,-91
"5",2020-04-30,0,144,2776,2023,0.0518731988472622,-84
"6",2020-05-07,0,167,2801,1998,0.0596215637272403,-77
"7",2020-05-14,0,131,2836,1963,0.0461918194640338,-70
"8",2020-05-21,0,126,2853,1946,0.0441640378548896,-63
"9",2020-05-28,0,174,2879,1920,0.060437651962487,-56
"10",2020-06-04,0,196,2852,1947,0.0687237026647966,-49
"11",2020-06-11,0,162,2764,2035,0.0586107091172214,-42
"12",2020-06-18,0,143,2757,2042,0.0518679724338049,-35
"13",2020-06-25,0,223,2737,2062,0.0814760686883449,-28
"14",2020-07-02,0,191,2650,2149,0.0720754716981132,-21
"15",2020-07-09,0,113,2582,2217,0.0437645236250968,-14
"16",2020-07-16,0,127,2673,2126,0.0475121586232697,-7
"17",2020-07-23,0,117,2749,2050,0.0425609312477264,0
"18",2020-07-30,0,102,2799,2000,0.0364415862808146,7
"19",2020-08-06,0,157,2888,1911,0.0543628808864266,14
"20",2020-08-13,0,88,2869,1930,0.030672708260718,21
"21",2020-08-20,0,118,2943,1856,0.0400951410125722,28
"22",2020-08-27,0,110,3012,1787,0.0365205843293493,35
"23",2020-09-03,0,130,3049,1750,0.0426369301410298,42
"24",2020-09-10,0,99,3006,1793,0.0329341317365269,49
"25",2020-09-17,0,108,3023,1776,0.0357260999007608,56
"26",2020-09-24,0,142,3000,1799,0.0473333333333333,63
"27",2020-10-01,0,181,2973,1826,0.0608812647157753,70
"28",2020-10-08,0,151,2876,1923,0.0525034770514604,77
"29",2020-10-15,0,154,2852,1947,0.0539971949509116,84
"30",2020-10-22,0,153,2777,2022,0.0550954267194815,91
"31",2020-10-29,0,220,2712,2087,0.0811209439528024,98
"32",2020-11-05,0,183,2571,2228,0.0711785297549592,105
"33",2020-11-12,0,195,2475,2324,0.0787878787878788,112
"34",2020-11-19,0,156,2383,2416,0.0654637012169534,119
"35",2020-11-26,0,182,2325,2474,0.0782795698924731,126
"36",2020-04-02,1,202,1642,3156,0.123020706455542,-112
"37",2020-04-09,1,132,1741,3057,0.0758184951177484,-105
"38",2020-04-16,1,161,1940,2858,0.0829896907216495,-98
"39",2020-04-23,1,179,1990,2808,0.0899497487437186,-91
"40",2020-04-30,1,163,1973,2824,0.0826153066396351,-84
"41",2020-05-07,1,179,1930,2867,0.0927461139896373,-77
"42",2020-05-14,1,145,1960,2837,0.0739795918367347,-70
"43",2020-05-21,1,134,1948,2849,0.0687885010266941,-63
"44",2020-05-28,1,175,1939,2859,0.0902527075812274,-56
"45",2020-06-04,1,202,1873,2925,0.107848371596369,-49
"46",2020-06-11,1,194,1746,3052,0.111111111111111,-42
"47",2020-06-18,1,150,1681,3117,0.0892325996430696,-35
"48",2020-06-25,1,193,1640,3158,0.117682926829268,-28
"49",2020-07-02,1,236,1586,3212,0.148802017654477,-21
"50",2020-07-09,1,120,1487,3311,0.0806993947545393,-14
"51",2020-07-16,1,108,1571,3227,0.0687460216422661,-7
"52",2020-07-23,1,125,1622,3176,0.0770653514180025,0
"53",2020-07-30,1,112,1647,3151,0.0680024286581664,7
"54",2020-08-06,1,185,1673,3125,0.110579796772265,14
"55",2020-08-13,1,127,1637,3161,0.0775809407452657,21
"56",2020-08-20,1,116,1665,3133,0.0696696696696697,28
"57",2020-08-27,1,115,1706,3092,0.0674091441969519,35
"58",2020-09-03,1,160,1739,3059,0.0920069005175388,42
"59",2020-09-10,1,98,1666,3132,0.0588235294117647,49
"60",2020-09-17,1,161,1719,3079,0.0936591041303083,56
"61",2020-09-24,1,113,1678,3120,0.067342073897497,63
"62",2020-10-01,1,154,1688,3110,0.0912322274881517,70
"63",2020-10-08,1,128,1643,3155,0.0779062690200852,77
"64",2020-10-15,1,151,1696,3102,0.0890330188679245,84
"65",2020-10-22,1,129,1661,3137,0.0776640577965081,91
"66",2020-10-29,1,182,1665,3133,0.109309309309309,98
"67",2020-11-05,1,183,1597,3201,0.114589855979962,105
"68",2020-11-12,1,182,1516,3282,0.120052770448549,112
"69",2020-11-19,1,125,1458,3340,0.0857338820301783,119
"70",2020-11-26,1,137,1438,3360,0.0952712100139082,126
