"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-04-02,0,569,4351,7676,0.130774534589749,-112
"2",2020-04-09,0,307,4431,7596,0.0692845858722636,-105
"3",2020-04-16,0,396,4964,7064,0.0797743755036261,-98
"4",2020-04-23,0,380,4997,7031,0.0760456273764259,-91
"5",2020-04-30,0,390,5008,7020,0.0778753993610224,-84
"6",2020-05-07,0,487,4930,7097,0.0987829614604463,-77
"7",2020-05-14,0,388,5018,7009,0.0773216420884815,-70
"8",2020-05-21,0,294,4908,7119,0.0599022004889976,-63
"9",2020-05-28,0,380,4950,7077,0.0767676767676768,-56
"10",2020-06-04,0,585,4836,7191,0.120967741935484,-49
"11",2020-06-11,0,502,4535,7492,0.110694597574421,-42
"12",2020-06-18,0,393,4365,7662,0.0900343642611684,-35
"13",2020-06-25,0,588,4262,7765,0.137963397465978,-28
"14",2020-07-02,0,669,4012,8015,0.166749750747757,-21
"15",2020-07-09,0,267,3716,8311,0.0718514531754575,-14
"16",2020-07-16,0,300,4010,8017,0.0748129675810474,-7
"17",2020-07-23,0,283,4166,7861,0.0679308689390302,0
"18",2020-07-30,0,239,4236,7791,0.0564211520302172,7
"19",2020-08-06,0,426,4293,7734,0.0992313067784766,14
"20",2020-08-13,0,283,4207,7820,0.0672688376515332,21
"21",2020-08-20,0,256,4333,7694,0.0590814678052158,28
"22",2020-08-27,0,257,4455,7572,0.0576879910213244,35
"23",2020-09-03,0,373,4544,7483,0.0820862676056338,42
"24",2020-09-10,0,244,4385,7642,0.0556442417331813,49
"25",2020-09-17,0,339,4531,7496,0.0748179209887442,56
"26",2020-09-24,0,254,4424,7603,0.0574141048824593,63
"27",2020-10-01,0,421,4518,7509,0.0931828242585215,70
"28",2020-10-08,0,273,4352,7675,0.0627297794117647,77
"29",2020-10-15,0,317,4590,7437,0.0690631808278867,84
"30",2020-10-22,0,306,4552,7475,0.0672231985940246,91
"31",2020-10-29,0,445,4591,7436,0.0969287736876498,98
"32",2020-11-05,0,445,4405,7622,0.101021566401816,105
"33",2020-11-12,0,393,4245,7782,0.0925795053003534,112
"34",2020-11-19,0,322,4172,7855,0.0771812080536913,119
"35",2020-11-26,0,327,4120,7907,0.079368932038835,126
"36",2020-04-02,1,479,4339,7686,0.110394100023047,-112
"37",2020-04-09,1,318,4509,7516,0.0705256154357951,-105
"38",2020-04-16,1,421,4988,7037,0.0844025661587811,-98
"39",2020-04-23,1,374,5006,7019,0.0747103475829005,-91
"40",2020-04-30,1,384,4989,7036,0.0769693325315695,-84
"41",2020-05-07,1,433,4911,7114,0.088169415597638,-77
"42",2020-05-14,1,409,5051,6974,0.0809740645416749,-70
"43",2020-05-21,1,313,4924,7101,0.0635662063363119,-63
"44",2020-05-28,1,356,4895,7130,0.0727272727272727,-56
"45",2020-06-04,1,550,4821,7204,0.114084214893176,-49
"46",2020-06-11,1,533,4545,7480,0.117271727172717,-42
"47",2020-06-18,1,389,4311,7714,0.0902342843887729,-35
"48",2020-06-25,1,487,4203,7822,0.115869616940281,-28
"49",2020-07-02,1,579,4059,7966,0.142645971914265,-21
"50",2020-07-09,1,322,3865,8160,0.0833117723156533,-14
"51",2020-07-16,1,294,4051,7974,0.0725746729202666,-7
"52",2020-07-23,1,296,4162,7863,0.071119654012494,0
"53",2020-07-30,1,312,4189,7836,0.0744807830031034,7
"54",2020-08-06,1,432,4214,7811,0.102515424774561,14
"55",2020-08-13,1,278,4127,7898,0.0673612793796947,21
"56",2020-08-20,1,337,4301,7724,0.0783538711927459,28
"57",2020-08-27,1,286,4333,7692,0.0660050773136395,35
"58",2020-09-03,1,355,4426,7599,0.0802078626299141,42
"59",2020-09-10,1,259,4311,7714,0.0600788680120622,49
"60",2020-09-17,1,391,4430,7595,0.0882618510158013,56
"61",2020-09-24,1,270,4301,7724,0.0627760985817252,63
"62",2020-10-01,1,468,4380,7645,0.106849315068493,70
"63",2020-10-08,1,261,4155,7870,0.0628158844765343,77
"64",2020-10-15,1,359,4323,7703,0.0830441822808235,84
"65",2020-10-22,1,341,4242,7784,0.0803866100895804,91
"66",2020-10-29,1,436,4266,7760,0.102203469292077,98
"67",2020-11-05,1,436,4073,7953,0.107046403142647,105
"68",2020-11-12,1,394,3906,8120,0.100870455709165,112
"69",2020-11-19,1,341,3837,8189,0.0888715142038051,119
"70",2020-11-26,1,355,3772,8254,0.0941145281018028,126
