"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-04-02,0,425,1766,3033,0.140125288493241,-112
"2",2020-04-09,0,499,2059,2740,0.182116788321168,-105
"3",2020-04-16,0,328,2465,2334,0.140531276778063,-98
"4",2020-04-23,0,224,2679,2120,0.105660377358491,-91
"5",2020-04-30,0,169,2776,2023,0.08353929807217,-84
"6",2020-05-07,0,202,2801,1998,0.101101101101101,-77
"7",2020-05-14,0,148,2836,1963,0.0753948038716251,-70
"8",2020-05-21,0,152,2853,1946,0.0781089414182939,-63
"9",2020-05-28,0,147,2879,1920,0.0765625,-56
"10",2020-06-04,0,108,2852,1947,0.0554699537750385,-49
"11",2020-06-11,0,155,2764,2035,0.0761670761670762,-42
"12",2020-06-18,0,123,2757,2042,0.0602350636630754,-35
"13",2020-06-25,0,136,2737,2062,0.0659553831231814,-28
"14",2020-07-02,0,123,2650,2149,0.0572359236854351,-21
"15",2020-07-09,0,204,2582,2217,0.0920162381596752,-14
"16",2020-07-16,0,203,2673,2126,0.0954844778927564,-7
"17",2020-07-23,0,167,2749,2050,0.0814634146341463,0
"18",2020-07-30,0,191,2799,2000,0.0955,7
"19",2020-08-06,0,138,2888,1911,0.0722135007849294,14
"20",2020-08-13,0,162,2869,1930,0.0839378238341969,21
"21",2020-08-20,0,187,2943,1856,0.100754310344828,28
"22",2020-08-27,0,147,3012,1787,0.0822607722439843,35
"23",2020-09-03,0,87,3049,1750,0.0497142857142857,42
"24",2020-09-10,0,116,3006,1793,0.0646960401561629,49
"25",2020-09-17,0,85,3023,1776,0.0478603603603604,56
"26",2020-09-24,0,115,3000,1799,0.0639244024458032,63
"27",2020-10-01,0,84,2973,1826,0.0460021905805038,70
"28",2020-10-08,0,127,2876,1923,0.0660426417056682,77
"29",2020-10-15,0,79,2852,1947,0.0405752439650745,84
"30",2020-10-22,0,88,2777,2022,0.0435212660731949,91
"31",2020-10-29,0,79,2712,2087,0.0378533780546239,98
"32",2020-11-05,0,87,2571,2228,0.039048473967684,105
"33",2020-11-12,0,103,2475,2324,0.0443201376936317,112
"34",2020-11-19,0,98,2383,2416,0.0405629139072848,119
"35",2020-11-26,0,110,2325,2474,0.0444624090541633,126
"36",2020-04-02,1,301,1642,3156,0.0953738910012674,-112
"37",2020-04-09,1,331,1741,3057,0.108276087667648,-105
"38",2020-04-16,1,211,1940,2858,0.0738278516445066,-98
"39",2020-04-23,1,162,1990,2808,0.0576923076923077,-91
"40",2020-04-30,1,120,1973,2824,0.0424929178470255,-84
"41",2020-05-07,1,209,1930,2867,0.0728985001743983,-77
"42",2020-05-14,1,133,1960,2837,0.0468805075784279,-70
"43",2020-05-21,1,125,1948,2849,0.0438750438750439,-63
"44",2020-05-28,1,109,1939,2859,0.0381252186079049,-56
"45",2020-06-04,1,75,1873,2925,0.0256410256410256,-49
"46",2020-06-11,1,129,1746,3052,0.0422673656618611,-42
"47",2020-06-18,1,109,1681,3117,0.0349695219762592,-35
"48",2020-06-25,1,139,1640,3158,0.0440151994933502,-28
"49",2020-07-02,1,137,1586,3212,0.0426525529265255,-21
"50",2020-07-09,1,204,1487,3311,0.0616128057988523,-14
"51",2020-07-16,1,159,1571,3227,0.0492717694453052,-7
"52",2020-07-23,1,150,1622,3176,0.0472292191435768,0
"53",2020-07-30,1,138,1647,3151,0.0437956204379562,7
"54",2020-08-06,1,149,1673,3125,0.04768,14
"55",2020-08-13,1,155,1637,3161,0.049035115469788,21
"56",2020-08-20,1,157,1665,3133,0.050111714012129,28
"57",2020-08-27,1,148,1706,3092,0.0478654592496766,35
"58",2020-09-03,1,87,1739,3059,0.0284406668846028,42
"59",2020-09-10,1,151,1666,3132,0.0482120051085568,49
"60",2020-09-17,1,120,1719,3079,0.0389736927573888,56
"61",2020-09-24,1,123,1678,3120,0.0394230769230769,63
"62",2020-10-01,1,109,1688,3110,0.035048231511254,70
"63",2020-10-08,1,181,1643,3155,0.0573692551505547,77
"64",2020-10-15,1,116,1696,3102,0.0373952288845906,84
"65",2020-10-22,1,133,1661,3137,0.0423971947720752,91
"66",2020-10-29,1,114,1665,3133,0.036386849664858,98
"67",2020-11-05,1,102,1597,3201,0.0318650421743205,105
"68",2020-11-12,1,124,1516,3282,0.0377818403412553,112
"69",2020-11-19,1,105,1458,3340,0.031437125748503,119
"70",2020-11-26,1,121,1438,3360,0.0360119047619048,126
