"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-04-02,0,649,4351,7676,0.084549244398124,-112
"2",2020-04-09,0,840,4431,7596,0.110584518167457,-105
"3",2020-04-16,0,429,4964,7064,0.0607304643261608,-98
"4",2020-04-23,0,391,4997,7031,0.0556108661641303,-91
"5",2020-04-30,0,312,5008,7020,0.0444444444444444,-84
"6",2020-05-07,0,575,4930,7097,0.081020149358884,-77
"7",2020-05-14,0,278,5018,7009,0.0396632900556427,-70
"8",2020-05-21,0,336,4908,7119,0.0471976401179941,-63
"9",2020-05-28,0,266,4950,7077,0.0375865479723047,-56
"10",2020-06-04,0,284,4836,7191,0.0394938117090808,-49
"11",2020-06-11,0,332,4535,7492,0.0443139348638548,-42
"12",2020-06-18,0,290,4365,7662,0.0378491255546855,-35
"13",2020-06-25,0,338,4262,7765,0.0435286542176433,-28
"14",2020-07-02,0,373,4012,8015,0.0465377417342483,-21
"15",2020-07-09,0,561,3716,8311,0.0675009024184815,-14
"16",2020-07-16,0,456,4010,8017,0.0568791318448297,-7
"17",2020-07-23,0,353,4166,7861,0.0449052283424501,0
"18",2020-07-30,0,296,4236,7791,0.0379925555127711,7
"19",2020-08-06,0,340,4293,7734,0.0439617274372899,14
"20",2020-08-13,0,409,4207,7820,0.0523017902813299,21
"21",2020-08-20,0,378,4333,7694,0.0491291915778529,28
"22",2020-08-27,0,346,4455,7572,0.0456946645536186,35
"23",2020-09-03,0,214,4544,7483,0.0285981558198583,42
"24",2020-09-10,0,390,4385,7642,0.0510337607956032,49
"25",2020-09-17,0,232,4531,7496,0.0309498399146211,56
"26",2020-09-24,0,348,4424,7603,0.0457714060239379,63
"27",2020-10-01,0,255,4518,7509,0.0339592489013184,70
"28",2020-10-08,0,511,4352,7675,0.0665798045602606,77
"29",2020-10-15,0,279,4590,7437,0.0375151270673659,84
"30",2020-10-22,0,345,4552,7475,0.0461538461538462,91
"31",2020-10-29,0,259,4591,7436,0.0348305540613233,98
"32",2020-11-05,0,285,4405,7622,0.0373917606927316,105
"33",2020-11-12,0,320,4245,7782,0.0411205345669494,112
"34",2020-11-19,0,270,4172,7855,0.034373010821133,119
"35",2020-11-26,0,264,4120,7907,0.0333881370937144,126
"36",2020-04-02,1,649,4339,7686,0.0844392401769451,-112
"37",2020-04-09,1,797,4509,7516,0.106040447046301,-105
"38",2020-04-16,1,439,4988,7037,0.062384538865994,-98
"39",2020-04-23,1,357,5006,7019,0.0508619461461747,-91
"40",2020-04-30,1,306,4989,7036,0.0434906196702672,-84
"41",2020-05-07,1,573,4911,7114,0.0805454034298566,-77
"42",2020-05-14,1,282,5051,6974,0.0404359047892171,-70
"43",2020-05-21,1,284,4924,7101,0.0399943669905647,-63
"44",2020-05-28,1,282,4895,7130,0.0395511921458626,-56
"45",2020-06-04,1,274,4821,7204,0.0380344253192671,-49
"46",2020-06-11,1,299,4545,7480,0.0399732620320856,-42
"47",2020-06-18,1,281,4311,7714,0.0364272750842624,-35
"48",2020-06-25,1,343,4203,7822,0.0438506775760675,-28
"49",2020-07-02,1,385,4059,7966,0.0483304042179262,-21
"50",2020-07-09,1,508,3865,8160,0.0622549019607843,-14
"51",2020-07-16,1,405,4051,7974,0.0507900677200903,-7
"52",2020-07-23,1,323,4162,7863,0.0410784687778202,0
"53",2020-07-30,1,337,4189,7836,0.0430066360387953,7
"54",2020-08-06,1,345,4214,7811,0.0441684803482269,14
"55",2020-08-13,1,452,4127,7898,0.0572296783995948,21
"56",2020-08-20,1,369,4301,7724,0.0477731745209736,28
"57",2020-08-27,1,379,4333,7692,0.0492719708788352,35
"58",2020-09-03,1,240,4426,7599,0.0315831030398737,42
"59",2020-09-10,1,378,4311,7714,0.0490018148820327,49
"60",2020-09-17,1,262,4430,7595,0.03449637919684,56
"61",2020-09-24,1,349,4301,7724,0.0451838425686173,63
"62",2020-10-01,1,243,4380,7645,0.031785480706344,70
"63",2020-10-08,1,429,4155,7870,0.0545108005082592,77
"64",2020-10-15,1,278,4323,7703,0.0360898351291705,84
"65",2020-10-22,1,365,4242,7784,0.0468910585817061,91
"66",2020-10-29,1,243,4266,7760,0.0313144329896907,98
"67",2020-11-05,1,269,4073,7953,0.0338237143216396,105
"68",2020-11-12,1,325,3906,8120,0.0400246305418719,112
"69",2020-11-19,1,276,3837,8189,0.0337037489314935,119
"70",2020-11-26,1,271,3772,8254,0.0328325660285922,126
