"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-01-16,0,128,1884,2915,0.0439108061749571,-63
"2",2020-01-23,0,114,1721,3078,0.037037037037037,-56
"3",2020-01-30,0,129,1649,3150,0.040952380952381,-49
"4",2020-02-06,0,147,1639,3160,0.0465189873417722,-42
"5",2020-02-13,0,161,1577,3222,0.0499689633767846,-35
"6",2020-02-20,0,159,1604,3195,0.0497652582159624,-28
"7",2020-02-27,0,177,1595,3204,0.0552434456928839,-21
"8",2020-03-05,0,165,1609,3190,0.0517241379310345,-14
"9",2020-03-12,0,182,1600,3199,0.0568927789934354,-7
"10",2020-03-19,0,172,1629,3170,0.0542586750788644,0
"11",2020-03-26,0,233,1662,3137,0.0742747848262671,7
"12",2020-04-02,0,425,1766,3033,0.140125288493241,14
"13",2020-04-09,0,499,2059,2740,0.182116788321168,21
"14",2020-04-16,0,328,2465,2334,0.140531276778063,28
"15",2020-04-23,0,224,2679,2120,0.105660377358491,35
"16",2020-04-30,0,169,2776,2023,0.08353929807217,42
"17",2020-05-07,0,202,2801,1998,0.101101101101101,49
"18",2020-05-14,0,148,2836,1963,0.0753948038716251,56
"19",2020-05-21,0,152,2853,1946,0.0781089414182939,63
"20",2020-05-28,0,147,2879,1920,0.0765625,70
"21",2020-06-04,0,108,2852,1947,0.0554699537750385,77
"22",2020-06-11,0,155,2764,2035,0.0761670761670762,84
"23",2020-06-18,0,123,2757,2042,0.0602350636630754,91
"24",2020-06-25,0,136,2737,2062,0.0659553831231814,98
"25",2020-07-02,0,123,2650,2149,0.0572359236854351,105
"26",2020-07-09,0,204,2582,2217,0.0920162381596752,112
"27",2020-07-16,0,203,2673,2126,0.0954844778927564,119
"28",2020-01-16,1,128,2251,2546,0.0502749410840534,-63
"29",2020-01-23,1,121,2029,2769,0.0436980859516071,-56
"30",2020-01-30,1,134,1872,2926,0.0457963089542037,-49
"31",2020-02-06,1,146,1808,2990,0.0488294314381271,-42
"32",2020-02-13,1,172,1723,3075,0.0559349593495935,-35
"33",2020-02-20,1,130,1706,3091,0.0420575865415723,-28
"34",2020-02-27,1,152,1658,3139,0.0484230646702772,-21
"35",2020-03-05,1,131,1672,3125,0.04192,-14
"36",2020-03-12,1,171,1587,3211,0.0532544378698225,-7
"37",2020-03-19,1,160,1586,3212,0.049813200498132,0
"38",2020-03-26,1,224,1595,3203,0.0699344364658133,7
"39",2020-04-02,1,301,1642,3156,0.0953738910012674,14
"40",2020-04-09,1,331,1741,3057,0.108276087667648,21
"41",2020-04-16,1,211,1940,2858,0.0738278516445066,28
"42",2020-04-23,1,162,1990,2808,0.0576923076923077,35
"43",2020-04-30,1,120,1973,2824,0.0424929178470255,42
"44",2020-05-07,1,209,1930,2867,0.0728985001743983,49
"45",2020-05-14,1,133,1960,2837,0.0468805075784279,56
"46",2020-05-21,1,125,1948,2849,0.0438750438750439,63
"47",2020-05-28,1,109,1939,2859,0.0381252186079049,70
"48",2020-06-04,1,75,1873,2925,0.0256410256410256,77
"49",2020-06-11,1,129,1746,3052,0.0422673656618611,84
"50",2020-06-18,1,109,1681,3117,0.0349695219762592,91
"51",2020-06-25,1,139,1640,3158,0.0440151994933502,98
"52",2020-07-02,1,137,1586,3212,0.0426525529265255,105
"53",2020-07-09,1,204,1487,3311,0.0616128057988523,112
"54",2020-07-16,1,159,1571,3227,0.0492717694453052,119
