"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-01-16,0,332,5738,6290,0.0527821939586645,-63
"2",2020-01-23,0,363,5123,6905,0.0525706010137581,-56
"3",2020-01-30,0,378,4787,7241,0.0522027344289463,-49
"4",2020-02-06,0,331,4680,7348,0.0450462710941753,-42
"5",2020-02-13,0,503,4365,7663,0.0656400887380921,-35
"6",2020-02-20,0,429,4489,7539,0.0569040986868285,-28
"7",2020-02-27,0,378,4422,7606,0.0496976071522482,-21
"8",2020-03-05,0,384,4375,7653,0.0501764014112113,-14
"9",2020-03-12,0,570,4160,7867,0.0724545570102962,-7
"10",2020-03-19,0,332,4297,7730,0.0429495472186287,0
"11",2020-03-26,0,528,4242,7785,0.0678227360308285,7
"12",2020-04-02,0,649,4351,7676,0.084549244398124,14
"13",2020-04-09,0,840,4431,7596,0.110584518167457,21
"14",2020-04-16,0,429,4964,7064,0.0607304643261608,28
"15",2020-04-23,0,391,4997,7031,0.0556108661641303,35
"16",2020-04-30,0,312,5008,7020,0.0444444444444444,42
"17",2020-05-07,0,575,4930,7097,0.081020149358884,49
"18",2020-05-14,0,278,5018,7009,0.0396632900556427,56
"19",2020-05-21,0,336,4908,7119,0.0471976401179941,63
"20",2020-05-28,0,266,4950,7077,0.0375865479723047,70
"21",2020-06-04,0,284,4836,7191,0.0394938117090808,77
"22",2020-06-11,0,332,4535,7492,0.0443139348638548,84
"23",2020-06-18,0,290,4365,7662,0.0378491255546855,91
"24",2020-06-25,0,338,4262,7765,0.0435286542176433,98
"25",2020-07-02,0,373,4012,8015,0.0465377417342483,105
"26",2020-07-09,0,561,3716,8311,0.0675009024184815,112
"27",2020-07-16,0,456,4010,8017,0.0568791318448297,119
"28",2020-01-16,1,285,5794,6231,0.045739046701974,-63
"29",2020-01-23,1,334,5204,6820,0.0489736070381232,-56
"30",2020-01-30,1,376,4908,7116,0.0528386734120292,-49
"31",2020-02-06,1,345,4797,7227,0.0477376504773765,-42
"32",2020-02-13,1,437,4483,7541,0.057949874022013,-35
"33",2020-02-20,1,368,4508,7517,0.0489557004123986,-28
"34",2020-02-27,1,364,4339,7686,0.0473588342440801,-21
"35",2020-03-05,1,344,4311,7714,0.0445942442312678,-14
"36",2020-03-12,1,540,4131,7894,0.0684063845958956,-7
"37",2020-03-19,1,345,4256,7769,0.0444072596215729,0
"38",2020-03-26,1,551,4173,7852,0.0701732042791645,7
"39",2020-04-02,1,649,4339,7686,0.0844392401769451,14
"40",2020-04-09,1,797,4509,7516,0.106040447046301,21
"41",2020-04-16,1,439,4988,7037,0.062384538865994,28
"42",2020-04-23,1,357,5006,7019,0.0508619461461747,35
"43",2020-04-30,1,306,4989,7036,0.0434906196702672,42
"44",2020-05-07,1,573,4911,7114,0.0805454034298566,49
"45",2020-05-14,1,282,5051,6974,0.0404359047892171,56
"46",2020-05-21,1,284,4924,7101,0.0399943669905647,63
"47",2020-05-28,1,282,4895,7130,0.0395511921458626,70
"48",2020-06-04,1,274,4821,7204,0.0380344253192671,77
"49",2020-06-11,1,299,4545,7480,0.0399732620320856,84
"50",2020-06-18,1,281,4311,7714,0.0364272750842624,91
"51",2020-06-25,1,343,4203,7822,0.0438506775760675,98
"52",2020-07-02,1,385,4059,7966,0.0483304042179262,105
"53",2020-07-09,1,508,3865,8160,0.0622549019607843,112
"54",2020-07-16,1,405,4051,7974,0.0507900677200903,119
