"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-01-16,0,879,7955,9815,0.110496543054683,-63
"2",2020-01-23,0,635,7502,10269,0.0846440949080245,-56
"3",2020-01-30,0,580,7320,10453,0.0792349726775956,-49
"4",2020-02-06,0,633,7217,10556,0.0877095746154912,-42
"5",2020-02-13,0,565,7127,10646,0.0792759927038024,-35
"6",2020-02-20,0,589,7146,10627,0.0824237335572348,-28
"7",2020-02-27,0,539,7070,10702,0.0762376237623762,-21
"8",2020-03-05,0,610,7027,10745,0.0868080261847161,-14
"9",2020-03-12,0,540,6985,10787,0.0773085182534001,-7
"10",2020-03-19,0,506,7114,10657,0.0711273545122294,0
"11",2020-03-26,0,428,7179,10592,0.0596183312439058,7
"12",2020-04-02,0,396,7600,10171,0.0521052631578947,14
"13",2020-04-09,0,326,8687,9085,0.0375273397030045,21
"14",2020-04-16,0,413,9925,7846,0.0416120906801008,28
"15",2020-04-23,0,481,10684,7087,0.0450205915387495,35
"16",2020-04-30,0,493,10958,6813,0.0449899616718379,42
"17",2020-05-07,0,514,11048,6723,0.0465242577842143,49
"18",2020-05-14,0,485,11175,6596,0.0434004474272931,56
"19",2020-05-21,0,452,11167,6603,0.0404764036894421,63
"20",2020-05-28,0,526,11230,6540,0.0468388245770258,70
"21",2020-06-04,0,777,11119,6651,0.069880384926702,77
"22",2020-06-11,0,594,10740,7031,0.0553072625698324,84
"23",2020-06-18,0,548,10575,7196,0.0518203309692671,91
"24",2020-06-25,0,639,10457,7314,0.0611073921774888,98
"25",2020-07-02,0,804,10267,7504,0.0783091458069543,105
"26",2020-07-09,0,498,9951,7820,0.0500452215857703,112
"27",2020-07-16,0,514,10050,7721,0.0511442786069652,119
"28",2020-01-16,1,1180,8674,9095,0.13603873645377,-63
"29",2020-01-23,1,696,7869,9899,0.0884483415935951,-56
"30",2020-01-30,1,615,7639,10129,0.0805079198848017,-49
"31",2020-02-06,1,807,7490,10278,0.107743658210948,-42
"32",2020-02-13,1,623,7227,10541,0.0862045108620451,-35
"33",2020-02-20,1,667,7157,10612,0.0931954729635322,-28
"34",2020-02-27,1,640,7030,10739,0.0910384068278805,-21
"35",2020-03-05,1,760,6927,10842,0.10971560560127,-14
"36",2020-03-12,1,568,6657,11113,0.08532371939312,-7
"37",2020-03-19,1,554,6690,11080,0.0828101644245142,0
"38",2020-03-26,1,577,6618,11152,0.0871864611665156,7
"39",2020-04-02,1,604,6684,11085,0.0903650508677439,14
"40",2020-04-09,1,460,7097,10672,0.0648161194871072,21
"41",2020-04-16,1,468,7763,10007,0.0602859719180729,28
"42",2020-04-23,1,567,8033,9737,0.0705838416531806,35
"43",2020-04-30,1,592,8059,9712,0.0734582454398809,42
"44",2020-05-07,1,671,7907,9864,0.0848615151131908,49
"45",2020-05-14,1,586,7802,9970,0.0751089464239938,56
"46",2020-05-21,1,493,7630,10142,0.0646133682830931,63
"47",2020-05-28,1,570,7552,10220,0.0754766949152542,70
"48",2020-06-04,1,810,7432,10340,0.108988159311087,77
"49",2020-06-11,1,516,6984,10788,0.0738831615120275,84
"50",2020-06-18,1,595,6878,10894,0.0865077057284094,91
"51",2020-06-25,1,714,6670,11101,0.107046476761619,98
"52",2020-07-02,1,948,6468,11302,0.146567717996289,105
"53",2020-07-09,1,490,5988,11783,0.0818303273213093,112
"54",2020-07-16,1,502,6080,11690,0.0825657894736842,119
