"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-04-02,0,1483,7600,10171,0.145806705338708,-112
"2",2020-04-09,0,1564,8687,9085,0.172151898734177,-105
"3",2020-04-16,0,1172,9925,7846,0.149375477950548,-98
"4",2020-04-23,0,755,10684,7087,0.106533088754057,-91
"5",2020-04-30,0,583,10958,6813,0.0855717011595479,-84
"6",2020-05-07,0,641,11048,6723,0.09534434032426,-77
"7",2020-05-14,0,478,11175,6596,0.0724681625227411,-70
"8",2020-05-21,0,515,11167,6603,0.0779948508253824,-63
"9",2020-05-28,0,415,11230,6540,0.0634556574923547,-56
"10",2020-06-04,0,398,11119,6651,0.0598406254698542,-49
"11",2020-06-11,0,429,10740,7031,0.0610155027734319,-42
"12",2020-06-18,0,430,10575,7196,0.0597554196775987,-35
"13",2020-06-25,0,449,10457,7314,0.0613891167623735,-28
"14",2020-07-02,0,488,10267,7504,0.0650319829424307,-21
"15",2020-07-09,0,597,9951,7820,0.0763427109974425,-14
"16",2020-07-16,0,531,10050,7721,0.0687734749384795,-7
"17",2020-07-23,0,431,10067,7705,0.0559377027903958,0
"18",2020-07-30,0,435,9934,7838,0.0554988517478949,7
"19",2020-08-06,0,454,9797,7975,0.0569278996865204,14
"20",2020-08-13,0,501,9660,8112,0.0617603550295858,21
"21",2020-08-20,0,404,9703,8070,0.0500619578686493,28
"22",2020-08-27,0,465,9551,8222,0.0565555825833131,35
"23",2020-09-03,0,418,9441,8332,0.0501680268843015,42
"24",2020-09-10,0,464,9286,8486,0.0546782936601461,49
"25",2020-09-17,0,406,9238,8535,0.047568834212068,56
"26",2020-09-24,0,389,9068,8705,0.0446869615163699,63
"27",2020-10-01,0,427,8925,8847,0.0482649485701368,70
"28",2020-10-08,0,570,8738,9033,0.0631019594818997,77
"29",2020-10-15,0,437,8752,9020,0.0484478935698448,84
"30",2020-10-22,0,460,8554,9219,0.0498969519470658,91
"31",2020-10-29,0,389,8361,9412,0.0413302167445814,98
"32",2020-11-05,0,456,8126,9646,0.0472734812357454,105
"33",2020-11-12,0,395,7985,9786,0.0403637849989781,112
"34",2020-11-19,0,413,7730,10041,0.0411313614181854,119
"35",2020-11-26,0,448,7561,10210,0.0438785504407444,126
"36",2020-04-02,1,1017,6684,11085,0.091745602165088,-112
"37",2020-04-09,1,1126,7097,10672,0.105509745127436,-105
"38",2020-04-16,1,738,7763,10007,0.0737483761367043,-98
"39",2020-04-23,1,592,8033,9737,0.0607990140700421,-91
"40",2020-04-30,1,440,8059,9712,0.0453047775947282,-84
"41",2020-05-07,1,565,7907,9864,0.0572789943227899,-77
"42",2020-05-14,1,414,7802,9970,0.0415245737211635,-70
"43",2020-05-21,1,415,7630,10142,0.0409189508972589,-63
"44",2020-05-28,1,450,7552,10220,0.0440313111545988,-56
"45",2020-06-04,1,362,7432,10340,0.0350096711798839,-49
"46",2020-06-11,1,410,6984,10788,0.0380051909529106,-42
"47",2020-06-18,1,387,6878,10894,0.0355241417293923,-35
"48",2020-06-25,1,512,6670,11101,0.0461219709936042,-28
"49",2020-07-02,1,468,6468,11302,0.0414086002477438,-21
"50",2020-07-09,1,582,5988,11783,0.0493931935839769,-14
"51",2020-07-16,1,481,6080,11690,0.0411462788708298,-7
"52",2020-07-23,1,430,6059,11711,0.0367176159166595,0
"53",2020-07-30,1,425,6026,11745,0.0361856108982546,7
"54",2020-08-06,1,429,5943,11828,0.0362698681095705,14
"55",2020-08-13,1,543,5747,12024,0.0451596806387226,21
"56",2020-08-20,1,397,5825,11946,0.0332328812991796,28
"57",2020-08-27,1,401,5716,12054,0.0332669653227145,35
"58",2020-09-03,1,397,5631,12140,0.0327018121911038,42
"59",2020-09-10,1,497,5475,12297,0.0404163617142392,49
"60",2020-09-17,1,395,5463,12310,0.0320877335499594,56
"61",2020-09-24,1,394,5396,12377,0.0318332390724731,63
"62",2020-10-01,1,463,5330,12442,0.0372126667738306,70
"63",2020-10-08,1,646,5206,12565,0.0514126541981695,77
"64",2020-10-15,1,448,5381,12389,0.0361611106626846,84
"65",2020-10-22,1,429,5306,12464,0.0344191270860077,91
"66",2020-10-29,1,455,5145,12625,0.036039603960396,98
"67",2020-11-05,1,570,5101,12669,0.0449917120530429,105
"68",2020-11-12,1,438,5060,12710,0.0344610542879622,112
"69",2020-11-19,1,438,4897,12873,0.0340247028664647,119
"70",2020-11-26,1,478,4861,12909,0.0370284297776745,126
