"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-01-16,0,426,7955,9815,0.0434029546612328,-63
"2",2020-01-23,0,453,7502,10269,0.0441133508618171,-56
"3",2020-01-30,0,477,7320,10453,0.0456328326796135,-49
"4",2020-02-06,0,543,7217,10556,0.0514399393709739,-42
"5",2020-02-13,0,584,7127,10646,0.0548562840503476,-35
"6",2020-02-20,0,514,7146,10627,0.0483673661428437,-28
"7",2020-02-27,0,496,7070,10702,0.0463464772939637,-21
"8",2020-03-05,0,568,7027,10745,0.0528617961842718,-14
"9",2020-03-12,0,670,6985,10787,0.062111801242236,-7
"10",2020-03-19,0,571,7114,10657,0.0535798066998217,0
"11",2020-03-26,0,849,7179,10592,0.080154833836858,7
"12",2020-04-02,0,1483,7600,10171,0.145806705338708,14
"13",2020-04-09,0,1564,8687,9085,0.172151898734177,21
"14",2020-04-16,0,1172,9925,7846,0.149375477950548,28
"15",2020-04-23,0,755,10684,7087,0.106533088754057,35
"16",2020-04-30,0,583,10958,6813,0.0855717011595479,42
"17",2020-05-07,0,641,11048,6723,0.09534434032426,49
"18",2020-05-14,0,478,11175,6596,0.0724681625227411,56
"19",2020-05-21,0,515,11167,6603,0.0779948508253824,63
"20",2020-05-28,0,415,11230,6540,0.0634556574923547,70
"21",2020-06-04,0,398,11119,6651,0.0598406254698542,77
"22",2020-06-11,0,429,10740,7031,0.0610155027734319,84
"23",2020-06-18,0,430,10575,7196,0.0597554196775987,91
"24",2020-06-25,0,449,10457,7314,0.0613891167623735,98
"25",2020-07-02,0,488,10267,7504,0.0650319829424307,105
"26",2020-07-09,0,597,9951,7820,0.0763427109974425,112
"27",2020-07-16,0,531,10050,7721,0.0687734749384795,119
"28",2020-01-16,1,375,8674,9095,0.0412314458493678,-63
"29",2020-01-23,1,466,7869,9899,0.0470754621678957,-56
"30",2020-01-30,1,466,7639,10129,0.0460065159443183,-49
"31",2020-02-06,1,544,7490,10278,0.0529285853278848,-42
"32",2020-02-13,1,552,7227,10541,0.0523669481073902,-35
"33",2020-02-20,1,540,7157,10612,0.0508857896720694,-28
"34",2020-02-27,1,537,7030,10739,0.0500046559269951,-21
"35",2020-03-05,1,490,6927,10842,0.0451946135399373,-14
"36",2020-03-12,1,601,6657,11113,0.0540808062629353,-7
"37",2020-03-19,1,482,6690,11080,0.0435018050541516,0
"38",2020-03-26,1,643,6618,11152,0.0576578192252511,7
"39",2020-04-02,1,1017,6684,11085,0.091745602165088,14
"40",2020-04-09,1,1126,7097,10672,0.105509745127436,21
"41",2020-04-16,1,738,7763,10007,0.0737483761367043,28
"42",2020-04-23,1,592,8033,9737,0.0607990140700421,35
"43",2020-04-30,1,440,8059,9712,0.0453047775947282,42
"44",2020-05-07,1,565,7907,9864,0.0572789943227899,49
"45",2020-05-14,1,414,7802,9970,0.0415245737211635,56
"46",2020-05-21,1,415,7630,10142,0.0409189508972589,63
"47",2020-05-28,1,450,7552,10220,0.0440313111545988,70
"48",2020-06-04,1,362,7432,10340,0.0350096711798839,77
"49",2020-06-11,1,410,6984,10788,0.0380051909529106,84
"50",2020-06-18,1,387,6878,10894,0.0355241417293923,91
"51",2020-06-25,1,512,6670,11101,0.0461219709936042,98
"52",2020-07-02,1,468,6468,11302,0.0414086002477438,105
"53",2020-07-09,1,582,5988,11783,0.0493931935839769,112
"54",2020-07-16,1,481,6080,11690,0.0411462788708298,119
