"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-01-16,1,971,22942,22434,0.0432825176072033,-63
"2",2020-01-23,1,1076,21050,24327,0.0442306901796358,-56
"3",2020-01-30,1,1142,20250,25127,0.0454491184781311,-49
"4",2020-02-06,1,1200,19831,25546,0.0469740859625773,-42
"5",2020-02-13,1,1440,18963,26414,0.0545165442568335,-35
"6",2020-02-20,1,1182,18886,26490,0.0446206115515289,-28
"7",2020-02-27,1,1344,18507,26869,0.0500204696862555,-21
"8",2020-03-05,1,1182,18518,26858,0.0440092337478591,-14
"9",2020-03-12,1,1475,17545,27829,0.0530022638255058,-7
"10",2020-03-19,1,1242,17633,27741,0.0447712771709744,0
"11",2020-03-26,1,1659,17476,27898,0.0594666284321457,7
"12",2020-04-02,1,2382,17731,27644,0.0861669801765302,14
"13",2020-04-09,1,2896,18433,26942,0.107490164056121,21
"14",2020-04-16,1,1710,20212,25162,0.067959621651697,28
"15",2020-04-23,1,1306,20664,24710,0.052853095912586,35
"16",2020-04-30,1,1066,20676,24698,0.0431613895862013,42
"17",2020-05-07,1,1510,20353,25021,0.0603493065824707,49
"18",2020-05-14,1,1005,20220,25153,0.0399554725082495,56
"19",2020-05-21,1,1030,19890,25483,0.040419102931366,63
"20",2020-05-28,1,974,19745,25627,0.0380067897139735,70
"21",2020-06-04,1,874,19388,25984,0.0336360837438424,77
"22",2020-06-11,1,1090,18294,27078,0.0402540808036044,84
"23",2020-06-18,1,892,17981,27391,0.032565441203315,91
"24",2020-06-25,1,1214,17544,27829,0.0436235581587553,98
"25",2020-07-02,1,1186,16186,29188,0.0406331369055776,105
"26",2020-07-09,1,1605,14960,30413,0.0527734850228521,112
"27",2020-07-16,1,1217,15442,29932,0.0406588266737939,119
"28",2020-01-16,0,1064,22201,23187,0.0458877819467805,-63
"29",2020-01-23,0,1282,20240,25147,0.0509802362110789,-56
"30",2020-01-30,0,1152,19631,25756,0.0447274421494021,-49
"31",2020-02-06,0,1343,19158,26230,0.0512009149828441,-42
"32",2020-02-13,0,1567,18350,27038,0.0579554700791479,-35
"33",2020-02-20,0,1172,18395,26993,0.0434186640980995,-28
"34",2020-02-27,0,1468,18059,27329,0.0537158329979143,-21
"35",2020-03-05,0,1268,18244,27144,0.0467138225758915,-14
"36",2020-03-12,0,1653,17380,28008,0.059018851756641,-7
"37",2020-03-19,0,1227,17656,27732,0.0442449156209433,0
"38",2020-03-26,0,1843,17588,27799,0.0662973488254973,7
"39",2020-04-02,0,2317,18023,27365,0.0846701991595103,14
"40",2020-04-09,0,2913,18345,27042,0.107721322387397,21
"41",2020-04-16,0,1602,20100,25288,0.0633502056311294,28
"42",2020-04-23,0,1312,20457,24930,0.0526273565984757,35
"43",2020-04-30,0,947,20494,24893,0.038042823283654,42
"44",2020-05-07,0,1610,20052,25335,0.0635484507598184,49
"45",2020-05-14,0,880,19930,25458,0.0345667373713567,56
"46",2020-05-21,0,929,19505,25883,0.035892284511069,63
"47",2020-05-28,0,918,19314,26073,0.0352088367276493,70
"48",2020-06-04,0,943,19034,26353,0.0357834022691914,77
"49",2020-06-11,0,1105,17936,27451,0.0402535426760409,84
"50",2020-06-18,0,954,17783,27604,0.0345602086654108,91
"51",2020-06-25,0,1068,17409,27978,0.0381728500965044,98
"52",2020-07-02,0,1235,15673,29714,0.0415628996432658,105
"53",2020-07-09,0,1731,14518,30869,0.0560756746250283,112
"54",2020-07-16,0,1290,15139,30248,0.0426474477651415,119
