,industry,nz,result_data,matched_data,all_data
1,A,0,362,1221,60960
2,A,1,423,1343,1343
3,B,0,226,1269,38880
4,B,1,328,1341,1341
5,C,0,1519,5161,175433
6,C,1,1546,5295,5295
7,D,0,116,409,15168
8,D,1,163,495,495
9,E,0,1931,7134,242976
10,E,1,1937,6840,6840
11,F,0,921,3065,116039
12,F,1,936,3229,3229
13,G,0,1507,4960,273448
14,G,1,1385,5018,5018
15,H,0,2098,5799,282561
16,H,1,1753,5720,5720
17,I,0,905,2870,88135
18,I,1,934,3039,3039
19,J,0,163,523,29315
20,J,1,155,605,605
21,K,0,565,2846,109351
22,K,1,793,3033,3033
23,L,0,389,1497,71424
24,L,1,480,1662,1662
25,M,0,1089,5055,220224
26,M,1,1216,4977,4977
27,N,0,5657,14715,307372
28,N,1,5245,14418,14418
29,O,0,512,3425,271185
30,O,1,621,3369,3369
31,P,0,411,2158,160492
32,P,1,436,2143,2143
33,Q,0,1228,5649,282053
34,Q,1,1315,5492,5492
35,R,0,363,1024,55507
36,R,1,297,1050,1050
37,S,0,666,2281,117234
38,S,1,706,2393,2393
39,Z,0,2245,8944,334319
40,Z,1,2190,8543,8543
