,ventile_pre_inc,nz,result_data,matched_data,all_data
1,1,0,1363,4943,161609
2,1,1,1395,4996,4996
3,2,0,1312,5239,161512
4,2,1,1324,5092,5092
5,3,0,1295,4974,161769
6,3,1,1312,4835,4835
7,4,0,1268,5052,161688
8,4,1,1302,4916,4916
9,5,0,1020,3429,163246
10,5,1,922,3358,3358
11,6,0,909,3012,163640
12,6,1,793,2964,2964
13,7,0,1127,3156,163532
14,7,1,954,3072,3072
15,8,0,1337,3421,163171
16,8,1,1130,3433,3433
17,9,0,1243,3230,163331
18,9,1,1048,3273,3273
19,10,0,1247,3293,163375
20,10,1,1057,3229,3229
21,11,0,1369,3562,163027
22,11,1,1193,3577,3577
23,12,0,1409,3789,162801
24,12,1,1274,3803,3803
25,13,0,1483,4064,162419
26,13,1,1376,4185,4185
27,14,0,1471,4297,162079
28,14,1,1491,4525,4525
29,15,0,1399,4562,161988
30,15,1,1446,4616,4616
31,16,0,1081,4271,162208
32,16,1,1264,4396,4396
33,17,0,837,4004,162501
34,17,1,1062,4103,4103
35,18,0,657,3968,162664
36,18,1,914,3940,3940
37,19,0,650,4128,162450
38,19,1,959,4154,4154
39,20,0,396,3611,163066
40,20,1,643,3538,3538
