,spouse_ventile_pre_inc,nz,result_data,matched_data,all_data
1,1,0,1545,4502,162322
2,1,1,1348,4283,4283
3,2,0,1574,4514,162204
4,2,1,1397,4400,4400
5,3,0,1500,4331,162317
6,3,1,1323,4287,4287
7,4,0,1499,4430,162196
8,4,1,1345,4408,4408
9,5,0,1389,4295,162317
10,5,1,1271,4287,4287
11,6,0,1426,4384,162384
12,6,1,1278,4220,4220
13,7,0,1444,4271,162329
14,7,1,1352,4275,4275
15,8,0,1418,4178,162395
16,8,1,1304,4209,4209
17,9,0,1468,4192,162344
18,9,1,1339,4260,4260
19,10,0,1348,4065,162358
20,10,1,1251,4246,4246
21,11,0,1351,4145,162270
22,11,1,1312,4334,4334
23,12,0,1418,4176,162279
24,12,1,1330,4325,4325
25,13,0,1397,4108,162302
26,13,1,1351,4302,4302
27,14,0,1155,3777,162605
28,14,1,1169,3999,3999
29,15,0,838,3579,163309
30,15,1,894,3295,3295
31,16,0,748,3743,162946
32,16,1,924,3658,3658
33,17,0,665,3764,162748
34,17,1,933,3856,3856
35,18,0,382,3442,163107
36,18,1,742,3497,3497
37,19,0,220,3187,163452
38,19,1,600,3152,3152
39,20,0,88,2922,163892
40,20,1,396,2712,2712
