TIME_PERIOD,REF_AREA,Reference area,Trade balance,Unit multiplier,Exports,Imports,Gross,TB_ratio
2005-Q1,AUS,Australia,-5.004282,Billions,24.20522,29.21278,53.418,-0.093681568
2005-Q2,AUS,Australia,-2.749483,Billions,26.78369,29.53256,56.31625,-0.048822196
2005-Q3,AUS,Australia,-3.120881,Billions,26.60367,29.72499,56.32866,-0.055404851
2005-Q4,AUS,Australia,-2.316336,Billions,27.95214,30.26273,58.21487,-0.039789422
2006-Q1,AUS,Australia,-2.143475,Billions,28.81325,30.97634,59.78959,-0.035850304
2006-Q2,AUS,Australia,-3.611844,Billions,30.53762,34.15806,64.69568,-0.05582821
2006-Q3,AUS,Australia,-1.728013,Billions,31.38031,33.10637,64.48668,-0.026796433
2006-Q4,AUS,Australia,-2.390215,Billions,32.42447,34.82261,67.24708,-0.035543774
2007-Q1,AUS,Australia,-2.015522,Billions,33.85127,35.86819,69.71946,-0.028909031
2007-Q2,AUS,Australia,-4.431428,Billions,34.59658,39.03823,73.63481,-0.060181156
2007-Q3,AUS,Australia,-4.573747,Billions,35.17906,39.73958,74.91864,-0.06104952
2007-Q4,AUS,Australia,-5.294229,Billions,37.48162,42.77957,80.26119,-0.065962503
2008-Q1,AUS,Australia,-6.311269,Billions,41.776,48.10502,89.88102,-0.070218039
2008-Q2,AUS,Australia,-3.121101,Billions,48.20892,51.33664,99.54556,-0.031353493
2008-Q3,AUS,Australia,1.4033,Billions,51.94013,50.64811,102.58824,0.013678956
2008-Q4,AUS,Australia,3.577916,Billions,43.73349,40.11813,83.85162,0.042669611
2009-Q1,AUS,Australia,4.728504,Billions,40.28511,35.56164,75.84675,0.062342869
2009-Q2,AUS,Australia,-1.338412,Billions,35.17673,36.51385,71.69058,-0.018669287
2009-Q3,AUS,Australia,-2.802066,Billions,37.44384,40.25735,77.70119,-0.036062073
2009-Q4,AUS,Australia,-4.44367,Billions,41.57897,46.0281,87.60707,-0.050722733
2010-Q1,AUS,Australia,-0.6746079,Billions,45.79502,46.47413,92.26915,-0.007311305
2010-Q2,AUS,Australia,4.915335,Billions,52.14431,47.28615,99.43046,0.049434902
2010-Q3,AUS,Australia,6.771524,Billions,54.56876,47.79194,102.3607,0.066153553
2010-Q4,AUS,Australia,7.694108,Billions,59.41894,51.72792,111.14686,0.0692247
2011-Q1,AUS,Australia,8.172033,Billions,61.73006,53.55404,115.2841,0.070886037
2011-Q2,AUS,Australia,8.671407,Billions,67.42498,58.74836,126.17334,0.068726143
2011-Q3,AUS,Australia,10.57739,Billions,71.89825,61.38378,133.28203,0.079360961
2011-Q4,AUS,Australia,7.841133,Billions,68.84959,61.00925,129.85884,0.060381973
2012-Q1,AUS,Australia,3.054578,Billions,66.08179,63.00043,129.08222,0.023663817
2012-Q2,AUS,Australia,3.315427,Billions,65.0946,61.78718,126.88178,0.026130048
2012-Q3,AUS,Australia,0.2489593,Billions,62.84417,62.60592,125.45009,0.001984529
2012-Q4,AUS,Australia,0.2635285,Billions,62.82932,62.56181,125.39113,0.002101652
2013-Q1,AUS,Australia,2.952947,Billions,64.0978,61.14048,125.23828,0.023578629
2013-Q2,AUS,Australia,6.51146,Billions,63.42678,56.85791,120.28469,0.054133739
2013-Q3,AUS,Australia,4.158883,Billions,61.71247,57.55232,119.26479,0.034871004
2013-Q4,AUS,Australia,6.574954,Billions,63.58951,57.0246,120.61411,0.054512312
2014-Q1,AUS,Australia,6.264625,Billions,64.25153,57.9845,122.23603,0.051250233
2014-Q2,AUS,Australia,1.935644,Billions,61.10034,59.16517,120.26551,0.016094756
2014-Q3,AUS,Australia,1.666648,Billions,59.59169,57.90214,117.49383,0.014184983
2014-Q4,AUS,Australia,2.425339,Billions,55.64189,53.22216,108.86405,0.022278603
2015-Q1,AUS,Australia,-0.3731754,Billions,50.8738,51.24055,102.11435,-0.003654485
2015-Q2,AUS,Australia,-5.286391,Billions,47.04116,52.32331,99.36447,-0.053202025
2015-Q3,AUS,Australia,-2.486993,Billions,46.6763,49.17607,95.85237,-0.025946077
2015-Q4,AUS,Australia,-4.430243,Billions,43.62703,48.05594,91.68297,-0.048321329
2016-Q1,AUS,Australia,-4.900017,Billions,41.61543,46.46959,88.08502,-0.055628267
2016-Q2,AUS,Australia,-1.606328,Billions,45.27398,46.86798,92.14196,-0.017433187
2016-Q3,AUS,Australia,0.5324399,Billions,48.42443,47.88557,96.31,0.005528397
2016-Q4,AUS,Australia,8.969961,Billions,56.7648,47.85962,104.62442,0.08573487
2017-Q1,AUS,Australia,8.330813,Billions,58.02316,49.67463,107.69779,0.077353611
2017-Q2,AUS,Australia,2.226557,Billions,55.79416,53.55952,109.35368,0.020361061
2017-Q3,AUS,Australia,-4.768631,Billions,59.37938,64.08394,123.46332,-0.038623868
2017-Q4,AUS,Australia,3.395555,Billions,57.851,54.4472,112.2982,0.030236949
2018-Q1,AUS,Australia,4.695586,Billions,63.29985,58.59901,121.89886,0.038520344
2018-Q2,AUS,Australia,5.49897,Billions,62.97903,57.47727,120.4563,0.045651161
2018-Q3,AUS,Australia,9.247898,Billions,64.69666,55.4476,120.14426,0.076973282
2018-Q4,AUS,Australia,10.83972,Billions,66.28115,55.44312,121.72427,0.089051427
2019-Q1,AUS,Australia,11.43701,Billions,66.22144,54.78302,121.00446,0.09451726
2019-Q2,AUS,Australia,14.82812,Billions,68.912,54.10443,123.01643,0.12053772
2019-Q3,AUS,Australia,17.67224,Billions,69.87479,52.17796,122.05275,0.144791822
2019-Q4,AUS,Australia,13.34719,Billions,66.05247,52.70695,118.75942,0.112388474
2020-Q1,AUS,Australia,14.08296,Billions,61.74504,47.83557,109.58061,0.128516897
2020-Q2,AUS,Australia,11.76757,Billions,58.43289,46.65324,105.08613,0.111980239
2020-Q3,AUS,Australia,9.503197,Billions,60.6238,51.10008,111.72388,0.085059676
2020-Q4,AUS,Australia,13.00198,Billions,69.3266,56.26342,125.59002,0.103527175
2021-Q1,AUS,Australia,18.14637,Billions,79.33915,61.19199,140.53114,0.129127039
2021-Q2,AUS,Australia,23.74039,Billions,86.36018,62.6219,148.98208,0.159350641
2021-Q3,AUS,Australia,30.48624,Billions,89.72056,59.22525,148.94581,0.204680078
2021-Q4,AUS,Australia,23.43652,Billions,87.93365,64.47003,152.40368,0.153779226
2022-Q1,AUS,Australia,24.27066,Billions,97.18527,72.9071,170.09237,0.142691057
2022-Q2,AUS,Australia,34.94202,Billions,109.5816,74.66975,184.25135,0.189643224
2022-Q3,AUS,Australia,30.04625,Billions,103.0265,73.0508,176.0773,0.170642383
2022-Q4,AUS,Australia,32.17184,Billions,101.6457,69.45193,171.09763,0.188032061
2023-Q1,AUS,Australia,30.75742,Billions,101.6691,70.94112,172.61022,0.178190028
2023-Q2,AUS,Australia,22.47022,Billions,91.26595,68.79413,160.06008,0.14038616
2023-Q3,AUS,Australia,18.39859,Billions,87.67335,69.29536,156.96871,0.117211832
2023-Q4,AUS,Australia,24.16871,Billions,91.10243,66.91238,158.01481,0.152952182
2024-Q1,AUS,Australia,16.23361,Billions,88.76574,72.50086,161.2666,0.100663188
