percentile,fy,baseline,high_inflation,no_policy,indexed_brackets
0.001,FY2025_26,0,0,0,0
0.001,FY2026_27,0,0,0,0
0.001,FY2027_28,0,0,0,0
0.001,FY2028_29,0,0,0,0
0.001,FY2029_30,0,0,0,0
0.001,FY2030_31,0,0,0,0
0.001,FY2031_32,0,0,0,0
0.001,FY2032_33,0,0,0,0
0.001,FY2033_34,0,0,0,0
0.001,FY2034_35,0,0,0,0
0.002,FY2025_26,0,0,0,0
0.002,FY2026_27,0,0,0,0
0.002,FY2027_28,0,0,0,0
0.002,FY2028_29,0,0,0,0
0.002,FY2029_30,0,0,0,0
0.002,FY2030_31,0,0,0,0
0.002,FY2031_32,0,0,0,0
0.002,FY2032_33,0,0,0,0
0.002,FY2033_34,0,0,0,0
0.002,FY2034_35,0,0,0,0
0.003,FY2025_26,0,0,0,0
0.003,FY2026_27,0,0,0,0
0.003,FY2027_28,0,0,0,0
0.003,FY2028_29,0,0,0,0
0.003,FY2029_30,0,0,0,0
0.003,FY2030_31,0,0,0,0
0.003,FY2031_32,0,0,0,0
0.003,FY2032_33,0,0,0,0
0.003,FY2033_34,0,0,0,0
0.003,FY2034_35,0,0,0,0
0.004,FY2025_26,0,0,0,0
0.004,FY2026_27,0,0,0,0
0.004,FY2027_28,0,0,0,0
0.004,FY2028_29,0,0,0,0
0.004,FY2029_30,0,0,0,0
0.004,FY2030_31,0,0,0,0
0.004,FY2031_32,0,0,0,0
0.004,FY2032_33,0,0,0,0
0.004,FY2033_34,0,0,0,0
0.004,FY2034_35,0,0,0,0
0.005,FY2025_26,0,0,0,0
0.005,FY2026_27,0,0,0,0
0.005,FY2027_28,0,0,0,0
0.005,FY2028_29,0,0,0,0
0.005,FY2029_30,0,0,0,0
0.005,FY2030_31,0,0,0,0
0.005,FY2031_32,0,0,0,0
0.005,FY2032_33,0,0,0,0
0.005,FY2033_34,0,0,0,0
0.005,FY2034_35,0,0,0,0
0.006,FY2025_26,0,0,0,0
0.006,FY2026_27,0,0,0,0
0.006,FY2027_28,0,0,0,0
0.006,FY2028_29,0,0,0,0
0.006,FY2029_30,0,0,0,0
0.006,FY2030_31,0,0,0,0
0.006,FY2031_32,0,0,0,0
0.006,FY2032_33,0,0,0,0
0.006,FY2033_34,0,0,0,0
0.006,FY2034_35,0,0,0,0
0.007,FY2025_26,0,0,0,0
0.007,FY2026_27,0,0,0,0
0.007,FY2027_28,0,0,0,0
0.007,FY2028_29,0,0,0,0
0.007,FY2029_30,0,0,0,0
0.007,FY2030_31,0,0,0,0
0.007,FY2031_32,0,0,0,0
0.007,FY2032_33,0,0,0,0
0.007,FY2033_34,0,0,0,0
0.007,FY2034_35,0,0,0,0
0.008,FY2025_26,0,0,0,0
0.008,FY2026_27,0,0,0,0
0.008,FY2027_28,0,0,0,0
0.008,FY2028_29,0,0,0,0
0.008,FY2029_30,0,0,0,0
0.008,FY2030_31,0,0,0,0
0.008,FY2031_32,0,0,0,0
0.008,FY2032_33,0,0,0,0
0.008,FY2033_34,0,0,0,0
0.008,FY2034_35,0,0,0,0
0.009,FY2025_26,0,0,0,0
0.009,FY2026_27,0,0,0,0
0.009,FY2027_28,0,0,0,0
0.009,FY2028_29,0,0,0,0
0.009,FY2029_30,0,0,0,0
0.009,FY2030_31,0,0,0,0
0.009,FY2031_32,0,0,0,0
0.009,FY2032_33,0,0,0,0
0.009,FY2033_34,0,0,0,0
0.009,FY2034_35,0,0,0,0
0.01,FY2025_26,0,0,0,0
0.01,FY2026_27,0,0,0,0
0.01,FY2027_28,0,0,0,0
0.01,FY2028_29,0,0,0,0
0.01,FY2029_30,0,0,0,0
0.01,FY2030_31,0,0,0,0
0.01,FY2031_32,0,0,0,0
0.01,FY2032_33,0,0,0,0
0.01,FY2033_34,0,0,0,0
0.01,FY2034_35,0,0,0,0
0.011,FY2025_26,0,0,0,0
0.011,FY2026_27,0,0,0,0
0.011,FY2027_28,0,0,0,0
0.011,FY2028_29,0,0,0,0
0.011,FY2029_30,0,0,0,0
0.011,FY2030_31,0,0,0,0
0.011,FY2031_32,0,0,0,0
0.011,FY2032_33,0,0,0,0
0.011,FY2033_34,0,0,0,0
0.011,FY2034_35,0,0,0,0
0.012,FY2025_26,0,0,0,0
0.012,FY2026_27,0,0,0,0
0.012,FY2027_28,0,0,0,0
0.012,FY2028_29,0,0,0,0
0.012,FY2029_30,0,0,0,0
0.012,FY2030_31,0,0,0,0
0.012,FY2031_32,0,0,0,0
0.012,FY2032_33,0,0,0,0
0.012,FY2033_34,0,0,0,0
0.012,FY2034_35,0,0,0,0
0.013,FY2025_26,0,0,0,0
0.013,FY2026_27,0,0,0,0
0.013,FY2027_28,0,0,0,0
0.013,FY2028_29,0,0,0,0
0.013,FY2029_30,0,0,0,0
0.013,FY2030_31,0,0,0,0
0.013,FY2031_32,0,0,0,0
0.013,FY2032_33,0,0,0,0
0.013,FY2033_34,0,0,0,0
0.013,FY2034_35,0,0,0,0
0.014,FY2025_26,0,0,0,0
0.014,FY2026_27,0,0,0,0
0.014,FY2027_28,0,0,0,0
0.014,FY2028_29,0,0,0,0
0.014,FY2029_30,0,0,0,0
0.014,FY2030_31,0,0,0,0
0.014,FY2031_32,0,0,0,0
0.014,FY2032_33,0,0,0,0
0.014,FY2033_34,0,0,0,0
0.014,FY2034_35,0,0,0,0
0.015,FY2025_26,0,0,0,0
0.015,FY2026_27,0,0,0,0
0.015,FY2027_28,0,0,0,0
0.015,FY2028_29,0,0,0,0
0.015,FY2029_30,0,0,0,0
0.015,FY2030_31,0,0,0,0
0.015,FY2031_32,0,0,0,0
0.015,FY2032_33,0,0,0,0
0.015,FY2033_34,0,0,0,0
0.015,FY2034_35,0,0,0,0
0.016,FY2025_26,0,0,0,0
0.016,FY2026_27,0,0,0,0
0.016,FY2027_28,0,0,0,0
0.016,FY2028_29,0,0,0,0
0.016,FY2029_30,0,0,0,0
0.016,FY2030_31,0,0,0,0
0.016,FY2031_32,0,0,0,0
0.016,FY2032_33,0,0,0,0
0.016,FY2033_34,0,0,0,0
0.016,FY2034_35,0,0,0,0
0.017,FY2025_26,0,0,0,0
0.017,FY2026_27,0,0,0,0
0.017,FY2027_28,0,0,0,0
0.017,FY2028_29,0,0,0,0
0.017,FY2029_30,0,0,0,0
0.017,FY2030_31,0,0,0,0
0.017,FY2031_32,0,0,0,0
0.017,FY2032_33,0,0,0,0
0.017,FY2033_34,0,0,0,0
0.017,FY2034_35,0,0,0,0
0.018,FY2025_26,0,0,0,0
0.018,FY2026_27,0,0,0,0
0.018,FY2027_28,0,0,0,0
0.018,FY2028_29,0,0,0,0
0.018,FY2029_30,0,0,0,0
0.018,FY2030_31,0,0,0,0
0.018,FY2031_32,0,0,0,0
0.018,FY2032_33,0,0,0,0
0.018,FY2033_34,0,0,0,0
0.018,FY2034_35,0,0,0,0
0.019,FY2025_26,0,0,0,0
0.019,FY2026_27,0,0,0,0
0.019,FY2027_28,0,0,0,0
0.019,FY2028_29,0,0,0,0
0.019,FY2029_30,0,0,0,0
0.019,FY2030_31,0,0,0,0
0.019,FY2031_32,0,0,0,0
0.019,FY2032_33,0,0,0,0
0.019,FY2033_34,0,0,0,0
0.019,FY2034_35,0,0,0,0
0.02,FY2025_26,0,0,0,0
0.02,FY2026_27,0,0,0,0
0.02,FY2027_28,0,0,0,0
0.02,FY2028_29,0,0,0,0
0.02,FY2029_30,0,0,0,0
0.02,FY2030_31,0,0,0,0
0.02,FY2031_32,0,0,0,0
0.02,FY2032_33,0,0,0,0
0.02,FY2033_34,0,0,0,0
0.02,FY2034_35,0,0,0,0
0.021,FY2025_26,0,0,0,0
0.021,FY2026_27,0,0,0,0
0.021,FY2027_28,0,0,0,0
0.021,FY2028_29,0,0,0,0
0.021,FY2029_30,0,0,0,0
0.021,FY2030_31,0,0,0,0
0.021,FY2031_32,0,0,0,0
0.021,FY2032_33,0,0,0,0
0.021,FY2033_34,0,0,0,0
0.021,FY2034_35,0,0,0,0
0.022,FY2025_26,0,0,0,0
0.022,FY2026_27,0,0,0,0
0.022,FY2027_28,0,0,0,0
0.022,FY2028_29,0,0,0,0
0.022,FY2029_30,0,0,0,0
0.022,FY2030_31,0,0,0,0
0.022,FY2031_32,0,0,0,0
0.022,FY2032_33,0,0,0,0
0.022,FY2033_34,0,0,0,0
0.022,FY2034_35,0,0,0,0
0.023,FY2025_26,0,0,0,0
0.023,FY2026_27,0,0,0,0
0.023,FY2027_28,0,0,0,0
0.023,FY2028_29,0,0,0,0
0.023,FY2029_30,0,0,0,0
0.023,FY2030_31,0,0,0,0
0.023,FY2031_32,0,0,0,0
0.023,FY2032_33,0,0,0,0
0.023,FY2033_34,0,0,0,0
0.023,FY2034_35,0,0,0,0
0.024,FY2025_26,0,0,0,0
0.024,FY2026_27,0,0,0,0
0.024,FY2027_28,0,0,0,0
0.024,FY2028_29,0,0,0,0
0.024,FY2029_30,0,0,0,0
0.024,FY2030_31,0,0,0,0
0.024,FY2031_32,0,0,0,0
0.024,FY2032_33,0,0,0,0
0.024,FY2033_34,0,0,0,0
0.024,FY2034_35,0,0,0,0
0.025,FY2025_26,0,0,0,0
0.025,FY2026_27,0,0,0,0
0.025,FY2027_28,0,0,0,0
0.025,FY2028_29,0,0,0,0
0.025,FY2029_30,0,0,0,0
0.025,FY2030_31,0,0,0,0
0.025,FY2031_32,0,0,0,0
0.025,FY2032_33,0,0,0,0
0.025,FY2033_34,0,0,0,0
0.025,FY2034_35,0,0,0,0
0.026,FY2025_26,0,0,0,0
0.026,FY2026_27,0,0,0,0
0.026,FY2027_28,0,0,0,0
0.026,FY2028_29,0,0,0,0
0.026,FY2029_30,0,0,0,0
0.026,FY2030_31,0,0,0,0
0.026,FY2031_32,0,0,0,0
0.026,FY2032_33,0,0,0,0
0.026,FY2033_34,0,0,0,0
0.026,FY2034_35,0,0,0,0
0.027,FY2025_26,0,0,0,0
0.027,FY2026_27,0,0,0,0
0.027,FY2027_28,0,0,0,0
0.027,FY2028_29,0,0,0,0
0.027,FY2029_30,0,0,0,0
0.027,FY2030_31,0,0,0,0
0.027,FY2031_32,0,0,0,0
0.027,FY2032_33,0,0,0,0
0.027,FY2033_34,0,0,0,0
0.027,FY2034_35,0,0,0,0
0.028,FY2025_26,0,0,0,0
0.028,FY2026_27,0,0,0,0
0.028,FY2027_28,0,0,0,0
0.028,FY2028_29,0,0,0,0
0.028,FY2029_30,0,0,0,0
0.028,FY2030_31,0,0,0,0
0.028,FY2031_32,0,0,0,0
0.028,FY2032_33,0,0,0,0
0.028,FY2033_34,0,0,0,0
0.028,FY2034_35,0,0,0,0
0.029,FY2025_26,0,0,0,0
0.029,FY2026_27,0,0,0,0
0.029,FY2027_28,0,0,0,0
0.029,FY2028_29,0,0,0,0
0.029,FY2029_30,0,0,0,0
0.029,FY2030_31,0,0,0,0
0.029,FY2031_32,0,0,0,0
0.029,FY2032_33,0,0,0,0
0.029,FY2033_34,0,0,0,0
0.029,FY2034_35,0,0,0,0
0.03,FY2025_26,0,0,0,0
0.03,FY2026_27,0,0,0,0
0.03,FY2027_28,0,0,0,0
0.03,FY2028_29,0,0,0,0
0.03,FY2029_30,0,0,0,0
0.03,FY2030_31,0,0,0,0
0.03,FY2031_32,0,0,0,0
0.03,FY2032_33,0,0,0,0
0.03,FY2033_34,0,0,0,0
0.03,FY2034_35,0,0,0,0
0.031,FY2025_26,0,0,0,0
0.031,FY2026_27,0,0,0,0
0.031,FY2027_28,0,0,0,0
0.031,FY2028_29,0,0,0,0
0.031,FY2029_30,0,0,0,0
0.031,FY2030_31,0,0,0,0
0.031,FY2031_32,0,0,0,0
0.031,FY2032_33,0,0,0,0
0.031,FY2033_34,0,0,0,0
0.031,FY2034_35,0,0,0,0
0.032,FY2025_26,0,0,0,0
0.032,FY2026_27,0,0,0,0
0.032,FY2027_28,0,0,0,0
0.032,FY2028_29,0,0,0,0
